category,survey,source_q_id,source_text,best_match_q_id,best_match_text,best_feasibility,score_borda,score_entropy,triage_quadrant,pair_id
HIGH,CPS,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_12,What is your best estimate of the number of hours per week you usually work at this rate?,F1,1.0,1.0,Q1,CPS_0020
HIGH,CPS,CPS_107,(Do / Does) (you/he/she) usually work 35 hours or more per week (at (your/his/her) job/in the family business/ at all (y,ACS_6,How many hours do you usually work per week at this rate?,F1,1.0,1.0,Q1,CPS_0032
HIGH,FOODAPS,FOODAPS_287,What is the easiest way for you to tell us about NAME’s earnings from work before taxes and other deductions?,ACS_1,"For your [main] job, what is the easiest way for you to report your total earnings BEFORE taxes or other deductions: hou",F1,1.0,1.0,Q1,FOODAPS_0518
HIGH,FOODAPS,FOODAPS_214,What is the easiest way for you to tell us about your earnings from work before taxes and other deductions?,ACS_1,"For your [main] job, what is the easiest way for you to report your total earnings BEFORE taxes or other deductions: hou",F1,1.0,1.0,Q1,FOODAPS_0464
HIGH,FOODAPS,FOODAPS_184,"Last week, did you do any work for either pay or profit? ",ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",F1,1.0,1.0,Q1,FOODAPS_0061
MEDIUM,FOODAPS,FOODAPS_63,"Last week, was NAME enrolled in school as a full-time or part-time student, or was NAME not enrolled in school?",ACS_15,Are you enrolled in school as a full-time or part-time student?,F2,0.7,0.2595569150761394,Q3,FOODAPS_0413
MEDIUM,FOODAPS,FOODAPS_33,This week and next week are you attending classes for: (1)Middle/junior  high school (2) High School (3) Homeschool (4) ,ACS_14,"Would that be high school, college, or university?",F2,0.7,0.2595569150761394,Q3,FOODAPS_0387
MEDIUM,CPS,CPS_174,"(THE WEEK BEFORE LAST/LAST WEEK), could (you/he/she) have started a job IF one had been offered?",ACS_113,"LAST WEEK, could this person have started a job if offered one, or returned to work if recalled?",F2,0.6666666666666666,0.2818152899285843,Q3,CPS_0207
MEDIUM,CPS,CPS_284,"(EXCLUDING overtime pay, tips and commissions) what is (your/his/her) hourly rate of pay on (this job/ (your/his/her) MA",ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.6,0.3648244369475912,Q1,CPS_1047
MEDIUM,FOODAPS,FOODAPS_96,On what date did [you/you and names of SNAP group 1 from B1ba ] last receive [FILL IN STATE SNAP NAME] benefits?,ACS_54,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the",F2,0.6,0.3648244369475912,Q1,FOODAPS_0589
LOW,CPS,CPS_102,(Are / Is) ( you/he/she) being paid by (your/his/her) employer for any of the time off (the week before last/last week)?,ACS_1,"For your [main] job, what is the easiest way for you to report your total earnings BEFORE taxes or other deductions: hou",F3,0.0,0.33,Q2,CPS_0913
LOW,CPS,CPS_108,(Do / Does) (name/you) want to work a full time workweek of 35 hours or more per week?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0,0.33,Q2,CPS_0323
LOW,CPS,CPS_109,Some people work part time because they cannot find full time work or because business is poor. Others work part time be,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0,0.33,Q2,CPS_0328
LOW,CPS,CPS_110,What is the main reason (you/he/she) (do/does) not want to work full time?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0,0.33,Q2,CPS_0333
LOW,CPS,CPS_112,How many hours did (name/you) take off?,ACS_6,How many hours do you usually work per week at this rate?,F3,0.0,0.33,Q2,CPS_0048
