classification,confidence,reference_period_a,reference_period_b,reasoning,consolidation_potential,pair_id,model
not_comparable,high,current/present (living or staying here),not specified,"Question A asks for names of household members (roster/enumeration question), while Question B asks for today's date (administrative/reference information). These are fundamentally different concepts—one collects substantive demographic data about who lives in the household, the other is a procedural/dating question. They cannot be consolidated or substituted for one another.",no,CPS_0001,claude-haiku-4-5-20251001
response_format_mismatch,high,not specified,not specified,"Both questions ask about the same core concept: persons living or staying at a residence at a specific point in time. However, Question A requests individual names (open-ended list format with follow-up for each person), while Question B asks only for a count or total number (numeric response). These fundamentally different response formats make them operationally distinct despite measuring the same underlying population roster.",partial,CPS_0000,claude-haiku-4-5-20251001
near_duplicate,high,now,not specified,"Both questions aim to enumerate persons currently residing at a household address at a single point in time. Question A explicitly excludes those already listed and specifies age 15+, while Question B captures all persons without age restriction. The core concept of current household membership is identical, but Question A's age restriction and explicit exclusion language represent meaningful operational differences in scope despite measuring the same underlying construct.",partial,CPS_0002,claude-haiku-4-5-20251001
not_comparable,high,now/currently,not specified,"Question A asks about household roster information (identifying other household members 15+), while Question B requests administrative metadata (today's date). These are fundamentally different types of information serving different purposes—one collects substantive demographic data, the other captures survey administration timing. They share no meaningful conceptual overlap despite both appearing in federal surveys.",no,CPS_0003,claude-haiku-4-5-20251001
not_comparable,high,not specified,today,"Question A asks about the presence of babies or small children in a household (roster verification), while Question B simply requests the current date. These are entirely different concepts—one is about household composition and the other is administrative data collection. They serve different purposes and have no semantic overlap.",no,CPS_0005,claude-haiku-4-5-20251001
related_but_distinct,high,not specified,not specified,"Both questions address household population, but they serve different purposes in the enumeration process. Question A is a targeted follow-up probe specifically designed to catch young children (babies and small children) that may have been omitted from an initial roster, while Question B is a global household roster question asking for a total count of all people living or staying at the address. Question A is a quality control mechanism during the listing process, whereas Question B is the primary enumeration question.",partial,CPS_0004,claude-haiku-4-5-20251001
related_but_distinct,high,current/present (people away now),current/present (living or staying at this address),"Both questions address household composition at the time of survey, but they approach it from opposite angles. Question A asks about capturing omissions—specifically people who usually live there but are temporarily absent. Question B asks directly for a count of all people currently at the address. Question A is a follow-up probe to improve completeness, while Question B is a direct enumeration question. They are complementary rather than equivalent, as A helps identify undercount while B seeks the total count.",no,CPS_0006,claude-haiku-4-5-20251001
not_comparable,high,current/present (people away now),not specified (administrative date),"Question A asks about household roster completeness by identifying people temporarily away from the residence, while Question B is a procedural administrative question asking the respondent to record the survey date. These address entirely different concepts—one is substantive population coverage, the other is survey administration/documentation. They cannot be consolidated or compared for equivalence.",no,CPS_0007,claude-haiku-4-5-20251001
reference_period_mismatch,high,since last interview (change-detection),not specified (current status snapshot),"Both questions address marital status but differ fundamentally in their temporal approach. Question A (CPS) asks about changes in marital status since a previous interview, making it a change-detection question with a variable reference period. Question B (ACS) asks for current marital status without reference to time, making it a status snapshot. While both touch on marital status, they serve different analytical purposes: one identifies transitions, the other captures point-in-time classification.",partial,CPS_0008,claude-haiku-4-5-20251001
related_but_distinct,high,since last interview (recent/ongoing panel),not specified (lifetime),"Both questions address marital status but measure fundamentally different things. Question A captures recent changes in marital status since the previous CPS interview (a snapshot of transitions), while Question B asks about the cumulative lifetime count of marriages. Question A is event-focused (has anything changed?), while Question B is stock-focused (total number of occurrences). These serve different analytical purposes and cannot substitute for one another.",no,CPS_0010,claude-haiku-4-5-20251001
