pair_id,survey_q_id,survey_text,acs_q_id,acs_text,subtopic,claude_classification,gpt_classification,claude_confidence,gpt_confidence,claude_reasoning,gpt_reasoning,claude_consolidation_potential,gpt_consolidation_potential,claude_reference_period_a,gpt_reference_period_a,claude_reference_period_b,gpt_reference_period_b,models_agree
FOODAPS_0000,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting,not_comparable,related_but_distinct,high,high,"These questions address fundamentally different concepts despite both relating to transportation/location. Question A asks about the mode of transportation to a grocery store (habitual behavior), while Question B asks about a work location. Question A is about grocery shopping behavior, Question B is about employment/work commuting. They have different reference subjects (grocery store vs. workplace) and different purposes (shopping vs. work).","Question A asks about the usual mode of travel to a primary grocery store (a trip mode/transportation behavior for shopping), while Question B asks for the location where the person worked last week (a workplace location/time-specific employment question). Although both relate broadly to movement/commuting, they measure different constructs (travel mode vs. work location/time frame) and are not interchangeable.",no,no,not specified (habitual behavior - 'usually'),not specified,last week,last week,False
FOODAPS_0001,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"Both questions ask about transportation methods, but they measure fundamentally different trips and populations. Question A asks how someone gets to their primary grocery store (a discretionary shopping trip, variable frequency), while Question B asks about commuting to work (a regular work-related trip). These represent different travel purposes, frequencies, and populations (Question B is work-specific; Question A applies to all food shoppers regardless of employment status). The reference periods also differ—Question A is habitual/usual without time specification, while Question B specifies a concrete recent period (last week).","Question A asks about usual travel to a primary grocery store (no time frame) while Question B asks about how the person usually got to work during a specific reference period (last week). They share the mode-of-travel concept but differ in trip purpose (grocery shopping vs commuting to work) and Question B specifies a time frame, so they are related but ask distinct behaviors.",no,no,not specified (habitual/usual behavior),not specified,last week,last week,True
FOODAPS_0002,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting,not_comparable,related_but_distinct,high,high,"These questions address fundamentally different transportation contexts: Question A asks about modes of transportation to a grocery store (shopping/errands), while Question B asks about commuting to work. Despite both involving transportation, they measure different behaviors, destinations, and populations. The fact that Question B specifies 'last week' while Question A uses habitual language ('usually') further distinguishes them.","Question A asks about the usual mode of travel to the primary grocery store (shopping trip, habitual). Question B asks for the number of people who rode to work in a car/truck/van last week (commute trip, with a specific recent reference period) and measures a count rather than travel mode. They differ in trip purpose, metric, and explicit timeframe, so they are related by transportation but ask distinct information.",no,no,not specified (habitual - 'usually'),not specified,last week,last week,False
FOODAPS_0003,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting,not_comparable,related_but_distinct,high,high,"These questions address fundamentally different topics and populations. Question A asks about transportation mode to a grocery store (food shopping behavior), while Question B asks about work commute start times (employment behavior). Despite both relating tangentially to 'commuting/transportation,' they measure distinct activities for different purposes—one for food access research, the other for employment patterns.","The two questions address different specific constructs: A asks about usual mode of travel to a primary grocery store (mode/destination), while B asks about the usual start time of a work trip in the last week (time of day/destination = work). They also differ in response format (mode categories vs a time) and B has an explicit reference period (‘last week’) whereas A asks about a usual pattern with no explicit time frame.",no,no,not specified (habitual behavior - 'usually'),not specified,last week,last week,False
FOODAPS_0004,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting,not_comparable,related_but_distinct,high,high,"Question A asks about transportation mode to a grocery store, while Question B asks about commute time to work. These address fundamentally different destinations and purposes (shopping vs. employment). Although both concern commuting/travel, they measure different journeys and cannot be consolidated as they serve distinct policy purposes in their respective surveys.","Question A asks about the usual mode of transportation to the primary grocery store (habitual behavior), while Question B asks about the usual travel time to work last week (duration). They differ in outcome measured (mode vs minutes), destination (store vs workplace), and B contains an explicit reference period; thus they address related topics (travel/commuting) but are distinct.",no,no,not specified (usual/habitual behavior),not specified,last week,last week,False
FOODAPS_0005,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting,not_comparable,related_but_distinct,high,high,"Question A asks about travel time to a primary grocery/food store from home, while Question B asks about work location. These measure fundamentally different aspects of mobility and geography—food shopping patterns versus employment location. Although both relate broadly to commuting/travel, they address distinct destinations and serve different analytical purposes (food access vs. labor market participation).","Question A asks about travel time from home to a primary retail store (shopping trip duration) with no reference period, while Question B asks where the person worked during a specific reference period (last week). They measure different attributes (travel time to shop vs. workplace location/timeframe) and use different units and intent, so they are not duplicates.",no,no,not specified,not specified,last week,last week,False
FOODAPS_0006,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting,not_comparable,related_but_distinct,high,high,"These questions address fundamentally different concepts. Question A asks about travel time to a primary grocery/food store (a specific destination for food shopping), while Question B asks about commuting mode to work. Although both relate to transportation, they measure different trip purposes, destinations, and contexts. Question A measures duration/distance while Question B measures mode of transportation.","Question A asks about one-way travel time from home to a primary food store (a duration to a specific nonwork destination) with no explicit reference period. Question B asks about the usual mode of travel to work during the specific period 'last week' (a mode/categorical response about work trips). They address the same broad domain (travel) but differ in target destination, measured attribute (time vs mode), and reference period, so they are related but distinct.",no,no,not specified,not specified,last week,last week,False
FOODAPS_0007,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting,not_comparable,related_but_distinct,high,high,"Question A measures travel time/distance to a specific grocery store location, while Question B measures carpooling behavior and vehicle occupancy for work commuting. These address fundamentally different domains (food access/shopping vs. work commute transportation) and measure different constructs (time/distance vs. number of passengers). They are only superficially related through the general topic of commuting/travel.","Question A asks about one-way travel time from home to a primary store (shopping travel time) with no specified reference period and expects a duration response. Question B asks how many people rode to work in a vehicle last week (commute vehicle occupancy) and expects a count for a specific past-week reference period. They address different activities (shopping vs. commuting), use different response formats, and are not interchangeable.",no,no,not specified,not specified,last week,last week,False
FOODAPS_0008,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting,not_comparable,related_but_distinct,high,high,"These questions measure fundamentally different concepts despite both relating to travel. Question A asks about travel time/distance to a grocery store (food access), while Question B asks about the start time of a commute to work. Question A measures duration or distance to a specific destination for food shopping, whereas Question B measures temporal scheduling of employment-related travel. They address different survey purposes and populations.","The two questions concern different travel purposes and measures: A asks the one-way travel duration to a primary store (shopping trip), while B asks the usual clock time a work trip began (commute) last week. They also differ in response format (duration vs start time) and B includes an explicit reference period while A does not, so they are related by topic (travel) but ask distinct information.",no,no,not specified,not specified,last week,LAST WEEK,False
FOODAPS_0009,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions measure travel time, they target fundamentally different destinations and purposes: Question A asks about travel time to a primary grocery/food store (food access/shopping), while Question B asks about commute time to work. These measure different behaviors and serve different policy purposes (food security vs. employment/transportation). The reference period also differs (ACS specifies 'last week' while FoodAPS has no temporal qualifier).","Both ask about travel time in minutes, but they refer to different destinations and purposes: Question A asks one-way travel time to a primary store, while Question B asks usual travel time to work. Additionally, Question B specifies a reference period ('last week') whereas Question A does not, so they are not interchangeable.",no,no,not specified,not specified,last week,last week,True
FOODAPS_0010,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting,not_comparable,not_comparable,high,high,"These questions address entirely different concepts despite both relating to commuting. Question A asks about out-of-pocket transportation costs to a primary grocery store (a specific financial measure), while Question B asks about work location (a geographic/employment measure). They collect fundamentally different types of information and serve different analytical purposes.","Question A asks about the typical out-of-pocket dollar amount paid for a single one-way trip to a store (a cost per trip/habitual behavior). Question B asks for the location where the person worked last week (workplace location/commute destination). These address different concepts, units, and response types and are not substitutable.",no,no,usual/habitual,not specified,last week,last week,True
FOODAPS_0011,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting,not_comparable,related_but_distinct,high,high,"These questions address fundamentally different concepts: Question A asks about out-of-pocket costs for a trip to a grocery store (financial/economic), while Question B asks about transportation mode used to commute to work (behavioral/modal). Question A is about retail food access costs, while Question B is about work commute methods. They are from different surveys with different purposes and populations.","Question A asks about the out-of-pocket dollar amount usually paid for a one-way trip to a store (shopping trip) with no specified reference period. Question B asks about the usual mode of travel to work during a specific time frame (LAST WEEK). They target different activities (shopping vs work), different constructs (cost vs mode), and B has a specific reference period, so they are related by commuting/transportation but are distinct measures.",no,no,not specified (implies usual/habitual behavior),not specified,last week,last week,False
FOODAPS_0012,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting,not_comparable,not_comparable,high,high,"These questions address fundamentally different topics despite both relating to transportation. Question A asks about out-of-pocket costs for trips to a grocery store, while Question B asks about carpool occupancy for work commutes. Question A measures food access costs while Question B measures commuting behavior—distinct policy domains with no conceptual overlap.","The two questions address entirely different behaviors: Question A asks about typical out-of-pocket cost for a one-way shopping trip to a store, while Question B asks how many people rode to work in a vehicle during last week. They differ in topic, units (dollar amount vs. count of people), and reference period, so they are not comparable.",no,no,usual/habitual (not specified),not specified (asked as 'usually'),last week,last week,True
FOODAPS_0013,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting,not_comparable,related_but_distinct,high,high,"These questions address fundamentally different concepts and populations. Question A asks about out-of-pocket costs for grocery shopping trips to a primary food store, while Question B asks about work commute start times. Question A is food-access related (FoodAPS survey), while Question B is work/commute related (ACS survey). They have different reference populations (food shoppers vs. employed persons) and different response formats (dollar amount vs. time of day).","Question A asks about the usual out-of-pocket monetary cost for a single one-way trip to a store (dollar amount), while Question B asks about the clock time a person's trip to work began last week (time of day). They differ in the trip purpose (grocery/store vs work), the measured attribute (cost vs start time), and response format, so they are about travel broadly but are distinct measures.",no,no,not specified (habitual - 'usually'),not specified,last week,last week,False
FOODAPS_0014,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting,not_comparable,related_but_distinct,high,high,"These questions address fundamentally different concepts: Question A asks about out-of-pocket costs for grocery store trips (a food access/affordability measure), while Question B asks about commute time to work (a transportation/employment measure). Although both relate broadly to travel, they measure distinct dimensions (cost vs. time) for different destinations (primary food store vs. workplace) serving different policy purposes (food security vs. employment accessibility).","The two questions address different specific concepts: Question A asks about out-of-pocket monetary cost for a one-way trip to a grocery/store location, while Question B asks about travel time to work in minutes during last week. They differ in outcome (dollars vs minutes), destination (store vs workplace), and purpose (shopping trip cost vs commute duration), so they are related by transportation/travel but clearly distinct.",no,no,not specified (habitual: 'usually'),not specified,last week,last week,False
FOODAPS_0015,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"Question A asks about commuting frequency as a habitual behavior (at least once weekly), while Question B asks about work location during a specific reference week. Question A measures commuting patterns, whereas Question B measures where work occurred in a particular week—these capture different dimensions. Question B doesn't directly answer whether someone commutes regularly, as a person could have worked at a location last week without regularly commuting there.","Question A asks a habitual frequency (whether the respondent commutes to work at least once a week) with a yes/no response format, while Question B asks for the location where the person worked during a specific reference period (last week). They measure different constructs (commuting frequency versus work location during a particular week) and have different response formats, so they are related by topic but not equivalent.",no,no,at least once a week (ongoing/habitual),not specified (habitual/frequency),last week (specific week),last week,True
FOODAPS_0016,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"Question A asks about frequency of commuting (at least once weekly) as a habitual pattern, while Question B asks about actual commute method during a specific recent week. Question A is a yes/no threshold question about commuting behavior frequency, whereas Question B focuses on identifying the primary transportation mode used. These address different aspects of commuting behavior despite sharing the general topic.","Question A asks a habitual frequency threshold (a yes/no about commuting at least once per week) with no explicit reference week and no mode information. Question B asks about the usual mode of travel during a specific reference period (last week). They differ in what is measured (frequency vs mode) and in reference period specificity, so they are related by topic but ask distinct things.",partial,partial,not specified (implies regular/habitual behavior),not specified,last week,last week,True
FOODAPS_0017,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions address commuting behavior, they measure fundamentally different constructs. Question A asks about regular commuting frequency (does someone commute regularly, yes/no), while Question B asks about the specific mode and occupancy of last week's commute (a count of people in vehicle). Question A focuses on frequency/regularity; Question B focuses on carpooling/occupancy details for a specific recent week.","Question A asks a binary, habitual frequency (whether the person commutes at least once per week) with no mode specified. Question B asks for the number of people who rode together in a car/truck/van for the commute specifically last week (a numeric vehicle-occupancy measure). They therefore address different specific constructs (commuting frequency vs. vehicle-occupancy for a particular week) and also differ in response format and time reference.",no,no,at least once a week (ongoing/regular behavior),at least once a week (habitual),last week (specific recent period),last week,True
FOODAPS_0018,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions address commuting behavior, they measure fundamentally different constructs. Question A asks about commuting frequency as a general pattern (yes/no to weekly commuting), whereas Question B assumes commuting occurs and asks for a specific operational detail (time of departure). Question B is only asked of people who work, making it contingent on employment status, while Question A appears to be a screening question for commuters.","Question A asks a binary, habitual-frequency measure (whether the respondent commutes at least once per week), while Question B asks for the usual clock time of a trip to work during a specific reference period (last week). They measure different attributes (frequency vs start time) and have different response formats and implicit reference frames, so they are not interchangeable.",no,no,at least once a week (ongoing frequency),not specified,last week (specific recent period),last week,True
FOODAPS_0019,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions address commuting, Question A asks about frequency of commuting (at least weekly, yes/no), whereas Question B asks for the duration of a commute trip. Question A captures whether someone commutes regularly, while Question B measures commute time for those who do commute. These are complementary but distinct aspects of commuting behavior with different response formats (binary vs. continuous minutes).","Question A asks a binary frequency threshold (whether the person commutes at least once a week) with no explicit reference period and captures habitual frequency; Question B asks for the usual travel time in minutes for trips from home to work specifically 'last week' (a numeric duration). These are different constructs (frequency vs. duration) and have different response formats, so they are related by topic but ask distinct information.",partial,partial,not specified (implies regular/habitual behavior),not specified,last week,last week,True
FOODAPS_0020,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"Question A asks about commute duration (time to travel from home to work), while Question B asks about work location (where the person worked). These are related aspects of commuting but measure fundamentally different things—one captures travel time, the other captures workplace address/location. They cannot substitute for one another.","Question A asks for the usual travel time from home to work (a duration/commute time measure). Question B asks for the location where the person worked in a specific reference period (last week). They both concern commuting/work but measure different attributes (time vs. workplace location) and have different reference framing, so they are related but distinct.",no,no,usual/habitual (not specified),not specified,last week,last week,True
