pair_id,foodaps_q_id,foodaps_text,acs_q_id,acs_text,subtopic,claude3_classification,claude3_confidence,claude3_reasoning,claude3_consolidation_potential,gpt4o_classification,gpt4o_confidence,gpt4o_reasoning,gpt4o_consolidation_potential,haiku35_classification,haiku35_confidence,haiku35_reasoning,haiku35_consolidation_potential,fuzz_token_set,fuzzy_classification,claude_gpt_agree,all_models_agree
P_0001,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0021,How is this person related to Person 1?,Relationship,related_but_distinct,high,"Question A asks about the people living at the address over the next week, while Question B asks about the relationship of the person to Person 1, which is a different concept. The two questions are related in that they are both asking about the composition of the household, but they are distinct and not directly comparable.",no,related_but_distinct,high,"Question A asks for a list of all individuals living at an address, regardless of relationship, while Question B specifically inquires about the relationship of one person to another within that context. They both address the topic of household composition but focus on different aspects.",no,related_but_distinct,high,"Question A seeks to enumerate all current household occupants, while Question B specifically asks about familial relationships to a primary reference person. A is about comprehensive household composition, B is about kinship status.",partial,40.81632653061224,distinct,True,True
P_0002,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0027,How is this person related to Person 1?,Relationship,related_but_distinct,high,"While both questions are related to household composition, they are asking for distinct information. Question A is asking for a list of all people living at the address, while Question B is asking about the relationship of each person to Person 1. The questions have different focuses and are not directly comparable.",no,related_but_distinct,high,"Question A is focused on identifying all individuals living at a specified address, including temporary residents and babies. In contrast, Question B specifically asks about the relationship of a designated person to another person (Person 1), which is a narrower aspect of the broader context addressed in Question A. Therefore, they are related but distinct in their focus.",no,related_but_distinct,high,"Question A asks about all people currently/soon living at an address, while Question B specifically seeks the familial relationship to a primary person. A is broader in scope and captures household composition, B focuses on kinship classification.",partial,40.81632653061224,distinct,True,True
P_0003,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0033,How is this person related to Person 1?,Relationship,related_but_distinct,high,"Question A is asking for all the people living at the address over the next week, while Question B is asking about the relationship to Person 1 without a specified reference period. The concepts are related in that they are both asking about household composition, but they are distinct in terms of the specific information they are seeking.",no,related_but_distinct,high,"Question A asks for a list of individuals living at a specific address over the next week, including non-relatives, focus on household composition. Question B specifically inquires about the relationship of a single individual to another household member (Person 1), which is a more specific inquiry regarding familial or relational connections.",no,related_but_distinct,high,"Question A asks broadly about who will be living at an address, while Question B specifically requests relationship to the first person listed. A captures all potential household members, B focuses on kinship classification.",partial,40.81632653061224,distinct,True,True
P_0004,FAPS_0018,What is your date of birth?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,related_but_distinct,high,"The two questions are related in that they both collect information about the age of a person. However, they are asking for different pieces of information - Question A asks for the date of birth, while Question B asks for both the age and date of birth. This means they are collecting distinct pieces of information, even though they are related to the same general concept of age.",partial,related_but_distinct,high,"QUESTION A asks for a specific date of birth, while QUESTION B combines age and date of birth, asking for both pieces of information about Person 1. Although they are related concepts about a person's age and date of birth, they ask for different specific data points and have different response formats.",no,near_duplicate,high,"Both questions request birthdate/age information for identifying an individual's precise age, with Question B being slightly more comprehensive by asking both age and birthdate",partial,89.79591836734694,near,True,False
P_0005,FAPS_0018,What is your date of birth?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,response_format_mismatch,high,"Both questions are asking about the age of a person, but the response formats are different. Question A asks for the date of birth, while Question B asks for the age and date of birth.",yes,related_but_distinct,high,"While both questions assess age, Question A solely requests the date of birth, whereas Question B requests both the age and date of birth specifically for Person 2. This distinction in what information is being asked makes them related but ultimately distinct in their focus.",no,related_but_distinct,high,"Question A asks only for birth date, while Question B requests both age and birth date for a specific person (Person 2), with an additional dimension of context/specificity",partial,89.79591836734694,near,False,False
P_0006,FAPS_0018,What is your date of birth?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,related_but_distinct,high,"The two questions are related in the sense that they both ask about age, but they are distinct in that Question A asks for the respondent's date of birth, while Question B asks for Person 3's age and date of birth. The concepts are related but not exactly the same.",no,related_but_distinct,high,"While both questions relate to age and date of birth, QUESTION A specifically asks for an individual's date of birth, whereas QUESTION B is more complex as it inquires about both the age and date of birth of a specific person, Person 3. This difference in specificity and complexity makes the questions distinct despite their related topic.",no,near_duplicate,high,"Both questions seek to capture a person's birthdate/age, with Question B being more specific about the individual's ordinal position. Core information request is essentially identical.",yes,89.79591836734694,near,True,False
P_0007,FAPS_0018,What is your date of birth?,ACS_0072,Where was this person born?,Age,not_comparable,high,"The two questions are asking about different concepts - one is asking for the respondent's date of birth, while the other is asking for their place of birth. These are fundamentally different pieces of information, even though they are both related to age/demographics.",no,related_but_distinct,high,"Question A asks for an individual's date of birth, which provides specific age information. Question B, however, inquires about the place of birth, which is a different aspect of a person's background. While both questions are related to age in a broader sense, they are asking distinctly different things.",no,related_but_distinct,high,"Question A seeks individual's precise birth date/age, while Question B asks birthplace location, which are different pieces of demographic information sharing a broad connection to personal origin",partial,44.44444444444444,distinct,False,False
P_0008,FAPS_0018,What is your date of birth?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,"The two questions are asking about completely different concepts - Question A is asking about the respondent's date of birth, while Question B is asking about the respondent's grandchildren living in the household. These are distinct and non-overlapping pieces of information.",no,not_comparable,high,"QUESTION A asks for a person's date of birth, which is a specific piece of information related to age. In contrast, QUESTION B asks whether a person has grandchildren under 18 living in their household, which pertains to family structure rather than age as a direct concept. Therefore, these questions are not comparable.",no,not_comparable,high,"Question A asks about an individual's birth date/age, while Question B asks about a specific family living arrangement (grandchildren present). Although both touch on age-related topics, they measure fundamentally different demographic information.",no,29.6875,distinct,True,True
P_0009,FAPS_0018,What is your date of birth?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,related_but_distinct,high,"The two questions are related in the sense that they both deal with age, but they are asking about different concepts - one is asking for the respondent's date of birth, while the other is asking about the respondent's role as a grandparent. They do not measure the same underlying construct.",no,not_comparable,high,"Question A asks for an individual's date of birth, which pertains to age directly. In contrast, Question B inquires about the caregiving responsibilities of a grandparent, which, while involving age-related concepts, fundamentally addresses a different subject matter. Therefore, they are not comparable.",no,not_comparable,high,"Question A requests an individual's birth date, while Question B is about current grandparental caregiving responsibilities. They both tangentially involve age but are fundamentally different questions about distinct aspects of demographic information.",no,28.93081761006289,distinct,False,False
P_0010,FAPS_0019,Please verify or enter correct age.,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,response_format_mismatch,high,"Both questions are asking about the current age of the respondent, but the response formats are different. Question A simply asks the respondent to verify or correct their age, while Question B asks for both the age and date of birth.",partial,related_but_distinct,high,"Both questions ask for age, but Question A requires verification or entry of the age while Question B asks for both age and date of birth. The additional request for date of birth in Question B makes it distinct from Question A, despite them both being related to the concept of age.",no,related_but_distinct,high,"Question A is a generic verification prompt, while Question B requests specific age and birthdate details. A seeks confirmation, B seeks precise documentation. Different levels of detail and intent.",partial,39.50617283950617,distinct,False,False
