classification,confidence,reference_period_a,reference_period_b,reasoning,consolidation_potential,pair_id,model
related_but_distinct,high,over the next week,not specified,"Question A asks for a household roster specifying who will be living at the address over the next week (a temporal, listing question). Question B asks for the relationship of a particular person to Person 1 (a relational category for an already-identified person). They address the same general topic (household relationships) but ask different things and use different response formats and reference frames.",no,P_0003,gpt-5-mini
related_but_distinct,high,over the next week,not specified,"Question A is a household roster prompt asking respondents to list all people who will be living at the address over the next week (a prospective household composition question). Question B asks only about the relationship of a specific person to Person 1 and does not request a roster or a time frame. The two address related topics but ask different specific information (who is living there vs. how a listed person is related), so they are related but distinct.",partial,P_0002,gpt-5-mini
related_but_distinct,high,over the next week,not specified,Question A is a household roster request asking who will be living at the address over the next week (including non-relatives and children). Question B asks for the relationship of a specific person to Person 1 and does not ask for a list of household members or specify a time frame. The core topics overlap (household composition/relationship) but the specific information requested and the reference period differ.,partial,P_0001,gpt-5-mini
near_duplicate,high,not specified,not specified,"Both questions request the respondent’s date of birth, so they capture the same core concept. Question B also asks for age in addition to date of birth, which is an extra item but does not change the DOB request itself, making the pair closely equivalent but not identical. There is no time reference in either question.",yes,P_0006,gpt-5-mini
near_duplicate,high,not specified,not specified,"Both questions elicit a person's date of birth (same core datum). Question B additionally asks for age and refers to a different household member (“Person 2”) rather than the respondent, so wording and respondent reference differ slightly. These are minor differences that do not change the underlying concept of collecting DOB.",partial,P_0005,gpt-5-mini
related_but_distinct,high,not specified,not specified,Question A asks for a specific temporal datum (date of birth) used to determine age; Question B asks for a geographic location (place of birth). They address different constructs (age vs birthplace) and one cannot substitute for the other.,no,P_0007,gpt-5-mini
related_but_distinct,high,not specified,current (living in this house/apartment),"Question A requests the respondent's exact date of birth (personal vital statistic). Question B asks whether the respondent has any own grandchildren under age 18 currently living in the household (household composition/relationship plus age condition). These ask different specific constructs (individual DOB vs. presence/age of household members), so they are related by the broad topic of age but are distinct measurements.",no,P_0008,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Both questions target a respondent's age, but Question B also requests the person's date of birth in addition to age. That introduces a different response format and additional data (DOB) that Question A does not collect. Because the core concept (age) is the same but the collected items differ, this is a response format mismatch.",yes,P_0010,gpt-5-mini
not_comparable,high,not specified,currently,"Question A asks for the respondent's date of birth (a specific personal demographic data point/age). Question B asks whether a grandparent is currently responsible for most basic needs of grandchildren under 18 living in the household (a caregiving/relationship status, answered yes/no). They address different concepts, units of analysis, and response formats, so they are not comparable.",no,P_0009,gpt-5-mini
near_duplicate,high,not specified,not specified,"Both questions elicit a respondent's age (same core concept). Question B additionally requests date of birth, which is extra identifying/detail information but does not change the underlying concept being measured. Because the difference is limited to an additional DOB item rather than a different topic or time frame, they are near duplicates.",yes,P_0011,gpt-5-mini
near_duplicate,high,not specified,not specified,"Both questions request a person’s date of birth (same core concept). Question B additionally asks for age and refers to ""Person 1"" rather than directly to the respondent, which is a minor subject-labeling and supplemental-item difference but does not change the DOB concept itself.",partial,P_0004,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A requests the respondent's age (a numeric/time-based demographic measure); Question B asks for birthplace (a geographic demographic attribute). They address different respondent attributes and use different response formats, so they are related only insofar as both are demographic items, not equivalent.",no,P_0013,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Both questions ask for a person’s age, but Question B also explicitly requests date of birth whereas Question A only asks to verify or enter age. That additional DOB element makes B ask for more precise identifying information and a different data element (birthdate) beyond the single age value. The core topic (age) overlaps, but the items are not equivalent because B collects an extra variable.",yes,P_0012,gpt-5-mini
exact_duplicate,high,not specified,not specified,"Both questions ask the respondent’s sex using equivalent wording and intent (binary male/female) — one framed as self-report (“Are you…”) and one as an enumerator label for Person 1, but that is only a contextual difference. There is no difference in reference period or implied response format that would change meaning or measurement.",yes,P_0016,gpt-5-mini
related_but_distinct,high,not specified,current (living in this house or apartment now),"Question A requests the respondent's exact age (a numeric value) with no temporal qualifier, whereas Question B asks a yes/no about whether the person has any of their own grandchildren under age 18 living in the household now. They address different units (individual's age vs household composition/relatives) and have different response formats and informational content (numeric age vs presence of under-18 grandchildren).",no,P_0014,gpt-5-mini
exact_duplicate,high,not specified,not specified,"Both items ask the respondent's sex using the same binary categories (male/female); the only difference is wording and the referent (direct self-report vs identification of Person 2), which does not change the concept or response format. There is no time frame referenced in either question.",yes,P_0017,gpt-5-mini
related_but_distinct,high,not specified,current,"Question A requests a numeric age value (verify or enter correct age) with no time frame, while Question B asks a yes/no about whether a grandparent is currently responsible for most basic needs of any grandchildren under age 18 who live in the household. They share the general topic of age (B uses an age threshold for grandchildren) but ask different substantive information (respondent's age vs caregiving responsibility for minors).",no,P_0015,gpt-5-mini
exact_duplicate,high,not specified,not specified,"Both questions ask for the respondent’s sex (male or female) with no time reference and imply the same response options. The only difference is grammatical perspective/placement (direct second-person vs third-person household roster labeling), which does not change the concept measured or response format. There is no substantive difference in meaning, reference period, or likely answer categories.",yes,P_0018,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A asks for race and/or ethnicity together and explicitly invites multiple selections; Question B asks only for a person’s race. The core topic (race) is shared, but A covers ethnicity as well and combines the two concepts, so they are not equivalent. Consolidation would only be possible if ethnicity is captured elsewhere in the linked data.",partial,P_0020,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A asks for respondents' race and/or ethnicity with a select-all-that-apply format covering multiple race categories and ethnicity together. Question B asks only whether the person is of Hispanic/Latino/Spanish origin as a single yes/no item. They overlap on ethnicity (Hispanic origin) but B is much narrower and uses a different response structure, so they are related but ask distinct things.",no,P_0019,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A asks broadly about respondent's race and/or ethnicity with a select-all-that-apply format, whereas Question B asks a yes/no about whether a specific household member (Person 2) is of Hispanic/Latino/Spanish origin. They differ in scope (self vs named person), content focus (race+ethnicity vs only Hispanic origin), and response format (select-all vs binary).",partial,P_0021,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A asks a respondent about their race and/or ethnicity with a multi-select format (broad coverage of race and ethnicity together). Question B asks a yes/no about whether a specific household member (Person 3) is of Hispanic/Latino/Spanish origin only. They address overlapping topical area (race/ethnicity) but ask different, non-equivalent specifics and use different referents and response formats.",partial,P_0023,gpt-5-mini
related_but_distinct,high,not specified,not specified,Question A asks about a respondent's race and/or ethnicity and explicitly allows selecting all that apply (combined race+ethnicity). Question B asks only about Person 2’s race (a specific household member) and does not mention ethnicity or the response format. These differences in target person and inclusion of ethnicity make them related on topic but not equivalent.,partial,P_0022,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A asks for ""race and/or ethnicity"" of the respondent and explicitly allows selecting all that apply, combining two constructs into one item. Question B asks only for a named household member's ""race"" (Person 3) and does not mention ethnicity; it also refers to a different referent (a specific household member rather than ""you""). These differences in target person and in whether ethnicity is solicited make them related in topic but not equivalent.",partial,P_0024,gpt-5-mini
exact_duplicate,high,currently,not specified,"Both questions elicit the respondent’s current marital status using the same set of categories (married, widowed, divorced, separated, never married). Question A explicitly states “currently,” while Question B does not specify a time frame but in practice asks current status; this minor wording difference does not change meaning or response format.",yes,P_0025,gpt-5-mini
reference_period_mismatch,high,current,past 12 months,"Question A asks for the respondent's current marital status (a point-in-time measure). Question B asks whether specific marital events (married, widowed, divorced) occurred during the past 12 months (an incidence/change measure). The different reference periods and event-vs-status formats mean they are not equivalent.",no,P_0026,gpt-5-mini
related_but_distinct,high,current,lifetime,"Question A asks about current marital status using categorical labels (married, widowed, divorced, separated, never married). Question B asks for a lifetime count of marriages, a different construct (number of marriages) and a numeric response format; it does not indicate current status. While related (both about marital history/status), they capture different information and are not interchangeable.",partial,P_0027,gpt-5-mini
related_but_distinct,high,current (point-in-time),year of last marriage (historical event),"Question A asks a respondent's current marital status using categorical options (married, widowed, divorced, separated, never married). Question B asks for the calendar year in which the person last married, i.e., timing of a past event. These address the same general topic (marriage) but ask different specific things and use different response types (current status vs. year of last marriage).",no,P_0028,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Both questions capture household relationship information but use different response formats: Question A is a binary yes/no asking specifically whether the respondent's spouse is a household member, while Question B is a categorical relationship question that can identify 'spouse' among many relationship categories. Because B yields richer, person-level relationship categories whereas A is a direct yes/no about the respondent's spouse, they are measuring the same core concept but with different formats.",partial,P_0029,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Question A asks a yes/no about whether the respondent's spouse is a household member, while Question B elicits a categorical relationship of a listed person to Person 1 (which can include 'spouse'). They cover the same relationship domain but use different response formats and specificity (A targets the respondent's spouse directly; B requires identifying which household member is the spouse).",partial,P_0031,gpt-5-mini
exact_duplicate,high,not specified,not specified,"Both questions ask for the familial/household relationship between a named person and a reference person; the only wording difference is the referent label (""you"" vs ""Person 1""). There is no time reference and both imply the same response content (relationship categories), so meaning and format are effectively identical.",partial,P_0032,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Question A is a direct yes/no about whether the respondent's spouse is a member of the household. Question B is a relationship classification for each listed person relative to Person 1 (categories include 'spouse'). They capture the same underlying relationship concept but use different response formats and operational contexts (A explicitly allows noting a spouse who is not a household member; B only classifies persons who are enumerated in the household), so they are not identical.",partial,P_0030,gpt-5-mini
near_duplicate,high,not specified,not specified,"Both questions elicit the categorical relationship between one household member and a reference person. The only substantive wording difference is the anchor: FoodAPS asks relationship to the respondent (“you”), while ACS asks relationship to “Person 1” (the household reference person), which may or may not be the respondent; otherwise they intend the same information and likely use comparable response categories. There is no mention of a time frame or differing response format.",partial,P_0033,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Both questions request a respondent's date of birth, but Question B additionally asks for the person's age, so they are not identical. The DOB item is the same core datum, but Question B covers an extra variable (age), making the pair distinct though closely related.",yes,P_0035,gpt-5-mini
exact_duplicate,high,not specified,not specified,"Both questions ask for the relationship of a named person to a reference person and differ only in phrasing of the reference (""you"" vs ""Person 1""). They capture the same core concept and would use the same categorical response options (family/household relationships). The only practical difference is the explicit reference frame label (respondent vs designated Person 1), which does not change meaning when Person 1 is the respondent or household reference.",partial,P_0034,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Both questions request a respondent's date of birth (same core datum), but Question B also separately requests the person's age, so it covers an additional item. Because B asks two items (age and DOB) rather than only DOB, the pair are not duplicates though they are closely related within the same demographic topic.",yes,P_0037,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A requests the respondent's date of birth (a specific temporal datum used to determine age), while Question B asks where the person was born (a geographic datum about birthplace). They address different attributes (time vs. place) and are not interchangeable; birthplace does not provide age and date of birth does not provide birthplace.",no,P_0038,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Both questions ask for the respondent’s date of birth, so they overlap on that core item; however Question B additionally asks for the person’s age, making it a distinct combined item rather than an identical question. Neither question specifies a reference period, so the difference is the extra age request, not timing.",yes,P_0036,gpt-5-mini
exact_duplicate,high,not specified,not specified,"Both questions elicit the respondent’s sex using the same binary framing (male/female). The wording differs only in formality and referent labeling (a named person vs. ""Person 1""), but there is no change in concept, time frame, or implied response format. Thus they are effectively identical in intent and use.",yes,P_0041,gpt-5-mini
related_but_distinct,high,not specified,current (living in the household at time of interview),"Question A asks for the respondent's exact date of birth (a personal identifier/age), while Question B asks whether the person has any grandchildren under 18 currently living in the household. They address different specific information: one is an individual’s birth date/age, the other is household composition regarding grandchildren under a particular age. The questions are on the same broad topic (age/family) but are not interchangeable.",no,P_0039,gpt-5-mini
exact_duplicate,high,not specified,not specified,"Both questions ask for the sex of a specific person (male or female) with no difference in time frame or response format. The only difference is wording/labeling (NAME vs Person 2), which does not change the concept being measured. Neither question asks about gender identity or any other attribute.",yes,P_0042,gpt-5-mini
related_but_distinct,high,date of birth (point in past),currently,"Question A asks for a respondent's date of birth (a specific demographic attribute/point-in-time event). Question B asks a yes/no about current caregiving responsibility for grandchildren under 18 living in the household (a role/responsibility/status). They address different constructs and have different response formats, so they are related by the general topic of age/family but are distinct.",no,P_0040,gpt-5-mini
exact_duplicate,high,not specified,not specified,"Both questions elicit the respondent’s sex using equivalent binary wording (male/female), differing only in superficial phrasing (using a name vs. identifying as “Person 3”). They ask the same attribute with the same implied response format and contain no time reference, so their meaning and use are effectively identical.",yes,P_0043,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A asks for a respondent’s race and/or ethnicity with a multi-select format (covers multiple racial categories and ethnicity together), whereas Question B asks only about Hispanic/Latino/Spanish origin as a single yes/no ethnicity question. The scope and response formats differ: A captures race plus ethnicity in a selectable list, B captures only Hispanic origin as a binary, so they are related (both about demographic background) but ask different specific information.",no,P_0044,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A asks for a respondent’s race and/or ethnicity with select-all-that-apply (a combined, multi-category item), whereas Question B asks only whether the person is of Hispanic/Latino/Spanish origin as a yes/no question. B captures a single ethnicity dimension (and is a subset of the ethnicity information in A) and uses a different, binary response format, so they are related but ask different specific information.",no,P_0046,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A explicitly asks for ""race and/or ethnicity"" and instructs respondents to ""Select all that apply,"" combining two constructs and allowing multiple selections. Question B, as presented, asks only about race (no mention of ethnicity) and does not include the explicit multi-select instruction, so the scope and response format differ in ways that affect comparability.",partial,P_0045,gpt-5-mini
related_but_distinct,medium,not specified,not specified,"Question A asks about ""race and/or ethnicity"" and explicitly allows multiple selections, combining two constructs (race and ethnicity) in one item. Question B asks only about race for a labeled household member (""Person 2"") and does not mention ethnicity; this is a substantive difference in what is being measured rather than a trivial wording change. The questions are on the same topic but ask different specific things.",partial,P_0047,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A asks a combined race and/or ethnicity item with a select-all-that-apply format, capturing multiple racial and ethnic identities. Question B asks only about Hispanic/Latino/Spanish origin as a yes/no item (a single-ethnicity probe). The scope and response formats differ, so they are related (both about race/ethnicity) but ask distinct things.",no,P_0048,gpt-5-mini
exact_duplicate,high,currently,not specified,"Both questions solicit the respondent's current marital status using the same categorical distinctions (married, widowed, divorced, separated, never married). Question A explicitly states ""currently,"" while Question B omits an explicit time frame but is conventionally asking for current status; this wording difference does not change meaning or response format.",yes,P_0050,gpt-5-mini
related_but_distinct,high,currently,past 12 months,"Question A asks for current marital status as a single categorical response (married, widowed, divorced, separated, never married). Question B asks about marital transition events that occurred in the past 12 months with separate yes/no items (married, widowed, divorced). These are related (marital topic) but ask different constructs (current status vs recent events) and have different response formats.",no,P_0051,gpt-5-mini
related_but_distinct,medium,not specified,not specified,"Question A asks about ""race and/or ethnicity"" and explicitly allows selecting all that apply, combining two constructs and a multi-select response format. Question B asks only about ""race"" for a labeled person (Person 3) and does not mention ethnicity or the response format; ACS typically treats Hispanic origin as a separate question. These differences make them related by topic (demographic race/ethnicity) but not equivalent.",partial,P_0049,gpt-5-mini
related_but_distinct,high,current,lifetime,"Question A asks about the respondent’s current marital status using categorical options (married, widowed, divorced, separated, never married). Question B asks for a lifetime count of marriages (numeric), which is a different construct. The two are related by topic but cannot substitute for each other because a count of marriages does not indicate current status and current status does not reveal number of past marriages.",no,P_0052,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Both questions aim to identify a spouse in the household, but Question A asks a direct yes/no about whether NAME’s spouse is a household member, while Question B elicits a relationship category for each person (which can indicate spouse). The difference is in response format and scope: A targets a specific relationship with a binary answer, B is broader (asks relationship to Person 1) and requires coding to infer spouse status.",yes,P_0054,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Question A is a binary yes/no about whether a named person's spouse is a member of the household. Question B asks for a categorical relationship of a person to Person 1 (e.g., spouse, child), which can identify spouse status but uses a different response format and a different referent (Person 1 vs NAME). Because B is a relationship category question rather than an explicit spouse-membership yes/no, they are not identical despite overlapping content.",partial,P_0056,gpt-5-mini
related_but_distinct,high,current,year of last marriage,"Question A asks current marital status using categorical response options (married, widowed, divorced, separated, never married). Question B asks for the year the person last got married (a historical/factual event), which does not directly indicate current status or provide comparable categorical responses. The items are on the same topic (marital) but measure distinct constructs and are not interchangeable.",no,P_0053,gpt-5-mini
not_comparable,high,this week and next week,not specified,"Question A asks for the reason a named child will not attend school during a specific short period (this week and next week). Question B asks for a person's age and date of birth, which is a demographic attribute and does not elicit attendance status or reasons. The two address different constructs (school attendance reason vs. age/DOB) and are not comparable.",no,P_0057,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Question A is a yes/no item asking whether NAME’s spouse is a member of the household (presence of spouse). Question B is a categorical relationship question asking how a listed person relates to Person 1 (which can include a 'spouse' category). The core concept (identifying a spouse among household members) is the same, but the response formats and the direction of questioning differ (binary presence vs. per-person relationship category).",yes,P_0055,gpt-5-mini
related_but_distinct,high,this week and next week,not specified,"Question A asks for the reason a named child will not attend school during a specific short reference period and provides categorical response options (including 'Not old enough'), while Question B requests factual demographic measures (age and date of birth). They address different constructs and response formats: A elicits a reason for non-attendance over a defined period, B elicits current/biographical age information.",partial,P_0058,gpt-5-mini
not_comparable,high,this week and next week,not specified,"Question A asks for the reason a person will not attend school during a specific two‑week period (this week and next week) and lists attendance-related categories. Question B asks where the person was born (place of birth/nativity) with no time reference. The two items measure entirely different constructs (school attendance status/reason vs birthplace), so they are not comparable.",no,P_0060,gpt-5-mini
related_but_distinct,high,this week and next week,not specified,"Question A asks for the reason a named person will not attend school over a specific near-term period (this week and next week) and provides categorical response options about attendance status. Question B asks for age and date of birth (demographic facts) with no attendance or short-term timeframe; age may be related but does not capture attendance reasons like summer break, homeschooling, disability, or enrollment status. Because they measure different specific constructs (attendance reason vs. age/dob), they are related but distinct.",partial,P_0059,gpt-5-mini
related_but_distinct,high,this week and next week,current (living in this house or apartment),"Question A asks why a named person will not attend school during a specific short future period (this week and next week) and provides multiple categorical reasons related to schooling status. Question B asks whether the person has any own grandchildren under 18 currently living in the household (a yes/no household composition question). They touch on age-related concepts but measure different subjects (school attendance status vs presence of grandchildren) and different information, so they are related but distinct.",no,P_0061,gpt-5-mini
reference_period_mismatch,high,past 30 days,past 12 months,"Both questions ask about receipt of SNAP/food stamp benefits, so the core concept is the same, but they use different reference periods (30 days vs 12 months). Additionally, Question A asks about the respondent personally while Question B asks about the respondent or any household member, which further changes the scope of inference. These differences prevent treating them as duplicates despite asking about the same program.",no,P_0063,gpt-5-mini
reference_period_mismatch,high,past 30 days,past 12 months,"Both questions ask about receipt of SNAP/Food Stamp benefits (yes/no) and are otherwise comparable in wording, but they use different reference periods (30 days vs 12 months). There are minor scope wording differences (""anyone at this address"" vs ""you or any member of this household"") and A includes explanatory text about EBT/state name, but the primary incompatibility is the time-frame difference which changes prevalence estimates. ",no,P_0064,gpt-5-mini
related_but_distinct,high,this week and next week,currently,"Question A asks, for a specific named child, the reason the child will not attend school during a defined two-week period (options about enrollment/age/attendance). Question B asks whether a grandparent is currently the primary caregiver for any grandchildren under 18 living in the household. They address different units (child attendance status vs grandparent caregiving), different constructs, and different response formats, so they are related by age/children topic but measure distinct concepts.",no,P_0062,gpt-5-mini
related_but_distinct,high,not specified,past 12 months,"Question A asks for the number of EBT cards issued to people at the address (a current/count measure, household-address unit) while Question B asks a yes/no about any household member receiving SNAP/Food Stamp benefits in the past 12 months (a retrospective receipt indicator). They differ in objective (card count vs receipt indicator), response format (numeric count vs binary), and A has no explicit reference period, so they are related by topic but ask different specific things.",no,P_0065,gpt-5-mini
related_but_distinct,high,not specified,past 12 months,"Question A asks which specific household members are assigned to and receive benefits under a particular EBT card (a person-level, card-assignment question, with no explicit time frame). Question B is a household-level yes/no about any receipt of SNAP/Food Stamps in the past 12 months. They address the same program but ask different things (who is on a card vs whether anyone received benefits during a specific period).",no,P_0066,gpt-5-mini
related_but_distinct,high,not specified,past 12 months,"Question A asks, at the person level, which household members are assigned to specific EBT cards (a current/assignment mapping) and uses a name-selection response format. Question B is a household-level yes/no about any receipt of SNAP/Food Stamps in the past 12 months. They address the same topical domain but ask different specific information and use different response formats and time framing.",no,P_0068,gpt-5-mini
related_but_distinct,high,last time you received benefits,past 12 months,"Question A asks for a dollar amount loaded to an individual’s EBT card at the last issuance (an amount and event-level question), while Question B is a household-level yes/no about any receipt of SNAP in the past 12 months. They differ in unit (individual/event vs household), response format (dollar amount vs yes/no), and explicit reference period.",no,P_0070,gpt-5-mini
related_but_distinct,high,not specified,past 12 months,"Question A asks, at the person level, which household members are assigned to two specific EBT cards (identifying who receives benefits under those cards) and does not specify a time frame. Question B is a household-level yes/no about whether anyone received SNAP benefits in the past 12 months. The unit of analysis (identifying named recipients vs a household-level receipt indicator), response format, and explicit reference period differ, so they are related by topic but ask different things.",no,P_0067,gpt-5-mini
response_format_mismatch,high,not specified (asks for the date of last receipt),past 12 months,"Both ask about receipt of SNAP/Food Stamp benefits, but Question A requests a specific calendar date of last receipt (a date response) while Question B is a yes/no about any receipt within the past 12 months (a bounded reference period). The difference in response format (date vs binary) and the explicit 12-month window in B mean they are not directly equivalent for analysis or prevalence estimates.",no,P_0069,gpt-5-mini
reference_period_mismatch,high,ever (lifetime),past 12 months,"Question A asks whether anyone has ever received SNAP benefits (a lifetime/ever reference), while Question B asks specifically about receipt in the past 12 months. The core concept (receipt of SNAP/Food Stamp benefits) is the same, but the differing reference periods make the measures non-equivalent for prevalence over time.",no,P_0071,gpt-5-mini
exact_duplicate,high,last 12 months,past 12 months,"Both questions ask whether the respondent or any household member/anyone at the address received SNAP/Food Stamp benefits in the same 12-month reference period and imply the same yes/no response format. Wording differs only minimally (""anyone at this address"" vs. ""any member of this household"" and explicit expansion of SNAP in ACS), without changing meaning or scope. ",yes,P_0072,gpt-5-mini
