pair_id,survey_q_id,survey_text,acs_q_id,acs_text,subtopic,claude_classification,gpt_classification,claude_confidence,gpt_confidence,claude_reasoning,gpt_reasoning,claude_consolidation_potential,gpt_consolidation_potential,claude_reference_period_a,gpt_reference_period_a,claude_reference_period_b,gpt_reference_period_b,models_agree
CPS_0000,CPS_6,(What are the names of all persons living or staying here? / What is the name of the next person,ACS_19,How many people are living or staying at this address?,Population,response_format_mismatch,response_format_mismatch,high,high,"Both questions ask about the same core concept: persons living or staying at a residence at a specific point in time. However, Question A requests individual names (open-ended list format with follow-up for each person), while Question B asks only for a count or total number (numeric response). These fundamentally different response formats make them operationally distinct despite measuring the same underlying population roster.","Both questions target the household population (people living or staying at the address) but Q A requests individual names (a person-level roster) while Q B requests only an aggregate numeric count. That difference in response format is material: Q A can produce counts plus person-level identifiers and relationships, whereas Q B cannot provide any person-level detail.",partial,partial,not specified,not specified,not specified,not specified,True
CPS_0001,CPS_6,(What are the names of all persons living or staying here? / What is the name of the next person,ACS_20,Please print today’s date.,Population,not_comparable,not_comparable,high,high,"Question A asks for names of household members (roster/enumeration question), while Question B asks for today's date (administrative/reference information). These are fundamentally different concepts—one collects substantive demographic data about who lives in the household, the other is a procedural/dating question. They cannot be consolidated or substituted for one another.","Question A collects the names of household members (a household roster), while Question B requests the current date; they are asking entirely different data elements. The response formats differ (list of names versus a date) and there is no substantive overlap in meaning or use. Therefore they are not comparable.",no,no,current/present (living or staying here),not specified,not specified,today,True
CPS_0002,CPS_10,Are there any other persons 15 years old or older now living or staying there? (Who have not been listed.) How many other?,ACS_19,How many people are living or staying at this address?,Population,near_duplicate,related_but_distinct,high,high,"Both questions aim to enumerate persons currently residing at a household address at a single point in time. Question A explicitly excludes those already listed and specifies age 15+, while Question B captures all persons without age restriction. The core concept of current household membership is identical, but Question A's age restriction and explicit exclusion language represent meaningful operational differences in scope despite measuring the same underlying construct.","Question A asks specifically about additional persons aged 15 years or older who have not been listed and uses present tense ('now living or staying there'), while Question B asks for the total number of people at the address with no age restriction and no explicit 'other/not listed' qualifier. They address the same general population topic but differ in the target population (age 15+ versus all ages) and in context (A is a follow-up about 'other' unlisted persons).",partial,yes,now,now (currently living or staying there),not specified,not specified,False
CPS_0003,CPS_10,Are there any other persons 15 years old or older now living or staying there? (Who have not been listed.) How many other?,ACS_20,Please print today’s date.,Population,not_comparable,not_comparable,high,high,"Question A asks about household roster information (identifying other household members 15+), while Question B requests administrative metadata (today's date). These are fundamentally different types of information serving different purposes—one collects substantive demographic data, the other captures survey administration timing. They share no meaningful conceptual overlap despite both appearing in federal surveys.","Question A asks about household composition — whether there are other persons age 15+ currently living or staying at the address and how many; Question B simply requests the interview date. They address different constructs (population count vs. administrative/interview metadata) and have different response formats, so they are not comparable.",no,no,now/currently,now (currently living or staying there),not specified,today (date of interview),True
CPS_0004,CPS_11,I have listed . . . READ NAMES Have I missed any babies or small children?,ACS_19,How many people are living or staying at this address?,Population,related_but_distinct,related_but_distinct,high,high,"Both questions address household population, but they serve different purposes in the enumeration process. Question A is a targeted follow-up probe specifically designed to catch young children (babies and small children) that may have been omitted from an initial roster, while Question B is a global household roster question asking for a total count of all people living or staying at the address. Question A is a quality control mechanism during the listing process, whereas Question B is the primary enumeration question.","Question A is a probe asking whether any babies or small children were missed from a listed household roster (eliciting names/confirmation), while Question B asks for a numeric count of all people living or staying at the address. They differ in scope (only infants/young children vs. everyone) and in response format (yes/elicitation of names vs. a numeric total), so they are about the same broad topic (population) but ask different specific things.",partial,partial,not specified,not specified,not specified,not specified,True
CPS_0005,CPS_11,I have listed . . . READ NAMES Have I missed any babies or small children?,ACS_20,Please print today’s date.,Population,not_comparable,not_comparable,high,high,"Question A asks about the presence of babies or small children in a household (roster verification), while Question B simply requests the current date. These are entirely different concepts—one is about household composition and the other is administrative data collection. They serve different purposes and have no semantic overlap.","Question A asks whether any babies or small children were missed from a household roster (a substantive population enumeration prompt). Question B simply requests the interviewer record today’s date (an administrative/metadata item). They address completely different concepts and purposes, not just different wording or formats.",no,no,not specified,not specified,today,not specified,True
CPS_0006,CPS_12,"Have I missed anyone who usually lives here but is away now -traveling, at school, or in a hospital?",ACS_19,How many people are living or staying at this address?,Population,related_but_distinct,related_but_distinct,high,high,"Both questions address household composition at the time of survey, but they approach it from opposite angles. Question A asks about capturing omissions—specifically people who usually live there but are temporarily absent. Question B asks directly for a count of all people currently at the address. Question A is a follow-up probe to improve completeness, while Question B is a direct enumeration question. They are complementary rather than equivalent, as A helps identify undercount while B seeks the total count.","Question A asks whether anyone who usually resides at the address is temporarily absent now (aiming to capture usual residents who are away), and is a yes/no prompt. Question B asks for the number of people currently living or staying at the address (a de facto/current headcount), a different target population and numeric response. The two address population concepts overlap only partially (usual vs. current residents) and differ in both intent and response format.",no,no,current/present (people away now),usually lives here (but is away now — current/at time of interview),current/present (living or staying at this address),current (living or staying at this address at time of interview),True
CPS_0007,CPS_12,"Have I missed anyone who usually lives here but is away now -traveling, at school, or in a hospital?",ACS_20,Please print today’s date.,Population,not_comparable,not_comparable,high,high,"Question A asks about household roster completeness by identifying people temporarily away from the residence, while Question B is a procedural administrative question asking the respondent to record the survey date. These address entirely different concepts—one is substantive population coverage, the other is survey administration/documentation. They cannot be consolidated or compared for equivalence.","Question A asks about household composition—whether usual residents are currently away—whereas Question B is an administrative request for the current date. They address entirely different concepts (absent household members vs. recording today's date) and do not overlap in content, intent, or response type.",no,no,current/present (people away now),now (currently away),not specified (administrative date),today,True
CPS_0008,CPS_31,"Since our last interview, has any household member had any changes in his or her Marital Status?",ACS_90,What is this person’s marital status?,Marital Status,reference_period_mismatch,response_format_mismatch,high,high,"Both questions address marital status but differ fundamentally in their temporal approach. Question A (CPS) asks about changes in marital status since a previous interview, making it a change-detection question with a variable reference period. Question B (ACS) asks for current marital status without reference to time, making it a status snapshot. While both touch on marital status, they serve different analytical purposes: one identifies transitions, the other captures point-in-time classification.","Question A is a household-level, yes/no screen asking whether any household member experienced a change in marital status since the last interview. Question B is a person-level question asking the respondent's current marital status using categorical response options and contains no explicit reference period. The core concept (marital status) is shared but the response formats, unit of analysis, and implicit timing differ, so they are not equivalent.",partial,partial,since last interview (change-detection),since our last interview,not specified (current status snapshot),not specified,False
CPS_0009,CPS_31,"Since our last interview, has any household member had any changes in his or her Marital Status?",ACS_91,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital Status,reference_period_mismatch,reference_period_mismatch,high,medium,"Both questions measure changes in marital status using similar response categories (married, widowed, divorced), but Question A uses a vague reference period ('since our last interview') while Question B explicitly specifies 'past 12 months.' Additionally, Question A asks about 'any changes' as a yes/no gating question, whereas Question B uses a forced-choice format listing specific events. The reference period ambiguity in Question A makes direct comparison problematic unless the interview interval is known to be standardized at 12 months.","Both questions address changes in marital status (marriage, widowhood, divorce) but Question A asks about changes ""since our last interview"" (a variable interview-to-interview period) while Question B fixes the reference to the past 12 months. Additionally, Question A is asked at the household level about any household member and is a general yes/no prompt, whereas Question B is person-level with specific event checkboxes; these differences affect comparability but the primary mismatch is the time frame. ",partial,partial,"since last interview (varies, typically 12 months for annual CPS but can be shorter)",Since our last interview,past 12 months,past 12 months,True
