survey,source_q_id,source_text,best_match_q_id,best_match_text,subtopic,best_feasibility,barrier_category,barrier_subcode,barrier_description,confidence,score_borda,score_entropy,triage_quadrant,specific_conflicts,arbitrator_reasoning,pair_id
CPS,CPS_34,"Do you have a boyfriend, girlfriend or partner in this household?",ACS_21,What is Person 1’s name? How is this person related to Person 1?,Relationship,F1,CC,CC.2,Operationalization,HIGH,0.75,0.2103099178571524,Q3,"CPS asks directly (yes/no) whether the respondent has a boyfriend/girlfriend/partner in the household; ACS captures partner presence indirectly through relationship codes to Person 1, requiring identification of 'unmarried partner' category to derive equivalent information. | Direct yes/no partner-in-household item vs. roster-based relationship-to-reference-person categories (e.g., unmarried partner), requiring derivation of the binary from relationship codes. | Survey asks a direct binary question about partner presence, whereas ACS requires deriving this status from household relationship codes.","[Anthropic — F1/CC.2] Raters A and B both coded CC.2 (operationalization difference), which is the correct classification. The core concept being measured is the same - whether the respondent has a romantic partner in the household. However, the operationalization differs: CPS asks directly with a yes/no question, while ACS captures this through relationship codes to Person 1. This is an operationalization difference (CC.2) rather than a concept definition difference (CC.1) because both questions ultimately aim to identify partner presence in the household. Rater A's F1 feasibility is correct because if the ACS relationship codes include 'unmarried partner' and the reference person aligns, you can directly derive the CPS binary through a simple recode of the relationship variable. Rater C's CC.1 coding overstates the conceptual difference - the underlying concept (partner in household) is the same, just measured differently. Rater B's F2 is too conservative given that the derivation is straightforward when relationship codes are available. ||| [Openai — F1/CC.2] The core issue is operationalization: the survey question asks directly (yes/no) whether the respondent has a boyfriend/girlfriend/partner in the household, while the ACS identifies relationships through a roster-based relationship-to-Person-1 classification. The underlying construct (presence of a romantic partner in the household) can be approximated from ACS by checking whether any household member is coded as an unmarried partner (and potentially spouse, depending on whether the survey’s “partner” includes spouses). This is a mechanical derivation rather than requiring modeling, so the primary barrier is construct operationalization with direct recoding possible, not fundamental incompatibility. ||| [Google — F1/CC.2] The fundamental difference lies in the operationalization of the construct: the Survey Question asks a direct binary screening question about the presence of a partner, while the ACS derives this information from a household relationship roster. This is a classic CC.2 barrier. Regarding feasibility, the ACS relationship codes (specifically 'husband/wife' and 'unmarried partner') can be mechanically aggregated to create a binary indicator of partner presence equivalent to the Survey Question, making this a direct recode (F1). Rater A correctly identifies both the nature of the barrier and the high feasibility of harmonization.",CPS_0521
CPS,CPS_174,"(THE WEEK BEFORE LAST/LAST WEEK), could (you/he/she) have started a job IF one had been offered?",ACS_113,"LAST WEEK, could this person have started a job if offered one, or returned to work if recalled?",Unemployment,F2,CC,CC.4,Scope inclusions,HIGH,0.6666666666666666,0.2818152899285843,Q3,"ACS includes 'returned to work if recalled' as part of availability measure, while CPS asks only about starting a new job if offered; additionally, CPS has flexible reference period (week before last/last week) vs ACS fixed to last week. | ACS combines availability to start a new job if offered OR return to work if recalled; CPS item covers only starting a job if offered, creating a scope inclusion difference. | ACS includes 'returned to work if recalled' in its availability definition, while the other question strictly limits the scope to starting a new job.","[Anthropic — F2/CC.4] While all raters identify temporal differences (CPS uses 'week before last/last week' vs ACS's fixed 'last week'), the more substantive barrier is the scope difference: ACS explicitly includes 'or returned to work if recalled' which expands the construct beyond just starting a new job. This is a CC.4 (scope inclusions) issue because ACS captures an additional pathway to work availability that CPS handles separately. Per the taxonomy hierarchy, CC > TC when temporal differences are secondary to construct differences. The temporal variation is minor and mechanically addressable, but the scope difference in what counts as 'availability' requires statistical adjustment or assumptions to harmonize, making F2 appropriate. ||| [Openai — F2/CC.4] The binding difference is not the (minor) timing phrasing but the construct scope: ACS explicitly broadens the condition to include the ability to “return to work if recalled,” whereas CPS asks only about starting a job if offered (with the reference week rotating between last week/week before last). That added recall/return-to-work component can change who answers “yes” (e.g., laid-off workers awaiting recall) and cannot be removed via simple recoding because CPS does not collect the same combined construct in this item. Harmonization would require restricting analysis to the common component with assumptions or modeling, hence statistical adjustment rather than direct recode. ||| [Google — F2/CC.4] Rater A correctly identifies that the inclusion of the clause 'or returned to work if recalled' in the ACS question broadens the scope of the construct compared to the survey question, which only asks about starting a job. While there are temporal differences in how the reference week is described (dynamic vs fixed), the construct difference regarding what constitutes 'availability' (inclusion of recall potential) is the primary barrier (Rule 4: CC > TC). This requires statistical adjustment or assumptions to harmonize effectively, as the groups covered differ.",CPS_0207
CPS,CPS_177,(Have / Has) (name/you) worked at a job or business at any time during the past 12 months?,ACS_114,"When did this person last work, even for a few days?",Employment Status,F1,RS,RS.1,Scale type,LOW,0.5833333333333334,0.0793801642856949,Q3,"CPS uses binary Yes/No for work in past 12 months; ACS uses categorical time-since-last-work scale that can be recoded to match the 12-month threshold. | Bounded 12-month retrospective (any work) vs unbounded time-since-last-work recency question; alignment requires collapsing ACS categories to a within-12-month indicator with assumptions. | One question uses a binary Yes/No format for a 12-month period, while the other uses a categorical scale or specific date for time since last work.","[Anthropic — F1/RS.1] While Raters B and C both coded TC.2, their reasoning overstates the incompatibility. The ACS question 'When did this person last work?' has response categories that include time-bounded options (e.g., 'Within the past 12 months', '1 to 5 years ago', etc.). This means ACS responses CAN be recoded to match the CPS binary (worked/did not work in past 12 months) by collapsing the 'within past 12 months' category to 'Yes' and other categories to 'No'. The primary barrier is the response scale format difference (binary Yes/No vs. categorical time-since-work), not an irreconcilable temporal construct difference. Both questions ultimately can identify whether someone worked in the past 12 months - they just capture this information differently. Rater A correctly identifies this as a response scale difference that is mechanically transformable. ||| [Openai — F2/TC.2] The binding difference is temporal framing: CPS asks a bounded yes/no about any work in the past 12 months, while ACS asks an unbounded recency question (time since last worked). However, because ACS response categories typically include a threshold that can be collapsed to indicate whether last work occurred within the past 12 months, the measures can be aligned to the CPS concept under an assumption that “last worked within 12 months” serves as a proxy for “worked at any time in the past 12 months.” This is not a purely mechanical recode in all cases (it depends on category boundaries and assumes no intermittent work after the last-work date concept), so harmonization is feasible but requires assumptions rather than being fundamentally incompatible. ||| [Google — F1/RS.1] Rater A correctly identifies that despite the different question stems (temporal framing vs. recency), the response scales are compatible for harmonization. The ACS question typically includes response categories (e.g., 'Within the past 12 months') or year values that can be mechanically recoded into the binary Yes/No format of the comparison question. Raters B and C incorrectly classify this as 'Incompatible' (F3); however, since the information in the ACS question subsumes the 12-month binary indicator, this is a resolvable scale difference (F1) rather than a fundamental blocking conflict.",CPS_0422
CPS,CPS_33,Enter line number of spouse of (name of person talking about),ACS_26,What is Person 2’s name? How is this person related to Person 1?,Relationship,F2,RS,RS.1,Scale type,MODERATE,0.5833333333333334,0.0531847100714156,Q3,"CPS uses a numeric line number pointer to identify spouse within household roster; ACS uses categorical relationship labels relative to a reference person (Person 1). Different response formats and reference person structures. | CPS records spouse via a numeric line-number pointer; ACS identifies spouse via relationship-to-Person-1 (and name), requiring a roster-based crosswalk from relationship category to the spouse’s person/line number. | CPS uses a numeric line number pointer to identify the spouse; ACS uses categorical relationship labels relative to the reference person.","[Anthropic — F2/RS.1] Two raters (B and C) agree on RS.1 as the barrier code, identifying the fundamental difference between a numeric pointer/line number system (CPS) and categorical relationship labels (ACS). Rater A coded RS.4 (numeric vs verbal), but RS.1 (scale type - fundamentally different response formats) is more appropriate because this isn't simply a numeric scale versus verbal labels issue - it's a structural difference in how relationships are captured (pointer-based linkage vs. categorical relationship to reference person). The feasibility is F2 rather than F3 because with roster information and proper linking, statistical adjustment could potentially map line number pointers to relationship categories, though this requires assumptions about household structure. Rater B's F3 may be too pessimistic given that roster data could enable harmonization with modeling. ||| [Openai — F1/RS.1] The binding harmonization issue is a fundamentally different response format used to identify a spouse: CPS captures a within-household linkage via a line-number pointer to the spouse’s roster entry, whereas the ACS item uses name/relationship reporting (relationship category relative to Person 1) rather than a numeric pointer. This is best classified as RS.1 (scale/format type mismatch). Despite the format difference, harmonization is mechanically feasible when both instruments have a household roster: you can derive the spouse’s line number in ACS by identifying the person whose relationship-to-Person-1 is 'spouse' (or equivalent) and then mapping to that person’s roster line/person number. No modeling is required; it is a deterministic transformation given standard ACS roster structure. ||| [Google — F2/RS.1] The fundamental difference lies in the response structure: CPS uses a numeric pointer (line number) to link individuals directly, while ACS uses a categorical relationship label relative to a reference person (Person 1). This is best classified as RS.1 (Scale type) rather than RS.4, as a line number is an index/identifier, not an intensity scale. Feasibility is F2 because converting relationship categories (ACS) into specific spouse pointers for all household members (including non-reference persons) requires complex derived logic or assumptions (e.g., identifying subfamilies), not just a simple mechanical recode.",CPS_0519
CPS,CPS_26,"(Are / Is) (name of person talking about) (your / father's name) biological, step, or adopted child?",ACS_31,What is Person 3’s name? How is this person related to Person 1?,Relationship,F2,CC,CC.2,Operationalization,MODERATE,0.5,0.1409076449642921,Q3,"CPS explicitly distinguishes biological, step, and adopted children; ACS captures parent-child relationship without specifying parentage type, requiring assumptions to harmonize. | CPS distinguishes biological/step/adopted child status relative to a specified parent, while ACS captures only general relationship to the household reference person (Person 1) and typically lacks the child-type indicator, making the CPS construct unavailable. | CPS distinguishes between biological, step, or adopted children; ACS uses a single 'Son or daughter' label, creating a granularity mismatch.","[Anthropic — F2/CC.2] All three raters identify a core issue: CPS distinguishes between biological, step, and adopted children while ACS uses a general relationship category. Rater A codes RS.2 (category structure), but this is not merely a response scale difference - the surveys operationalize the parent-child relationship concept differently. Rater B codes CC.1 (concept definition), but both surveys are measuring parent-child relationships - the core concept is the same. Rater C codes CC.2 (operationalization), which is most accurate: both surveys capture parent-child relationships but operationalize them differently - CPS explicitly asks about parentage type (biological/step/adopted) while ACS provides a general relationship category without this distinction. The feasibility is F2 because harmonization requires assumptions or modeling to infer child type from ACS data, which may not contain the biological/step/adopted distinction. ||| [Openai — F3/CC.2] The CPS item measures a specific construct: child type (biological vs step vs adopted) relative to a specified parent (you/father). The ACS relationship item primarily captures the kin relationship of Person 3 to Person 1 (e.g., “son/daughter”), which does not operationalize biological/step/adopted status. This is not just a response-category granularity issue (RS.2): ACS is missing the key indicator CPS requires, and the parental reference person may not align (Person 1 is not necessarily “father”). Without additional ACS fields explicitly identifying biological/step/adopted status relative to the relevant parent, harmonization cannot be done via recode or defensible statistical adjustment; the needed construct is absent. ||| [Google — F2/RS.2] The primary barrier is the difference in the granularity of the response categories. The CPS question explicitly distinguishes between biological, step, and adopted children, whereas the ACS question (as described in the conflict) uses a broader 'Son or daughter' category. This fits the definition of RS.2 (Category structure). Harmonizing the ACS data to the specific CPS subtypes is not possible via direct recode and would require imputation or modeling, justifying the F2 feasibility rating. Rater B's construct argument regarding the reference person is secondary to the immediate lack of equivalent categories. Rater C's classification of F1 is inconsistent with the need for assumptions to distinguish subtypes.",CPS_0514
CPS,CPS_45,"What is the name of (your/his/her) other Spanish, Hispanic, or Latino group?",ACS_24,"Is Person 1 of Hispanic, Latino, or Spanish origin?",Hispanic Origin,F1,CC,CC.4,Scope inclusions,MODERATE,0.5,0.1350264792820726,Q3,"CPS asks for specific Hispanic subgroup name (detailed component); ACS asks general yes/no Hispanic origin screening (broad category) | CPS collects specific Hispanic/Latino subgroup name (detailed component), while ACS asks only general Hispanic/Latino/Spanish origin status (overall category).","[Anthropic — F2/CC.4] All three raters correctly identify that the CPS question asks for specific Hispanic subgroup names (a detailed follow-up) while the ACS asks a general yes/no screening question about Hispanic origin. This is fundamentally a scope/granularity difference - the CPS captures specific components (subgroup names) while ACS captures the general category. While Rater A's MC.2 (question routing) is partially valid since CPS is a follow-up question, the primary barrier is the construct difference in scope (CC.4) - one asks for specific subgroup detail, the other for general origin status. Rater B's CC.2 (operationalization) is close but CC.4 (scope inclusions/different components counted) better captures that these questions measure the same construct at different levels of specificity. The specific subgroup names can be mapped to confirm Hispanic origin (F2), but detailed subgroup information is lost in harmonization. ||| [Openai — F1/CC.4] The CPS item is a follow-up that captures detailed Hispanic/Latino subgroup identity via a write-in (“name of other group”), whereas the ACS item is a high-level screener for whether the person is of Hispanic/Latino/Spanish origin at all. The primary barrier is construct scope: one measures a component/detail within Hispanic origin (subgroup), the other measures the broader umbrella classification (any origin). Harmonization is possible only by collapsing the CPS detail to the broader ACS concept (any named subgroup implies 'Yes'), which is a deterministic mapping with information loss; the skip/routing aspect is secondary to the scope mismatch.",CPS_0896
CPS,CPS_292,(Are / Is) (you/he/she) enrolled in school as a full time or part time student?,ACS_73,"At any time IN THE LAST 3 MONTHS, has this person attended school or college?",School Enrollment,F3,CC,CC.2,Operationalization,LOW,0.4,0.1796896480488135,Q3,CPS measures current/point-in-time enrollment status while ACS captures any school attendance within a 3-month retrospective window | Different operationalizations of student status: current enrollment intensity (full-/part-time) vs any school attendance in past 3 months; ACS lacks intensity and captures a different behavioral indicator.,"[Anthropic — F2/TC.1] All three raters unanimously agree on TC.1 (reference period length) with F2 feasibility. The primary barrier is indeed temporal: CPS asks about current/point-in-time enrollment status while ACS asks about attendance 'at any time in the last 3 months.' This is a clear reference period length difference. While raters A and B correctly note there is also a secondary construct difference (enrollment intensity vs. attendance), the coding rules specify selecting the PRIMARY constraint. The temporal mismatch is the most fundamental barrier that would need to be resolved first - even if both questions measured the same construct, the different time windows would still prevent direct comparison. The F2 rating is appropriate because harmonization would require statistical modeling to account for enrollment transitions over the 3-month window. ||| [Openai — F3/CC.2] While there is a clear temporal mismatch (current status vs any time in last 3 months), the binding issue is that the items measure different constructs/indicators: the survey question asks about current enrollment status and intensity (full-time vs part-time), whereas the ACS asks about any attendance in the past 3 months (a participation/attendance event) with no intensity information. The temporal window difference implies a different operational definition of being a student (currently enrolled vs attended at least once recently), and the full-/part-time distinction cannot be recovered from the ACS item. Because the key construct elements are not jointly observable, harmonization cannot be achieved beyond a very lossy common denominator (e.g., any recent attendance), so the pair is effectively incompatible for the intended concept of enrollment intensity/current enrollment.",CPS_0908
CPS,CPS_305,Did (name/you) become a citizen of the United States through naturalization?,ACS_71,Is this person a citizen of the United States?,Citizenship,F3,CC,CC.4,Scope inclusions,MODERATE,0.4,0.0131241931059488,Q3,"CPS asks specifically about naturalization (one pathway to citizenship), while ACS asks about citizenship status generally. Naturalization is a subset of citizenship pathways, requiring additional variables (e.g., nativity) to harmonize. | CPS asks about naturalization (component/pathway), ACS asks about overall citizenship status (includes multiple routes), so responses are not mutually inferable.","[Anthropic — F2/CC.4] All three raters correctly identify this as a Construct (CC) barrier, but differ on the subtype. The key issue is that CPS asks about naturalization specifically (one pathway to citizenship), while ACS asks about citizenship status generally. This is best characterized as CC.4 (Scope inclusions - different components counted) because naturalization is one component/subset of how someone can be a citizen (others include birth in US, birth abroad to US parents). Rater C correctly identifies CC.4 but Rater B's point about feasibility is important - without additional variables like nativity, we cannot fully reconcile these. However, with nativity information (available in both surveys), we can identify naturalized citizens as foreign-born citizens, making F2 (statistical adjustment with assumptions) appropriate rather than F3. ||| [Openai — F3/CC.4] The CPS item measures a specific pathway/component of citizenship acquisition (naturalization), whereas the ACS item measures overall current citizenship status regardless of how it was obtained (birth, naturalization, derivative, etc.). These are not the same construct and the CPS item is not a simple re-expression of ACS: a ""Yes"" to ACS does not imply naturalization, and a ""No"" to naturalization does not imply non-citizenship. Without additional information (e.g., separate ACS categories for citizen by naturalization vs by birth, nativity/parents, etc.), the measures cannot be harmonized to a common variable through recoding; the only safe harmonization would be to a much narrower common subset (e.g., identifying naturalized citizens), which is not equivalent to the ACS citizenship status item.",CPS_0912
CPS,CPS_111,"Now I have some questions about the exact number of hours (name/you) worked (THE WEEK BEFORE LAST/LAST WEEK). (THE WEEK BEFORE LAST/LAST WEEK), did (you/he/she) lose or take off any hours from ((his/her) MAIN job/work), for ANY reason such as illness, slack work, vacation, or holiday?",ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?","Hours/Week, Weeks/Year",F2,TC,TC.1,Reference period length,LOW,0.3333333333333333,0.2818152899285843,Q3,"CPS asks about hours lost during a specific reference week; ACS asks about usual weekly hours during weeks worked over a 12-month period. The 1-week vs. 12-month reference period difference is the primary barrier. | CPS measures whether any hours were lost/taken off in a specific week (deviation/absence), while ACS measures usual weekly hours over the past 12 months (typical hours level); different operationalizations, not directly mappable. | CPS asks about a specific recent week (accounting for lost hours/deviations); ACS asks for usual weekly hours in the weeks worked over the past 12 months.","[Anthropic — F2/TC.1] All three raters agree on TC.1 as the barrier code, identifying the reference period difference (specific week vs. 12 months) as the primary issue. The disagreement is on feasibility. Rater A codes F3 (incompatible), while Raters B and C code F2 (statistical adjustment). The key consideration is that while there are also construct differences (hours lost vs. usual hours worked), the primary barrier is temporal - the reference period mismatch. With appropriate weeks-worked data and statistical modeling, some harmonization could be attempted, though it requires assumptions. The construct difference (hours lost in a specific week vs. usual hours worked) is secondary to the temporal mismatch and would be addressed through the statistical adjustment process. F2 is appropriate because while challenging, statistical methods could potentially bridge these measures with strong assumptions. ||| [Openai — F3/CC.2] Although all raters selected a temporal reference-period barrier (TC.1), the binding incompatibility is construct/operationalization. The CPS item asks whether the respondent LOST/TOOK OFF any hours from the main job in a specific recent week (an absence/reduction-from-usual indicator), not how many hours they usually worked. The ACS item asks for the USUAL number of hours worked per week during weeks worked over the past 12 months (a typical-hours level measure). Even if the time frame were aligned, one variable is about deviations (any hours lost) and the other is about typical weekly hours; there is no direct transformation from one to the other without additional information about usual hours and the magnitude of hours lost. Therefore the core operationalization differs and the measures are not harmonizable in a defensible way. ||| [Google — F2/TC.1] All raters agree on the primary barrier being TC.1 (Reference Period). Rater C provides the best justification for Feasibility (F2), recognizing that while the CPS text refers to 'lost hours' (a component of actual hours), the comparison is fundamentally between a concrete, recent-week measure (which accounts for deviations like lost hours) and a 12-month usual-hours average. This relationship allows for statistical adjustment (F2) rather than being strictly incompatible (F3), assuming the CPS question is treated as part of the broader 'hours worked' construct.",CPS_0047
CPS,CPS_123,(Have / Has) (you/he/she) been given any indication that ( you/he/she) will be recalled to work within the next 6 months?,ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status,F2,CC,CC.1,Concept definition,HIGH,0.3333333333333333,0.2818152899285843,Q3,CPS measures prospective employer indication of recall within 6 months; ACS measures current layoff status - different underlying concepts (future expectation vs. current state) | CPS measures recall indication/expectation within next 6 months; ACS measures layoff status last week—different core concepts (future recall expectation vs current layoff status). | Survey question measures specific expectation of recall (future-oriented communication); ACS measures self-identified layoff status (current state).,"[Anthropic — F2/CC.1] Two raters (A and C) coded CC.1, while Rater B coded CC.2. The key distinction is whether this is a concept definition difference (CC.1) or an operationalization difference (CC.2). The CPS question asks about receiving an indication of future recall - this is about employer communication/expectation regarding potential return to work. The ACS question asks about current layoff status. These are fundamentally different concepts: one measures prospective recall expectations, the other measures current employment state. While both relate to the broader domain of layoffs, they capture different constructs rather than different ways of measuring the same construct. CC.1 is appropriate. For feasibility, F2 is more appropriate than F3 because while the constructs differ, there is a logical relationship between layoff status and recall expectations that could be modeled with assumptions (those on layoff may or may not have recall indications), making statistical bridging possible though requiring substantive assumptions. ||| [Openai — F2/CC.1] The two items are not asking the same thing: the CPS question is about whether the person has been given an indication/expectation of recall within the next 6 months (a forward-looking recall notice/expectation concept), while the ACS question asks whether the person was on layoff last week (a point-in-time employment status classification). While related, recall expectation is neither necessary nor sufficient for being on layoff at a given time, and conversely someone on layoff may have no recall indication. Bridging them would require assumptions or modeling about the relationship between layoff status and recall expectations, so direct recoding is not possible but harmonization is not wholly impossible. ||| [Google — F3/CC.1] The two questions measure fundamentally different concepts (CC.1). The Survey Question asks about a specific future expectation/communication (indication of recall), which is a sub-component or condition of temporary layoff. The ACS question asks directly about the respondent's current labor force status (on layoff). While related, an indication of recall is not equivalent to the status of being on layoff (which may include indefinite layoffs or rely on self-identification). Because the constructs differ (attribute/expectation vs. status), they are likely incompatible for direct harmonization (F3).",CPS_0355
