classification,confidence,reference_period_a,reference_period_b,reasoning,consolidation_potential,pair_id,model
related_but_distinct,high,next week,not specified,"Question A asks for a roster of all household members living at an address over a specific time period (next week), functioning as a household composition question. Question B asks about the relationship between a specific person and Person 1, presupposing that household members have already been identified. These serve different purposes in the survey flow: A identifies who lives in the household, while B characterizes the relationship between already-identified individuals.",partial,P_0002,claude-haiku-4-5-20251001
related_but_distinct,high,next week,not specified,"Question A asks for a roster of all household members living at an address over a specific timeframe (next week), serving as a household enumeration question. Question B asks about the relationship of a specific person to Person 1, assuming the household roster has already been established. These are sequential questions in household surveys—A identifies who lives there, B classifies their relationship—rather than equivalent ways of measuring the same concept.",partial,P_0003,claude-haiku-4-5-20251001
near_duplicate,high,not specified,not specified,"Both questions ask for date of birth information to determine age, which is the same core concept. Question A directly requests date of birth, while Question B asks for both age and date of birth for a specific household member. The minor difference is that Question B specifies a particular person (Person 1) and requests age in addition to date of birth, but this does not materially change the fundamental concept being measured. Both are asking for the same underlying biographical information.",yes,P_0004,claude-haiku-4-5-20251001
related_but_distinct,high,next week,not specified,"Question A asks for a roster of household members living at an address (with a specific forward-looking time frame of one week), while Question B asks about the relationship between a specific person and Person 1. These serve different survey purposes: Question A establishes household composition/membership, while Question B captures relationship structure among already-identified household members. Question A is a household enumeration question; Question B is a relationship classification question that presupposes the household roster has already been established.",partial,P_0001,claude-haiku-4-5-20251001
not_comparable,high,not specified,not specified,"Question A asks for date of birth (a temporal fact about when a person was born), while Question B asks for place of birth (a geographic fact about where a person was born). These are fundamentally different dimensions—one pertains to age/time and the other to location. Although both relate to birth events, they collect entirely different types of information.",no,P_0007,claude-haiku-4-5-20251001
near_duplicate,high,not specified,not specified,"Both questions ask for date of birth information to establish age, which is the same core concept. Question A asks directly for date of birth, while Question B asks for both age and date of birth for a specific household member (Person 2). The minor difference is that Question B specifies a particular person and requests two related data points, but the substantive information sought (date of birth) is identical and serves the same analytical purpose.",partial,P_0005,claude-haiku-4-5-20251001
near_duplicate,high,not specified,not specified,"Both questions ask for date of birth information to establish age, which is the core concept under the SUBTOPIC of Age. Question A directly requests date of birth, while Question B requests both age and date of birth for a specific household member (Person 3). The minor difference is that Question B includes age as an additional element and specifies a particular person, but the date of birth component is functionally equivalent in meaning and intent.",yes,P_0006,claude-haiku-4-5-20251001
not_comparable,high,not specified,current household composition (at time of survey),"Question A asks for an individual's date of birth, which is a direct demographic identifier. Question B asks about the presence of grandchildren under 18 in the household, which is a relational/family composition question. While both relate to age indirectly, they measure fundamentally different constructs: one captures personal age data while the other captures household structure. They cannot substitute for one another.",no,P_0008,claude-haiku-4-5-20251001
not_comparable,high,not specified,current/ongoing,"Question A asks for a factual demographic identifier (date of birth), while Question B asks about current caregiving responsibilities for grandchildren. These measure entirely different concepts—one is a basic demographic attribute and the other is a household relationship/responsibility status. The subtopic label 'Age' does not create comparability here since Question B does not ask about age directly.",no,P_0009,claude-haiku-4-5-20251001
response_format_mismatch,high,not specified,not specified,"Both questions seek to collect age information, making them conceptually aligned on the core topic. However, Question A requests age verification/entry (implying a single numeric age value), while Question B requests both age AND date of birth (two distinct data points). This represents a meaningful difference in response format and data granularity that could affect how responses are collected, validated, and stored.",partial,P_0011,claude-haiku-4-5-20251001
response_format_mismatch,high,not specified,not specified,"Both questions ask for the same core concept (person's age), but they differ significantly in response format and comprehensiveness. Question A requests only age verification/entry (single data point), while Question B requests both age AND date of birth (two related data points). Question B's dual request provides more complete demographic information and allows for age calculation verification, whereas Question A appears to be a simpler verification step without the granular date-of-birth requirement.",partial,P_0010,claude-haiku-4-5-20251001
response_format_mismatch,high,not specified,not specified,"Both questions ask for age information, which is the core concept, but they differ significantly in response format and scope. Question A requests a single age value (verification/correction), while Question B requests both age AND date of birth as separate data points. Question B collects more granular information that could be used to derive age, making it more comprehensive despite asking about the same underlying attribute.",partial,P_0012,claude-haiku-4-5-20251001
not_comparable,high,not specified,not specified,"Question A asks for verification or correction of a person's age (a demographic characteristic), while Question B asks where a person was born (birthplace/geographic origin). These are fundamentally different data elements with no conceptual overlap. The only shared context is that both are demographic questions, but they measure distinct attributes.",no,P_0013,claude-haiku-4-5-20251001
