pair_id,primary_barrier_openai,feasibility_openai,specific_conflict_openai,additional_barriers_openai,reasoning_openai,primary_barrier_claude,feasibility_claude,specific_conflict_claude,additional_barriers_claude,reasoning_claude,barrier_l1_openai,barrier_l1_claude,arbitrated_barrier,arbitrated_feasibility,arbitration_source,arbitration_reasoning,final_barrier,final_feasibility,final_barrier_L1
CPS_0000,RS.1,F3,"CPS asks for names of individuals, while ACS asks for a count of people.",[],The fundamental difference in response format makes these questions incompatible for direct consolidation.,RS.1,F1,CPS collects individual names (open-ended text); ACS collects household count (numeric). Different response formats for same underlying construct.,[],Both measure household population but use fundamentally different response scales. CPS generates roster data while ACS generates aggregate count. Mechanically convertible by counting roster entries.,RS,RS,RS.1,F1,model_b,Both models correctly identified RS.1 (scale type difference) as the barrier - CPS collects names (open-ended text roster) while ACS collects a numeric count. The key disagreement is feasibility. Model B is correct that this is F1 (direct recode) because counting the number of roster entries from the CPS name collection directly yields the household count that ACS asks for. This is a mechanical transformation requiring no statistical modeling or assumptions - simply count the names listed. The underlying construct (household population) is the same; only the response format differs. Model A's F3 rating overstates the incompatibility since the CPS roster data contains all information needed to derive the ACS measure.,RS.1,F1,RS
CPS_0001,PC.1,F3,"CPS asks for names of individuals, while ACS asks for a date.",[],The questions are not comparable as they address entirely different constructs.,CC.1,F3,CPS asks for household roster names; ACS asks for survey date. Completely different constructs with no conceptual overlap.,[],"These measure entirely different concepts. One is demographic enumeration, the other is administrative metadata. Not harmonizable.",PC,CC,CC.1,F3,model_b,"Model B correctly identifies this as a construct difference (CC.1). The CPS question asks for names of household members (demographic enumeration), while the ACS question asks for today's date (administrative metadata). These are fundamentally different concepts with no conceptual overlap. Model A incorrectly coded this as PC.1 (Population/Coverage), but PC.1 applies when both questions measure the same construct but target different populations. Here, the questions measure entirely different constructs - one is collecting identifying information about people, the other is recording a date. The coding hierarchy specifies CC > PC when the core issue is conceptual difference, which it clearly is here.",CC.1,F3,CC
CPS_0002,CC.4,F2,"CPS asks about individuals 15 years or older, while ACS counts all individuals.",[],The difference in scope inclusions creates a barrier that requires statistical adjustment to harmonize.,PC.3,F2,CPS explicitly excludes persons under 15 years old ('15 years old or older'); ACS includes all ages. Different universe definitions.,['CC.2'],CPS age-filters the population (15+) while ACS counts all residents. Would require statistical adjustment to estimate missing under-15 population from CPS data.,CC,PC,PC.3,F2,model_b,"The CPS question explicitly restricts the population to persons '15 years old or older' while ACS counts all people regardless of age. This is fundamentally an age eligibility difference in defining who should be counted - a population/coverage constraint (PC.3: Age bounds). Model A coded this as CC.4 (scope inclusions), but the taxonomy distinguishes between construct-level scope issues and population-level universe restrictions. The age restriction here defines WHO is eligible to be counted (population universe), not WHAT components of a construct are measured. PC.3 directly addresses 'different age eligibility' which precisely matches this barrier. Statistical adjustment would be needed to estimate the under-15 population not captured by CPS.",PC.3,F2,PC
CPS_0003,PC.1,F3,"CPS asks for names of individuals, while ACS asks for a date.",[],The questions are not comparable as they address entirely different constructs.,CC.1,F3,CPS asks about household members 15+; ACS asks for survey date. Completely different constructs.,[],No conceptual relationship between demographic enumeration and administrative date collection. Not harmonizable.,PC,CC,CC.1,F3,model_b,"These questions measure completely different constructs with no conceptual relationship. The CPS question asks about household composition (counting persons 15+ living there), while the ACS question asks for today's date (administrative metadata). Model A incorrectly coded this as PC.1 (Universe definition), but population/coverage constraints apply when both questions are measuring related concepts but differ in who is included. Here, the fundamental issue is that the questions measure entirely different things - demographic enumeration vs. date recording - which is a construct definition difference (CC.1). Model B correctly identified this as CC.1 because the core concepts being measured are completely unrelated.",CC.1,F3,CC
CPS_0004,CC.4,F2,"CPS asks about missing babies or small children, while ACS counts all individuals.",[],The difference in scope inclusions creates a barrier that requires statistical adjustment to harmonize.,PC.3,F2,CPS specifically targets 'babies or small children' (implicitly under age threshold); ACS counts all ages. Different age scope.,['CC.2'],CPS is a targeted probe for young children after roster completion; ACS is comprehensive count. Would require modeling to estimate age distribution from CPS probe responses.,CC,PC,CC.4,F2,model_a,"The CPS question is a roster verification probe specifically checking for omitted babies/small children, while ACS asks for a total count of all people. The fundamental barrier is not about age bounds (PC.3) since neither question restricts eligibility by age - both surveys ultimately aim to count all household members. Rather, the barrier is about scope inclusions (CC.4): the CPS question only captures a specific subset (potentially missed young children) while ACS captures all individuals in one count. The construct operationalization differs - one is a targeted verification probe, the other is a comprehensive enumeration. PC.3 would apply if the surveys defined different age eligibility criteria, but here both aim to count all ages; they just use different approaches with different scopes of what gets captured in this specific question.",CC.4,F2,CC
CPS_0005,PC.1,F3,"CPS asks for names of individuals, while ACS asks for a date.",[],The questions are not comparable as they address entirely different constructs.,CC.1,F3,CPS asks about missed children; ACS asks for survey date. Completely different constructs.,[],No conceptual overlap between demographic enumeration and administrative metadata. Not harmonizable.,PC,CC,CC.1,F3,model_b,"Model B correctly identifies this as a construct difference (CC.1). The CPS question asks about household enumeration (whether any babies or small children were missed in the roster), while the ACS question asks for the survey date (administrative metadata). These are fundamentally different constructs with no conceptual overlap. Model A incorrectly coded this as PC.1 (population/coverage), but PC codes apply when questions measure the same construct but for different populations. Here, the questions don't even attempt to measure the same thing - one is about household composition verification and the other is date recording. The core barrier is that the concepts being measured are entirely different, making CC.1 the appropriate code.",CC.1,F3,CC
CPS_0006,CC.4,F3,"CPS asks about individuals who are away, while ACS counts all individuals at the address.",[],The difference in scope inclusions makes these questions fundamentally incompatible.,CC.1,F3,CPS asks about usual residents temporarily absent; ACS asks about current residents. Fundamentally different residence concepts (usual vs. present).,['TC.2'],CPS uses 'usual residence' concept (habitual framing) while ACS uses 'living or staying' (point-in-time). These produce different populations and cannot be reconciled without additional information about absent persons.,CC,CC,CC.1,F3,model_b,"The core issue here is a fundamental difference in how 'residence' is conceptualized. The CPS question specifically asks about people who 'usually live here but are away now' - using a usual residence concept that includes temporarily absent household members. The ACS question asks about people 'living or staying at this address' - which captures people currently present. This is a concept definition difference (CC.1) rather than a scope inclusion difference (CC.4). CC.4 would apply if both questions used the same residence concept but counted different components (e.g., one includes boarders, one doesn't). Here, the fundamental meaning of who counts as a resident differs - usual residence vs. de facto residence. Model B correctly identifies this as a residence concept definition issue. The F3 rating is appropriate because you cannot reconcile these without additional information about who is temporarily absent versus currently present.",CC.1,F3,CC
CPS_0007,PC.1,F3,"CPS asks for names of individuals, while ACS asks for a date.",[],The questions are not comparable as they address entirely different constructs.,CC.1,F3,CPS asks about absent household members; ACS asks for survey date. Completely different constructs.,[],No conceptual relationship. Not harmonizable.,PC,CC,CC.1,F3,model_b,"These two questions measure completely different constructs. The CPS question asks about household composition (specifically absent household members), while the ACS question asks for the survey date. This is a fundamental concept definition difference - the core constructs being measured have no conceptual relationship whatsoever. Model A incorrectly coded this as PC.1 (Universe definition), but PC.1 applies when both questions measure the same concept but define different target populations. Here, the questions don't even attempt to measure related concepts. Model B correctly identified this as CC.1 (Concept definition) because the barrier is that the questions measure entirely different things.",CC.1,F3,CC
CPS_0008,TC.2,F2,"CPS asks about changes since the last interview, while ACS asks for current marital status.",[],The temporal framing difference requires statistical adjustment to harmonize.,TC.2,F2,"CPS asks about changes since last interview (retrospective, variable period); ACS asks current status (point-in-time). Different temporal framing.",['CC.2'],CPS measures marital status changes over an inter-interview period (typically 4 months); ACS measures current status. Would require modeling assumptions about status transitions to harmonize.,TC,TC,,,,,TC.2,F2,TC
CPS_0009,TC.2,F2,"CPS asks about changes since the last interview, while ACS asks about changes in the past 12 months.",[],The temporal framing difference requires statistical adjustment to harmonize.,TC.1,F2,CPS asks about changes since last interview (variable ~4-month period); ACS asks about specific events in past 12 months. Different reference period lengths.,['CC.2'],"CPS reference period is inter-interview dependent (typically 4 months); ACS uses fixed 12-month window. Would require statistical adjustment to standardize reference periods, with assumptions about event distribution.",TC,TC,TC.1,F2,model_b,"Both questions are asking about retrospective changes in marital status, so the temporal framing (retrospective) is the same - both are asking about events that occurred in the past. The key difference is the LENGTH of the reference period: CPS uses a variable inter-interview period (typically ~4 months in the rotating panel design) while ACS uses a fixed 12-month window. This is a reference period length difference (TC.1), not a temporal framing difference (TC.2). TC.2 would apply if one asked about current status (point-in-time) vs. past events (retrospective), but both questions here are retrospective. Statistical adjustment (F2) is appropriate because harmonization requires assumptions about how marital status changes distribute over time to scale between the different period lengths.",TC.1,F2,TC
CPS_0010,CC.1,F3,"CPS asks about changes in marital status, while ACS asks about the number of times married.",[],The core concept of marital status change versus the count of marriages represents a fundamental difference in construct definition.,CC.2,F3,CPS asks about changes in marital status (binary event detection); ACS asks cumulative count of marriages (lifetime history),['TC.2'],These operationalize marital status fundamentally differently. CPS captures whether a change occurred since last interview (point event); ACS captures total number of times married (cumulative count). These measure different constructs and cannot be mechanically reconciled.,CC,CC,CC.1,F3,model_a,"Both models correctly identify this as a construct-level incompatibility, but the distinction between CC.1 (concept definition) and CC.2 (operationalization) is critical. The core issue here is that the two questions measure fundamentally different concepts: the CPS question asks about whether a CHANGE occurred (a transition event), while the ACS question asks for a COUNT of marriages (a cumulative total). These are not different ways of measuring the same underlying construct - they are measuring different constructs entirely. 'Change in marital status' and 'number of times married' have different core meanings, not just different behavioral indicators of the same concept. CC.2 would apply if both were trying to measure marital history but using different behavioral proxies; here, one measures recent transitions while the other measures lifetime marriage count. This is a concept definition difference (CC.1), making the questions fundamentally incompatible (F3).",CC.1,F3,CC
CPS_0011,TC.2,F3,"CPS asks about changes since the last interview, while ACS asks for the year of last marriage.",[],"The temporal framing of the questions is incompatible, as one is retrospective and the other is a fixed point in time.",CC.2,F3,CPS asks about changes in marital status (event occurrence); ACS asks year of last marriage (temporal anchor point),['TC.2'],CPS measures whether a marital status change occurred; ACS measures when the most recent marriage occurred. These are different operationalizations of marital history with no direct conversion path.,TC,CC,CC.2,F3,model_b,"While there is a temporal element to both questions, the fundamental barrier is construct-based. The CPS question asks about occurrence of ANY marital status change (marriage, divorce, separation, widowhood) since last interview - a binary event detection question. The ACS asks specifically about the year of most recent marriage - a different construct entirely that only captures one type of marital event (marriage) and seeks a date rather than event occurrence. Per the coding hierarchy rule that CC > TC when temporal difference implies construct difference, this is properly coded as CC.2 (operationalization difference). The questions measure different aspects of marital history with incompatible operationalizations: one detects any status change, the other anchors timing of a specific event type.",CC.2,F3,CC
