anthropic_final_barrier_code,anthropic_final_feasibility,anthropic_selected_rater,anthropic_reasoning,anthropic_specific_conflict,pair_id,anthropic_arbitrator,anthropic_arbitrator_model,anthropic_rater_order,anthropic_order_type,anthropic_selected_rater_key,anthropic_openai_barrier,anthropic_openai_feasibility,anthropic_anthropic_barrier,anthropic_anthropic_feasibility,anthropic_google_barrier,anthropic_google_feasibility,openai_final_barrier_code,openai_final_feasibility,openai_selected_rater,openai_reasoning,openai_specific_conflict,openai_arbitrator,openai_arbitrator_model,openai_rater_order,openai_order_type,openai_selected_rater_key,openai_openai_barrier,openai_openai_feasibility,openai_anthropic_barrier,openai_anthropic_feasibility,openai_google_barrier,openai_google_feasibility,google_final_barrier_code,google_final_feasibility,google_selected_rater,google_reasoning,google_specific_conflict,google_arbitrator,google_arbitrator_model,google_rater_order,google_order_type,google_selected_rater_key,google_openai_barrier,google_openai_feasibility,google_anthropic_barrier,google_anthropic_feasibility,google_google_barrier,google_google_feasibility,coverage_count,coverage
RS.1,F1,synthesis,"All three raters unanimously agree on RS.1 (Scale type - fundamentally different response formats) with F1 feasibility. Their reasoning is consistent: CPS collects individual names through an open-ended roster format, while ACS asks for a numeric count of persons. Both questions measure the same underlying construct (household population/composition), but the response formats are fundamentally different (text roster vs. numeric count). The F1 feasibility is appropriate because the roster entries can be mechanically counted to produce the ACS-equivalent total, making this a direct recode situation.","CPS collects individual names via open-ended roster format; ACS collects a numeric count of persons. Different response formats (roster list vs. integer) for the same household population construct, but roster can be mechanically counted to match ACS format.",CPS_0000,anthropic,claude-opus-4-5-20251101,"['anthropic', 'openai', 'google']",randomized,synthesis,RS.1,F1,RS.1,F1,RS.1,F1,CC.2,F3,synthesis,"Although all raters chose RS.1, the primary incompatibility is construct/operationalization rather than response format. The CPS item(s) are roster-building questions that operationalize the household population by enumerating each person (with names) and typically proceed person-by-person until the roster is complete; the ACS item asks only for an aggregate count. A roster can be counted, but the converse is not possible: the ACS count cannot produce the CPS roster, and the measurement process differs (enumeration vs simple numeric report), which can yield different results due to within-household listing errors vs numeric estimation. Because the intended outputs and level of measurement differ (person-level roster vs household-level count), this is not a simple response-scale recode for harmonization between the two questions as asked.","CPS operationalizes household population via person-level roster enumeration (names/person-by-person), while ACS operationalizes it as an aggregate household count; not directly harmonizable as equivalent items.",openai,gpt-5.2,"['anthropic', 'openai', 'google']",randomized,synthesis,RS.1,F1,RS.1,F1,RS.1,F1,RS.1,F1,Rater A,All three raters are in agreement and correct. The primary difference between the questions is the response format: one elicits a roster of names (text list) while the other elicits a total count (integer). This fits the definition of RS.1 (Scale type/fundamentally different response formats). The feasibility is F1 because a roster can be mechanically counted to produce the aggregate number required by the ACS question.,CPS collects individual names (open-ended roster); ACS collects count of persons (numeric).,google,gemini-3-pro-preview,"['anthropic', 'openai', 'google']",randomized,anthropic,RS.1,F1,RS.1,F1,RS.1,F1,3,"anthropic,openai,google"
CC.1,F3,synthesis,"All three raters unanimously agree on CC.1 (Concept definition) with F3 (Incompatible) feasibility. This is clearly correct - the CPS question asks for names of household members (demographic roster data), while the ACS question asks for today's date (administrative metadata). These are entirely different constructs with no conceptual overlap whatsoever. There is no possible way to harmonize a household membership roster with a calendar date, making this fundamentally incompatible.",CPS collects household member names (demographic roster) while ACS collects the survey date (administrative metadata) - completely unrelated constructs with no shared meaning or harmonization pathway.,CPS_0001,anthropic,claude-opus-4-5-20251101,"['openai', 'google', 'anthropic']",randomized,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,A,"All three raters agree the items measure entirely different constructs. The survey question elicits a household roster (names of persons living/staying in the housing unit), while the ACS item requests administrative metadata (today’s date). There is no shared underlying concept to map or recode, so harmonization is not feasible beyond acknowledging they are unrelated.",Household member name roster vs. interview date (administrative metadata); no conceptual overlap.,openai,gpt-5.2,"['openai', 'google', 'anthropic']",randomized,openai,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,A,"All three raters correctly identified that these questions measure completely unrelated constructs. One asks for a roster of household members (names), while the other asks for administrative metadata (today's date). Since there is no conceptual overlap, harmonization is impossible.",The Survey Question requests names of household members; the ACS Question requests the interview date. These are entirely different constructs.,google,gemini-3-pro-preview,"['openai', 'google', 'anthropic']",randomized,openai,CC.1,F3,CC.1,F3,CC.1,F3,3,"anthropic,openai,google"
PC.3,F2,synthesis,"All three raters unanimously agree on PC.3 (Age bounds) with F2 feasibility. The CPS question explicitly restricts to persons 15 years old or older, while the ACS question asks about all people regardless of age. This is a clear age-based population restriction. Additionally, the CPS question functions as a coverage probe for potentially missed household members (asking about 'other persons' not yet listed), while ACS asks for a total count. However, the primary harmonization barrier is the age restriction, as even if the probe nature were resolved, the age limitation would still prevent direct comparison. Statistical adjustment would be needed to account for the missing population under 15 years old.",CPS restricts to persons 15+ years old as a coverage probe for unlisted household members; ACS asks for total count of all persons regardless of age. Age-based universe difference creates systematic undercounting in CPS.,CPS_0002,anthropic,claude-opus-4-5-20251101,"['openai', 'google', 'anthropic']",randomized,synthesis,PC.3,F2,PC.3,F2,PC.3,F2,PC.3,F2,synthesis,"The CPS item is a coverage probe restricted to persons age 15+ (“other persons 15 years old or older…who have not been listed”), while the ACS item requests a total headcount of all people at the address regardless of age. This creates a systematic population/coverage mismatch driven primarily by the CPS age bound; even if routing/context differs, the binding harmonization constraint is that CPS cannot yield a full household count without additional information on under-15 residents and already-listed persons. Therefore harmonization would require statistical adjustment/assumptions rather than a direct recode.","CPS counts only additional unlisted persons age 15+ (follow-up probe), whereas ACS asks for total number of residents of all ages at the address.",openai,gpt-5.2,"['openai', 'google', 'anthropic']",randomized,synthesis,PC.3,F2,PC.3,F2,PC.3,F2,PC.3,F2,synthesis,"All three raters reached a consensus on the correct barrier code and feasibility. The primary discrepancy is the population definition regarding age: the Survey Question (CPS) explicitly restricts the scope to persons '15 years old or older', whereas the ACS question asks for a count of 'people' of all ages. This constitutes a Population/Coverage barrier (PC.3). Additionally, the CPS question is a roster probe ('any other') rather than a total count, complicating the comparison, but the age restriction is the binding definitional constraint requiring statistical adjustment (F2) for harmonization.","CPS restricts the count to persons 15+ years old (and functions as a follow-up probe), while ACS requests a total count of all persons regardless of age.",google,gemini-3-pro-preview,"['openai', 'google', 'anthropic']",randomized,synthesis,PC.3,F2,PC.3,F2,PC.3,F2,3,"anthropic,openai,google"
CC.1,F3,synthesis,"All three raters unanimously agree on CC.1 (Concept definition) with F3 (Incompatible) feasibility. This is clearly correct - the CPS question is a household roster probe asking about additional persons aged 15+ who haven't been listed, while the ACS question simply asks for today's date. These measure completely unrelated constructs: one is about household composition/population coverage, the other is administrative metadata about when the survey was completed. There is no conceptual relationship between these questions whatsoever, making harmonization impossible.",CPS asks about additional household members aged 15+ not yet listed (household roster probe); ACS asks for the current date (administrative metadata). These are entirely unrelated constructs with no conceptual overlap.,CPS_0003,anthropic,claude-opus-4-5-20251101,"['anthropic', 'openai', 'google']",randomized,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,A,"All three raters agree the items are not measuring the same underlying construct. The survey question is a household roster coverage probe about additional residents aged 15+ not yet listed, while the ACS item collects administrative metadata (today’s date). There is no shared concept or operational target to align, so harmonization is not possible beyond acknowledging they are unrelated variables.",Household membership/coverage (additional persons age 15+) versus interview date metadata; unrelated constructs with no conceptual mapping.,openai,gpt-5.2,"['anthropic', 'openai', 'google']",randomized,anthropic,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,synthesis,"All three raters correctly identified that these questions measure fundamentally different and unrelated constructs. The Survey Question is a roster probe seeking a count of unlisted household members, while the ACS Question is an administrative request for the date of completion. These variables cannot be harmonized as they share no conceptual basis.","The Survey Question asks for a count of unlisted persons aged 15+, whereas the ACS Question asks for the current date.",google,gemini-3-pro-preview,"['anthropic', 'openai', 'google']",randomized,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,3,"anthropic,openai,google"
PC.3,F2,synthesis,"All three raters unanimously agree on PC.3 (Age bounds) with F2 feasibility. The CPS question is a targeted probe specifically asking about babies and small children to ensure they are not missed in the household roster, while the ACS asks for a total count of all people regardless of age. The primary barrier is indeed age-based coverage - the CPS question focuses on a specific age demographic (infants/young children) while ACS captures all ages. This is correctly classified as PC.3 rather than CC.4 (scope inclusions) because the fundamental difference is about age eligibility/coverage rather than what components are being counted. Harmonization would require statistical modeling or person-level data to convert the age-specific probe into comparable counts, justifying F2.","CPS specifically probes for missed babies/small children (age-targeted verification), while ACS requests total household count across all ages.",CPS_0004,anthropic,claude-opus-4-5-20251101,"['anthropic', 'openai', 'google']",randomized,synthesis,PC.3,F2,PC.3,F2,PC.3,F2,CC.4,F3,synthesis,"Although all raters selected PC.3 (age bounds), the primary incompatibility is construct/scope: the CPS item is a targeted roster completeness probe limited to “babies or small children” (typically a follow-up yes/no that may trigger adding persons), whereas the ACS item asks for a universal numeric household count of all people living/staying at the address. This is not merely an age-eligibility difference; the measures are different in what they capture and how they are used in instrument flow (probe for missing young children vs total household size). Without the full CPS household roster before/after the probe (or an actual count added), the CPS probe cannot be converted into an ACS-style total count in a defensible way, making harmonization effectively incompatible at the question level.",CPS is a roster completeness probe for missed babies/small children; ACS requests a total numeric count of all people at the address—different scope/construct and response function.,openai,gpt-5.2,"['anthropic', 'openai', 'google']",randomized,synthesis,PC.3,F2,PC.3,F2,PC.3,F2,PC.3,F2,Rater B,"All three raters agreed on PC.3 (Age bounds) and F2 (Statistical adjustment). The primary constraint is that the survey question restricts the scope of inquiry to a specific age group ('babies or small children') as a roster probe, whereas the ACS question targets the universal population ('people') of all ages. Comparing a targeted age-subset probe to a total population count requires statistical adjustment or modeling, as they measure fundamentally different slices of the household population.","The survey question specifically probes for a subset of the population defined by age (babies/small children), while the ACS question asks for a total count of all household members.",google,gemini-3-pro-preview,"['anthropic', 'openai', 'google']",randomized,openai,PC.3,F2,PC.3,F2,PC.3,F2,3,"anthropic,openai,google"
CC.1,F3,synthesis,"All three raters unanimously agree on CC.1 (Concept definition) with F3 (Incompatible) feasibility. This is clearly correct - the CPS question is a household roster verification probe asking about missed babies or small children, while the ACS question simply asks for today's date. These questions measure completely unrelated constructs with no conceptual overlap whatsoever. There is no possible way to harmonize a household composition verification question with a date recording question.",CPS asks about presence of babies/small children in household roster; ACS asks for the current calendar date - entirely unrelated concepts with no shared construct.,CPS_0005,anthropic,claude-opus-4-5-20251101,"['google', 'anthropic', 'openai']",randomized,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,A,"All three raters agree the items measure entirely different constructs: one is a household roster probe to ensure complete reporting of babies/small children, while the other is a metadata item capturing the current date. Because there is no shared underlying concept or operationalizable bridge between infant/child coverage and interview date, harmonization is not feasible beyond treating them as unrelated variables.",Questions measure unrelated concepts (household roster completeness for babies/small children vs recording today's date).,openai,gpt-5.2,"['google', 'anthropic', 'openai']",randomized,google,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,A,"All three raters correctly identified that the questions measure fundamentally different and unrelated concepts. One is a household roster probe regarding children, and the other is an administrative question regarding the date. They cannot be harmonized.",Questions measure unrelated concepts (infant coverage vs. calendar date).,google,gemini-3-pro-preview,"['google', 'anthropic', 'openai']",randomized,google,CC.1,F3,CC.1,F3,CC.1,F3,3,"anthropic,openai,google"
CC.1,F3,B,"The core issue is a conceptual difference in how 'residence' is defined. The CPS question uses a 'usual residence' concept (people who usually live here but are temporarily away), while the ACS asks about people 'living or staying' at the address (a more present-focused concept). While Rater C coded this as PC.1 (universe definition), the fundamental barrier is actually the different conceptual definitions of household membership - this is a construct difference (CC.1) rather than a population coverage issue. The different residence concepts (usual vs. present) will capture different people and cannot be directly reconciled. Rater A's CC.2 (operationalization) is close but the difference is more fundamental than just different behavioral indicators - it's a different core definition of what constitutes residence. The F3 feasibility is appropriate because these different residence rules produce systematically different counts that cannot be harmonized without additional data about temporary absences.",CPS uses 'usual residence' concept (includes temporarily absent members) while ACS uses 'living or staying' concept (present-focused). These different definitions of household membership are conceptually incompatible.,CPS_0006,anthropic,claude-opus-4-5-20251101,"['google', 'anthropic', 'openai']",randomized,anthropic,PC.1,F3,CC.1,F3,CC.2,F2,PC.1,F3,C,"The CPS item is a roster probe specifically about “anyone who usually lives here but is away now,” i.e., temporarily absent usual household members. The ACS item asks for the number of people “living or staying at this address,” which is a broad count of current occupants/residents at the address at the time of interview, not a targeted probe for temporarily absent usual residents. Because the target universe being enumerated differs (usual household members including absentees vs people present/living/staying), the primary barrier is a population/universe definition mismatch rather than merely different operationalization. Without additional information on who is temporarily absent and whether they are included in the ACS count, the two cannot be made equivalent.","CPS targets temporarily absent usual residents; ACS counts people living/staying at the address (current occupants), implying different universe/coverage.",openai,gpt-5.2,"['google', 'anthropic', 'openai']",randomized,openai,PC.1,F3,CC.1,F3,CC.2,F2,CC.1,F3,B,"The core harmonization barrier is a difference in the concept of residency (Construct Definition). The CPS question reflects a 'Usual Residence' (de jure) concept, explicitly including those who are temporarily absent. The ACS question reflects a 'Current Residence' (de facto) concept, asking for those 'living or staying' at the address. Because these definitions create different rosters (one includes absentees, the other focuses on presence), the counts are not directly comparable or easily adjustable without additional data, making them incompatible (F3). CC.1 is preferred over PC.1 because the difference arises from how the concept of a household member is defined within the question text, rather than a sampling frame exclusion.","CPS defines residence as 'usual' (including temporary absentees), while ACS defines it as 'living or staying' (current presence).",google,gemini-3-pro-preview,"['google', 'anthropic', 'openai']",randomized,anthropic,PC.1,F3,CC.1,F3,CC.2,F2,3,"anthropic,openai,google"
CC.1,F3,A,"All three raters unanimously agree on CC.1 (Concept definition) with F3 (Incompatible) feasibility. This is clearly correct - the CPS question asks about absent household members (a household composition probe), while the ACS question asks for today's date (administrative metadata). These questions measure entirely different constructs with no conceptual overlap whatsoever. There is no possible way to harmonize a household membership question with a date recording question.",CPS asks about absent household members who usually live at the residence; ACS asks for the current calendar date. These are completely unrelated constructs with no conceptual alignment.,CPS_0007,anthropic,claude-opus-4-5-20251101,"['anthropic', 'openai', 'google']",randomized,anthropic,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,A,"All three raters agree the items are conceptually unrelated. The survey question is a household roster completeness probe about usual residents temporarily away, while the ACS item requests administrative metadata (today’s date). Because they measure entirely different constructs with no shared target concept, there is no meaningful way to harmonize them into a common variable.",Household membership/roster coverage (usual residents away) versus collection metadata (current date); no conceptual overlap.,openai,gpt-5.2,"['anthropic', 'openai', 'google']",randomized,anthropic,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,Rater B,"All three raters correctly identified that these questions measure completely unrelated constructs. One asks about household roster completeness (specifically absent members), while the other asks for administrative metadata (the date). There is no conceptual overlap, making them incompatible.",CPS asks about usual residents who are away now; ACS asks for today's date—different constructs.,google,gemini-3-pro-preview,"['anthropic', 'openai', 'google']",randomized,openai,CC.1,F3,CC.1,F3,CC.1,F3,3,"anthropic,openai,google"
TC.2,F2,synthesis,"Raters A and B both coded TC.2 (temporal framing), while Rater C coded TC.3 (calendar alignment). The core issue here is the fundamental difference between asking about a CHANGE in status (CPS - event-based, retrospective) versus asking about CURRENT status (ACS - point-in-time). This is primarily a temporal framing difference (TC.2) rather than a calendar alignment issue (TC.3). While TC.3 addresses fixed vs rolling reference periods, the more fundamental barrier is that one question captures transitions/changes while the other captures current state. This aligns with TC.2's definition of 'point-in-time vs habitual vs retrospective.' F2 is appropriate because harmonization would require assumptions about timing and stability of marital status to bridge these different temporal framings.","CPS asks about changes in marital status since last interview (retrospective, event-based over variable interval); ACS asks current marital status (point-in-time state). Different temporal framing requires assumptions to harmonize.",CPS_0008,anthropic,claude-opus-4-5-20251101,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.2,F2,TC.2,F2,TC.3,F2,TC.2,F2,A,"The core incompatibility is temporal framing: the survey question is a retrospective change-detection item (“any changes since last interview”), while the ACS item is a point-in-time status measure (“current marital status”). This is primarily a point-in-time vs event/transition construct difference driven by timing, best captured by TC.2. While the CPS reference period is also rolling/variable (which could suggest TC.3), the binding issue is that one item measures whether a change occurred at all and the other measures current state; aligning them would require assumptions or modeling about baseline status and transitions rather than a direct recode.","One item asks whether marital status changed since the last interview (retrospective transition over an interval), while the other asks for current marital status at the time of the survey (point-in-time state).",openai,gpt-5.2,"['openai', 'anthropic', 'google']",fixed,openai,TC.2,F2,TC.2,F2,TC.3,F2,TC.2,F2,Rater A,"Raters A and B correctly identify the primary barrier as a difference in temporal framing (TC.2). The Survey Question asks about a change event over a retrospective interval ('Since our last interview'), whereas the ACS question asks for a point-in-time state ('current marital status'). While there is a rolling reference period aspect (TC.3), the fundamental incompatibility preventing direct harmonization is the difference between measuring a 'flow' (change) versus a 'stock' (current status). Harmonization would require longitudinal data or statistical modeling (F2).",Survey Question measures a change event over a variable retrospective interval; ACS measures current point-in-time status.,google,gemini-3-pro-preview,"['openai', 'anthropic', 'google']",fixed,openai,TC.2,F2,TC.2,F2,TC.3,F2,3,"anthropic,openai,google"
TC.1,F2,synthesis,"All three raters unanimously agree on TC.1 (reference period length) with F2 feasibility. The core barrier is that CPS uses a variable reference period ('since last interview' which varies based on interview schedule) while ACS uses a fixed 12-month reference period. This is clearly a reference period length difference. While there is also a secondary construct difference (CPS asks about 'changes' generally vs. ACS asks about specific events like married/widowed/divorced), the primary barrier that must be resolved first is the temporal mismatch. Statistical adjustment would be needed to align the different reference periods, making F2 appropriate.","CPS uses a variable reference period (since last interview, typically 1-4 months) while ACS uses a fixed 12-month reference period for marital status changes.",CPS_0009,anthropic,claude-opus-4-5-20251101,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,TC.1,F2,synthesis,"All three raters agree the primary harmonization issue is temporal: CPS asks whether any household member has had a marital-status change since the last interview (a variable/rolling inter-interview interval), while the ACS asks whether the person experienced specific marital events within a fixed past-12-month window. This mismatch in reference-period length is the binding constraint for harmonization; aligning would require assumptions or modeling to convert events observed in one window to the other (not a simple recode). While there is also some difference in operationalization (general change vs event-specific items), the first and dominant barrier is the differing time window over which changes are measured.",Different reference-period length: CPS uses a variable 'since last interview' window; ACS uses a fixed 'past 12 months' window for marital events.,openai,gpt-5.2,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,TC.1,F2,Rater B,"All three raters correctly identify the primary barrier as a temporal constraint regarding the reference period length (TC.1). The Survey Question uses a variable reference period defined by the interval since the previous interview (often shorter, e.g., 4 months in CPS context), whereas the ACS question uses a fixed 'past 12 months' reference period. Harmonizing these creates a feasibility of F2, as statistical adjustment is required to align the differing time windows.","The Survey Question uses a variable reference period ('Since our last interview'), whereas the ACS question uses a fixed 12-month reference period.",google,gemini-3-pro-preview,"['openai', 'anthropic', 'google']",fixed,anthropic,TC.1,F2,TC.1,F2,TC.1,F2,3,"anthropic,openai,google"
