pair_id,foodaps_q_id,foodaps_text,acs_q_id,acs_text,subtopic,fuzz_ratio,fuzz_partial,fuzz_token_sort,fuzz_token_set,jaccard,levenshtein_norm,fuzzy_classification
P_0001,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0021,How is this person related to Person 1?,Relationship,27.67857142857143,58.97435897435898,25.89285714285714,40.816326530612244,5.6,27.67857142857143,distinct
P_0002,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0027,How is this person related to Person 1?,Relationship,27.67857142857143,58.97435897435898,25.89285714285714,40.816326530612244,5.6,27.67857142857143,distinct
P_0003,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0033,How is this person related to Person 1?,Relationship,27.67857142857143,58.97435897435898,25.89285714285714,40.816326530612244,5.6,27.67857142857143,distinct
P_0004,FAPS_0018,What is your date of birth?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,57.47126436781609,74.4186046511628,52.87356321839081,89.79591836734694,45.5,57.47126436781609,near
P_0005,FAPS_0018,What is your date of birth?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,57.47126436781609,74.4186046511628,52.87356321839081,89.79591836734694,45.5,57.47126436781609,near
P_0006,FAPS_0018,What is your date of birth?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,57.47126436781609,74.4186046511628,52.87356321839081,89.79591836734694,45.5,57.47126436781609,near
P_0007,FAPS_0018,What is your date of birth?,ACS_0072,Where was this person born?,Age,48.14814814814815,48.14814814814815,44.44444444444444,44.44444444444444,0.0,48.14814814814815,distinct
P_0008,FAPS_0018,What is your date of birth?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,29.411764705882348,52.0,27.941176470588236,29.6875,4.2,29.411764705882348,distinct
P_0009,FAPS_0018,What is your date of birth?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,24.13793103448276,52.0,26.436781609195403,28.93081761006289,7.7,24.13793103448276,distinct
P_0010,FAPS_0019,Please verify or enter correct age.,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,33.684210526315795,42.10526315789473,37.89473684210526,39.50617283950617,6.7,33.684210526315795,distinct
P_0011,FAPS_0019,Please verify or enter correct age.,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,33.684210526315795,42.10526315789473,37.89473684210526,39.50617283950617,6.7,33.684210526315795,distinct
P_0012,FAPS_0019,Please verify or enter correct age.,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,33.684210526315795,42.10526315789473,37.89473684210526,39.50617283950617,6.7,33.684210526315795,distinct
P_0013,FAPS_0019,Please verify or enter correct age.,ACS_0072,Where was this person born?,Age,35.483870967741936,43.47826086956522,35.483870967741936,35.483870967741936,0.0,35.483870967741936,distinct
P_0014,FAPS_0019,Please verify or enter correct age.,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,30.555555555555557,42.85714285714286,30.555555555555557,33.82352941176471,8.7,30.555555555555557,distinct
P_0015,FAPS_0019,Please verify or enter correct age.,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,25.274725274725274,47.76119402985075,25.274725274725274,28.742514970059887,7.7,25.274725274725274,distinct
P_0016,FAPS_0020,Are you male or female?,ACS_0022,What is Person 1’s sex?,Sex,30.434782608695656,33.333333333333336,26.086956521739136,26.086956521739125,0.0,30.434782608695656,distinct
P_0017,FAPS_0020,Are you male or female?,ACS_0028,What is Person 2’s sex?,Sex,30.434782608695656,33.333333333333336,26.086956521739136,26.086956521739125,0.0,30.434782608695656,distinct
P_0018,FAPS_0020,Are you male or female?,ACS_0034,What is Person 3’s sex?,Sex,30.434782608695656,33.333333333333336,26.086956521739136,26.086956521739125,0.0,30.434782608695656,distinct
P_0019,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0024,"Is Person 1 of Hispanic, Latino, or Spanish origin?",Race,31.19266055045872,39.53488372093024,33.02752293577982,33.027522935779814,11.1,31.19266055045872,distinct
P_0020,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0025,What is Person 1’s race?,Race,36.58536585365854,68.29268292682926,34.14634146341463,45.16129032258065,21.4,36.58536585365854,distinct
P_0021,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0030,"Is Person 2 of Hispanic, Latino, or Spanish origin?",Race,31.19266055045872,39.53488372093024,33.02752293577982,33.027522935779814,11.1,31.19266055045872,distinct
P_0022,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0031,What is Person 2’s race?,Race,36.58536585365854,68.29268292682926,34.14634146341463,45.16129032258065,21.4,36.58536585365854,distinct
P_0023,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0036,"Is Person 3 of Hispanic, Latino, or Spanish origin?",Race,31.19266055045872,39.53488372093024,33.02752293577982,33.027522935779814,11.1,31.19266055045872,distinct
P_0024,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0037,What is Person 3’s race?,Race,36.58536585365854,68.29268292682926,34.14634146341463,45.16129032258065,21.4,36.58536585365854,distinct
P_0025,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0094,What is this person’s marital status?,Marital,28.828828828828833,40.0,34.23423423423423,34.234234234234236,0.0,28.828828828828833,distinct
P_0026,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,37.908496732026144,46.666666666666664,40.789473684210535,40.78947368421053,14.3,37.908496732026144,distinct
P_0027,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0096,How many times has this person been married?,Marital,44.067796610169495,50.74626865671642,42.3728813559322,42.3728813559322,6.2,44.067796610169495,distinct
P_0028,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0097,In what year did this person last get married?,Marital,43.333333333333336,51.685393258426956,43.333333333333336,43.333333333333336,5.9,43.333333333333336,distinct
P_0029,FAPS_0024,Is your spouse a member of this household?,ACS_0021,How is this person related to Person 1?,Relationship,37.03703703703704,42.10526315789473,44.44444444444444,44.44444444444444,15.4,37.03703703703704,distinct
P_0030,FAPS_0024,Is your spouse a member of this household?,ACS_0027,How is this person related to Person 1?,Relationship,37.03703703703704,42.10526315789473,44.44444444444444,44.44444444444444,15.4,37.03703703703704,distinct
P_0031,FAPS_0024,Is your spouse a member of this household?,ACS_0033,How is this person related to Person 1?,Relationship,37.03703703703704,42.10526315789473,44.44444444444444,44.44444444444444,15.4,37.03703703703704,distinct
P_0032,FAPS_0045,What is NAME’s relationship to you?,ACS_0021,How is this person related to Person 1?,Relationship,45.945945945945944,51.515151515151516,40.54054054054054,43.24324324324324,16.7,45.945945945945944,distinct
P_0033,FAPS_0045,What is NAME’s relationship to you?,ACS_0027,How is this person related to Person 1?,Relationship,45.945945945945944,51.515151515151516,40.54054054054054,43.24324324324324,16.7,45.945945945945944,distinct
P_0034,FAPS_0045,What is NAME’s relationship to you?,ACS_0033,How is this person related to Person 1?,Relationship,45.945945945945944,51.515151515151516,40.54054054054054,43.24324324324324,16.7,45.945945945945944,distinct
P_0035,FAPS_0046,What is NAME’s date of birth?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,56.17977528089888,75.0,56.17977528089888,86.27450980392157,54.5,56.17977528089888,near
P_0036,FAPS_0046,What is NAME’s date of birth?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,56.17977528089888,75.0,56.17977528089888,86.27450980392157,54.5,56.17977528089888,near
P_0037,FAPS_0046,What is NAME’s date of birth?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,56.17977528089888,75.0,56.17977528089888,86.27450980392157,54.5,56.17977528089888,near
P_0038,FAPS_0046,What is NAME’s date of birth?,ACS_0072,Where was this person born?,Age,46.42857142857143,45.28301886792453,42.85714285714286,42.857142857142854,0.0,46.42857142857143,distinct
P_0039,FAPS_0046,What is NAME’s date of birth?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,26.086956521739136,48.275862068965516,24.63768115942029,27.692307692307693,4.0,26.086956521739136,distinct
P_0040,FAPS_0046,What is NAME’s date of birth?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,23.863636363636363,46.15384615384615,23.863636363636363,26.086956521739125,7.4,23.863636363636363,distinct
P_0041,FAPS_0047,Is NAME male or female?,ACS_0022,What is Person 1’s sex?,Sex,30.434782608695656,35.0,26.086956521739136,26.086956521739125,10.0,30.434782608695656,distinct
P_0042,FAPS_0047,Is NAME male or female?,ACS_0028,What is Person 2’s sex?,Sex,30.434782608695656,35.0,26.086956521739136,26.086956521739125,10.0,30.434782608695656,distinct
P_0043,FAPS_0047,Is NAME male or female?,ACS_0034,What is Person 3’s sex?,Sex,30.434782608695656,35.0,26.086956521739136,26.086956521739125,10.0,30.434782608695656,distinct
P_0044,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0024,"Is Person 1 of Hispanic, Latino, or Spanish origin?",Race,28.828828828828833,36.36363636363637,28.828828828828833,28.828828828828833,10.5,28.828828828828833,distinct
P_0045,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0025,What is Person 1’s race?,Race,38.095238095238095,69.76744186046511,40.476190476190474,45.23809523809524,28.6,38.095238095238095,distinct
P_0046,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0030,"Is Person 2 of Hispanic, Latino, or Spanish origin?",Race,28.828828828828833,36.36363636363637,28.828828828828833,28.828828828828833,10.5,28.828828828828833,distinct
P_0047,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0031,What is Person 2’s race?,Race,38.095238095238095,69.76744186046511,40.476190476190474,45.23809523809524,28.6,38.095238095238095,distinct
P_0048,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0036,"Is Person 3 of Hispanic, Latino, or Spanish origin?",Race,28.828828828828833,36.36363636363637,28.828828828828833,28.828828828828833,10.5,28.828828828828833,distinct
P_0049,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0037,What is Person 3’s race?,Race,38.095238095238095,69.76744186046511,40.476190476190474,45.23809523809524,28.6,38.095238095238095,distinct
P_0050,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0094,What is this person’s marital status?,Marital,28.828828828828833,40.0,34.23423423423423,34.234234234234236,6.7,28.828828828828833,distinct
P_0051,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,40.52287581699346,45.378151260504204,40.789473684210535,40.78947368421053,14.3,40.52287581699346,distinct
P_0052,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0096,How many times has this person been married?,Marital,42.3728813559322,50.74626865671642,42.3728813559322,42.3728813559322,6.2,42.3728813559322,distinct
P_0053,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0097,In what year did this person last get married?,Marital,44.99999999999999,51.685393258426956,44.99999999999999,45.0,5.9,44.99999999999999,distinct
P_0054,FAPS_0051,Is NAME’s spouse a member of this household?,ACS_0021,How is this person related to Person 1?,Relationship,36.14457831325302,42.10526315789473,38.55421686746988,38.55421686746988,14.3,36.14457831325302,distinct
P_0055,FAPS_0051,Is NAME’s spouse a member of this household?,ACS_0027,How is this person related to Person 1?,Relationship,36.14457831325302,42.10526315789473,38.55421686746988,38.55421686746988,14.3,36.14457831325302,distinct
P_0056,FAPS_0051,Is NAME’s spouse a member of this household?,ACS_0033,How is this person related to Person 1?,Relationship,36.14457831325302,42.10526315789473,38.55421686746988,38.55421686746988,14.3,36.14457831325302,distinct
P_0057,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,31.316725978647685,51.37614678899083,27.338129496402875,38.59649122807018,10.5,31.316725978647685,distinct
P_0058,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,31.316725978647685,51.37614678899083,27.338129496402875,38.59649122807018,10.5,31.316725978647685,distinct
P_0059,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,32.02846975088968,51.37614678899083,27.338129496402875,38.59649122807018,10.5,32.02846975088968,distinct
P_0060,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0072,Where was this person born?,Age,19.354838709677423,56.52173913043479,18.775510204081634,25.80645161290323,2.8,19.354838709677423,distinct
P_0061,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,35.75757575757576,42.7860696517413,37.920489296636084,37.83783783783784,4.1,35.75757575757576,distinct
P_0062,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,38.04347826086957,41.6058394160584,41.0958904109589,41.59021406727829,5.9,38.04347826086957,distinct
P_0063,FAPS_0075,Have you received benefits from the Supplemental Nutrition Assistance Program in the past 30 days? This program is also known as [FILL IN STATE SNAP NAME] or food stamps and it puts money on an EBT card that you can use to buy food.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,37.878787878787875,61.41078838174274,56.060606060606055,62.97872340425532,29.2,37.878787878787875,distinct
P_0064,FAPS_0076,Has anyone at this address received benefits from the Supplemental Nutrition Assistance Program in the past 30 days? This program is also known as [FILL IN STATE SNAP NAME] or food stamps and it puts money on an EBT card that you can use to buy food.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,40.09661835748793,63.320463320463325,54.589371980676326,65.83333333333334,27.5,40.09661835748793,distinct
P_0065,FAPS_0077,How many [FILL IN STATE SNAP NAME] EBT cards are issued to people at this address ?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,32.38866396761133,39.189189189189186,33.198380566801625,36.0655737704918,8.3,32.38866396761133,distinct
P_0066,FAPS_0078,You said there is one [FILL IN STATE SNAP NAME] card in this household. Now we will ask about who in the household is assigned to the EBT card. Select the names of the people below that receive [FILL SNAP] benefits together under that EBT card,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,39.8034398034398,45.12195121951219,41.27764127764127,48.63387978142077,19.1,39.8034398034398,distinct
P_0067,FAPS_0079,You said there are two [FILL IN STATE SNAP NAME] cards in this household. Now we will ask about who in the household is assigned to the two EBT cards. Select the names of the people below that receive [FILL SNAP] benefits together under those two EBT cards.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,39.42992874109264,45.12195121951219,38.95486935866983,48.148148148148145,18.4,39.42992874109264,distinct
P_0068,FAPS_0080,You said there are three or more [FILL IN STATE SNAP NAME] cards in this household. Now we will ask about who in the household is assigned to the first three EBT cards. Select the names of the people below that receive [FILL SNAP] benefits together under the first three EBT cards.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,38.20224719101124,43.29268292682927,39.550561797752806,48.45360824742268,20.0,38.20224719101124,distinct
P_0069,FAPS_0081,On what date did [you/you and names of SNAP group 1 from B1ba ] last receive [FILL IN STATE SNAP NAME] benefits?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,36.95652173913043,45.026178010471206,47.10144927536232,48.507462686567166,22.9,36.95652173913043,distinct
P_0070,FAPS_0082,How many dollars were put on your EBT card the last time you received [FILL IN STATE SNAP NAME] benefits?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,34.20074349442379,41.30434782608695,42.37918215613383,42.857142857142854,13.2,34.20074349442379,distinct
P_0071,FAPS_0084,[Have you/Has anyone at this address] ever received benefits from SNAP?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,40.0,59.154929577464785,40.0,43.10344827586207,16.7,40.0,distinct
P_0072,FAPS_0085,Did (you/anyone at this address) receive benefits from SNAP in the last 12 months?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,46.34146341463414,58.53658536585367,44.71544715447154,63.333333333333336,40.7,46.34146341463414,distinct
P_0073,FAPS_0086,Select the names of the people below that received benefits from SNAP during the last 12 months.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,41.53846153846153,52.08333333333333,43.84615384615385,51.40562248995984,22.6,41.53846153846153,distinct
P_0074,FAPS_0087,On what date did [you/someone at this address] last receive benefits from SNAP?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,41.9753086419753,58.22784810126582,40.32921810699589,55.04587155963303,23.3,41.9753086419753,distinct
P_0075,FAPS_0088,How many dollars were put on the SNAP EBT card at that time?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,33.03571428571429,36.66666666666667,27.67857142857143,31.67420814479638,5.9,33.03571428571429,distinct
P_0076,FAPS_0095,List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,ACS_0022,What is Person 1’s sex?,Sex,21.052631578947366,32.55813953488372,23.684210526315784,23.684210526315795,0.0,21.052631578947366,distinct
P_0077,FAPS_0095,List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,ACS_0028,What is Person 2’s sex?,Sex,18.42105263157895,27.906976744186053,21.052631578947366,21.05263157894737,0.0,18.42105263157895,distinct
P_0078,FAPS_0095,List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,ACS_0034,What is Person 3’s sex?,Sex,18.42105263157895,27.906976744186053,23.684210526315784,23.684210526315795,0.0,18.42105263157895,distinct
P_0079,FAPS_0105,Do you use most of your benefits from [FILL IN STATE SNAP NAME] at [Fill store from C1 or at Fill store from C3]?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,40.43321299638989,44.44444444444444,44.04332129963899,49.6,20.6,40.43321299638989,distinct
P_0080,FAPS_0106,Where do you do most of your food shopping when using your benefits from [FILL IN STATE SNAP NAME]?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,37.262357414448665,46.464646464646464,39.54372623574145,47.05882352941177,21.2,37.262357414448665,distinct
P_0081,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0094,What is this person’s marital status?,Marital,23.611111111111114,35.13513513513513,25.0,25.0,0.0,23.611111111111114,distinct
P_0082,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,26.881720430107524,33.55704697986577,36.75675675675676,36.75675675675676,5.6,26.881720430107524,distinct
P_0083,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0096,How many times has this person been married?,Marital,30.4635761589404,39.53488372093024,30.4635761589404,30.4635761589404,3.3,30.4635761589404,distinct
P_0084,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0097,In what year did this person last get married?,Marital,27.450980392156865,39.13043478260869,27.450980392156865,27.450980392156865,3.2,27.450980392156865,distinct
P_0085,FAPS_0304,"On what date did you last receive benefits from SNAP? This program used to be called food stamps and, in your state, it is called [FILL IN STATE SNAP NAME]. It puts money on a SNAP EBT card that you can use to buy food",ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,39.79057591623037,45.80152671755725,38.74345549738219,49.57746478873239,20.8,39.79057591623037,distinct
P_0086,FAPS_0305,How many dollars were put on your SNAP EBT card the last time you received SNAP benefits?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,33.992094861660085,45.238095238095234,40.316205533596836,38.36734693877551,11.4,33.992094861660085,distinct
P_0087,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,37.83783783783784,48.21428571428571,39.189189189189186,44.61538461538461,13.0,37.83783783783784,distinct
P_0088,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,37.83783783783784,48.21428571428571,37.83783783783784,43.07692307692308,13.0,37.83783783783784,distinct
P_0089,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,37.83783783783784,48.21428571428571,39.189189189189186,44.61538461538461,13.0,37.83783783783784,distinct
P_0090,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0072,Where was this person born?,Age,31.304347826086953,42.553191489361694,27.826086956521735,28.828828828828833,0.0,31.304347826086953,distinct
