pair_id,foodaps_q_id,foodaps_text,acs_q_id,acs_text,subtopic,classification,confidence,reference_period_foodaps,reference_period_acs,reasoning,consolidation_potential
P_0001,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0021,How is this person related to Person 1?,Relationship,related_but_distinct,high,next week,current moment,"Question A seeks to enumerate all current household occupants, while Question B specifically asks about familial relationships to a primary reference person. A is about comprehensive household composition, B is about kinship status.",partial
P_0002,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0027,How is this person related to Person 1?,Relationship,related_but_distinct,high,next week,current moment,"Question A asks about all people currently/soon living at an address, while Question B specifically seeks the familial relationship to a primary person. A is broader in scope and captures household composition, B focuses on kinship classification.",partial
P_0003,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0033,How is this person related to Person 1?,Relationship,related_but_distinct,high,next week,current moment,"Question A asks broadly about who will be living at an address, while Question B specifically requests relationship to the first person listed. A captures all potential household members, B focuses on kinship classification.",partial
P_0004,FAPS_0018,What is your date of birth?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,near_duplicate,high,point-in-time,point-in-time,"Both questions request birthdate/age information for identifying an individual's precise age, with Question B being slightly more comprehensive by asking both age and birthdate",partial
P_0005,FAPS_0018,What is your date of birth?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,related_but_distinct,high,current/historical,current/historical,"Question A asks only for birth date, while Question B requests both age and birth date for a specific person (Person 2), with an additional dimension of context/specificity",partial
P_0006,FAPS_0018,What is your date of birth?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,near_duplicate,high,current,current,"Both questions seek to capture a person's birthdate/age, with Question B being more specific about the individual's ordinal position. Core information request is essentially identical.",yes
P_0007,FAPS_0018,What is your date of birth?,ACS_0072,Where was this person born?,Age,related_but_distinct,high,lifetime,lifetime,"Question A seeks individual's precise birth date/age, while Question B asks birthplace location, which are different pieces of demographic information sharing a broad connection to personal origin",partial
P_0008,FAPS_0018,What is your date of birth?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,lifetime,current household composition,"Question A asks about an individual's birth date/age, while Question B asks about a specific family living arrangement (grandchildren present). Although both touch on age-related topics, they measure fundamentally different demographic information.",no
P_0009,FAPS_0018,What is your date of birth?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,not_comparable,high,lifetime/retrospective,current/present,"Question A requests an individual's birth date, while Question B is about current grandparental caregiving responsibilities. They both tangentially involve age but are fundamentally different questions about distinct aspects of demographic information.",no
P_0010,FAPS_0019,Please verify or enter correct age.,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,related_but_distinct,high,current/verification,current/precise,"Question A is a generic verification prompt, while Question B requests specific age and birthdate details. A seeks confirmation, B seeks precise documentation. Different levels of detail and intent.",partial
P_0011,FAPS_0019,Please verify or enter correct age.,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,near_duplicate,high,current/point-in-time,current/point-in-time,"Both questions seek to verify or obtain current age, with slight differences in prompt language. Question B provides more specificity by requesting both age and date of birth, while Question A is more open-ended, but core intent of age verification is consistent.",partial
P_0012,FAPS_0019,Please verify or enter correct age.,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,near_duplicate,high,current,current,"Both questions seek to verify or confirm an individual's current age, with the ACS version providing slightly more specificity by requesting both age and date of birth. Core purpose is identical: accurate age determination.",partial
P_0013,FAPS_0019,Please verify or enter correct age.,ACS_0072,Where was this person born?,Age,related_but_distinct,high,current,birthplace/historical,"Question A seeks current age verification, while Question B asks about birthplace origin, which relates to age indirectly but is fundamentally different in purpose and information sought",no
