survey,source_q_id,source_text,has_consolidable_path,best_match_q_id,best_match_text,best_feasibility,score_borda,score_entropy,triage_quadrant,pair_id
CPS,CPS_0,Is respondent ready to complete the interview?,False,ACS_17,Why do you think the data should not be used?,F3,0.0,0.33,Q2,CPS_0221
CPS,CPS_1,Is this a Replacement Household?,False,ACS_16,Is there any reason the information from this interview should NOT be used?,F3,0.0,0.33,Q2,CPS_0224
CPS,CPS_10,Are there any other persons 15 years old or older now living or staying there? (Who have not been listed.) How many othe,True,ACS_19,How many people are living or staying at this address?,F2,0.5,0.67,Q1,CPS_0002
CPS,CPS_101,What was the main reason (you/he/she) (was/were) absent from work (THE WEEK BEFORE LAST/LAST WEEK)?,True,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",F2,0.4166666666666667,0.3952206141746329,Q1,CPS_0311
CPS,CPS_102,(Are / Is) ( you/he/she) being paid by (your/his/her) employer for any of the time off (the week before last/last week)?,False,ACS_1,"For your [main] job, what is the easiest way for you to report your total earnings BEFORE taxes or other deductions: hou",F3,0.0,0.33,Q2,CPS_0913
CPS,CPS_103,"(THE WEEK BEFORE LAST/LAST WEEK), did (name/you) have more than one (job/job or business), including part time, evening ",False,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0833333333333333,0.194660899518849,Q4,CPS_0313
CPS,CPS_104,"Altogether, how many (jobs/ jobs or businesses) did (you/he/she) have?",False,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0833333333333333,0.194660899518849,Q4,CPS_0318
CPS,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),True,ACS_12,What is your best estimate of the number of hours per week you usually work at this rate?,F1,1.0,1.0,Q1,CPS_0020
CPS,CPS_106,How many hours per week (do/does) (you/he/she) USUALLY work at (your/his/her) other (job/ jobs)?,True,ACS_6,How many hours do you usually work per week at this rate?,F2,0.5833333333333334,0.3952206141746329,Q1,CPS_0024
CPS,CPS_107,(Do / Does) (you/he/she) usually work 35 hours or more per week (at (your/his/her) job/in the family business/ at all (y,True,ACS_6,How many hours do you usually work per week at this rate?,F1,1.0,1.0,Q1,CPS_0032
CPS,CPS_108,(Do / Does) (name/you) want to work a full time workweek of 35 hours or more per week?,False,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0,0.33,Q2,CPS_0323
CPS,CPS_109,Some people work part time because they cannot find full time work or because business is poor. Others work part time be,False,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0,0.33,Q2,CPS_0328
CPS,CPS_11,I have listed . . . READ NAMES Have I missed any babies or small children?,True,ACS_19,How many people are living or staying at this address?,F2,0.4166666666666667,0.3952206141746329,Q1,CPS_0004
CPS,CPS_110,What is the main reason (you/he/she) (do/does) not want to work full time?,False,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0,0.33,Q2,CPS_0333
CPS,CPS_111,Now I have some questions about the exact number of hours (name/you) worked (THE WEEK BEFORE LAST/LAST WEEK). (THE WEEK ,True,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",F2,0.3333333333333333,0.2818152899285843,Q4,CPS_0047
CPS,CPS_112,How many hours did (name/you) take off?,False,ACS_6,How many hours do you usually work per week at this rate?,F3,0.0,0.33,Q2,CPS_0048
CPS,CPS_113,"(THE WEEK BEFORE LAST/LAST WEEK), did (name/you) work any overtime or extra hours (at (his/her) MAIN job that / that)(yo",False,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",F3,0.0833333333333333,0.194660899518849,Q4,CPS_0063
CPS,CPS_114,How many ADDITIONAL hours did (you/he/she) work?,False,ACS_6,How many hours do you usually work per week at this rate?,F3,0.0,0.33,Q2,CPS_0064
CPS,CPS_115,"(LAST WEEK/THE WEEK BEFORE LAST), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) (job?/MAIN job?)?",True,ACS_6,How many hours do you usually work per week at this rate?,F2,0.5,0.67,Q1,CPS_0072
CPS,CPS_116,"(THE WEEK BEFORE LAST/LAST WEEK), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) other (job/ jobs?)?",True,ACS_6,How many hours do you usually work per week at this rate?,F2,0.5,0.67,Q1,CPS_0080
CPS,CPS_117,"At any time (THE WEEK BEFORE LAST/LAST WEEK), did (you/NAME) telework or work at home for pay?",True,ACS_104,At what location did this person work LAST WEEK?,F2,0.5,0.67,Q1,CPS_0866
CPS,CPS_118,(THE WEEK BEFORE LAST/LAST WEEK) (you/NAME) worked (# hours worked) hours ( /at all jobs). How many of these hours did (,True,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",F2,0.4166666666666667,0.3952206141746329,Q1,CPS_0095
CPS,CPS_119,What was the main reason ( you/he/she) (was/were) absent from work (THE WEEK BEFORE LAST/LAST WEEK)?,False,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",F3,0.25,0.121793181321419,Q4,CPS_0341
CPS,CPS_12,"Have I missed anyone who usually lives here but is away now -traveling, at school, or in a hospital?",False,ACS_19,How many people are living or staying at this address?,F3,0.0833333333333333,0.194660899518849,Q4,CPS_0006
CPS,CPS_120,What is the main reason (name/you) worked less than 35 hours (THE WEEK BEFORE LAST/LAST WEEK)?,False,ACS_116,"During the PAST 12 MONTHS (52 weeks), how many WEEKS did this person work? Include paid time off and include weeks when ",F3,0.0833333333333333,0.194660899518849,Q4,CPS_0102
CPS,CPS_121,"(THE WEEK BEFORE LAST/LAST WEEK), could (name/you) have worked full time IF the hours had been available?",False,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0,0.33,Q2,CPS_0343
CPS,CPS_122,Has (name's/your) employer given (you/he/she) a date to return to work?,True,ACS_109,"LAST WEEK, was this person on layoff from a job?",F2,0.5,0.67,Q1,CPS_0350
CPS,CPS_123,(Have / Has) (you/he/she) been given any indication that ( you/he/she) will be recalled to work within the next 6 months,True,ACS_109,"LAST WEEK, was this person on layoff from a job?",F2,0.3333333333333333,0.2818152899285843,Q4,CPS_0355
CPS,CPS_124,Could (you/he/she) have returned to work (THE WEEK BEFORE LAST/LAST WEEK) IF (you/he/she) had been recalled? Why is that,True,ACS_109,"LAST WEEK, was this person on layoff from a job?",F2,0.4166666666666667,0.3952206141746329,Q1,CPS_0360
CPS,CPS_125,"Even though (you/he/she) (expect/expects) to be called back to work, (have/has) (you/he/she) been looking for work durin",False,ACS_111,Has this person been informed that he or she will be recalled to work within the next 6 months OR been given a date to r,F3,0.0,0.33,Q2,CPS_0184
CPS,CPS_126,"As of the end of (THE WEEK BEFORE LAST/LAST WEEK), how long had/has (you/he/she) been on layoff?",True,ACS_109,"LAST WEEK, was this person on layoff from a job?",F2,0.5,0.67,Q1,CPS_0365
CPS,CPS_127,"We would like to have that in weeks, IF possible, exactly how many weeks had (name/you) been on layoff?",True,ACS_109,"LAST WEEK, was this person on layoff from a job?",F2,0.5,0.67,Q1,CPS_0370
CPS,CPS_128,Is the job from which (name/you) (are / is) on layoff a full time job of 35 hours or more per week?,True,ACS_7,How many hours do you usually work per week at this rate?,F1,0.75,0.3690702464285424,Q1,CPS_0105
CPS,CPS_129,(Have / Has) (name/you) been doing anything to find work during the last 4 weeks?,False,ACS_111,Has this person been informed that he or she will be recalled to work within the next 6 months OR been given a date to r,F3,0.0,0.33,Q2,CPS_0186
CPS,CPS_13,"Have I missed any lodgers, boarders, or persons you employ who live here?",False,ACS_16,Is there any reason the information from this interview should NOT be used?,F3,0.0,0.33,Q2,CPS_0244
CPS,CPS_14,Have I missed anyone else staying here?,False,ACS_17,Why do you think the data should not be used?,F3,0.0,0.33,Q2,CPS_0249
CPS,CPS_140,What are all the things (you/he/she) (have/has) done to find work during the last 4 weeks?,False,ACS_111,Has this person been informed that he or she will be recalled to work within the next 6 months OR been given a date to r,F3,0.0,0.33,Q2,CPS_0188
CPS,CPS_141,You said (name/you) (have/has) been trying to find work. How did ( you/he/she) go about looking?,False,ACS_113,"LAST WEEK, could this person have started a job if offered one, or returned to work if recalled?",F3,0.0,0.33,Q2,CPS_0191
CPS,CPS_142,Can you tell me more about what (he/she) did to search for work?,False,ACS_111,Has this person been informed that he or she will be recalled to work within the next 6 months OR been given a date to r,F3,0.0,0.33,Q2,CPS_0192
CPS,CPS_143,"(THE WEEK BEFORE LAST/LAST WEEK), could (you/he/she) have started a job if one had been offered?",False,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",F3,0.0,0.33,Q2,CPS_0374
CPS,CPS_144,Why is that?,False,ACS_112,"During the LAST 4 WEEKS, has this person been ACTIVELY looking for work?",F3,0.0,0.33,Q2,CPS_0883
CPS,CPS_146,"BEFORE (name/you) started looking for work, what (was/were) (you/he/she) doing: working, going to school, or something e",False,ACS_114,"When did this person last work, even for a few days?",F3,0.0833333333333333,0.194660899518849,Q4,CPS_0382
CPS,CPS_147,"Did (you/he/she) lose or quit that job, or was it a temporary job that ended?",False,ACS_109,"LAST WEEK, was this person on layoff from a job?",F3,0.25,0.121793181321419,Q4,CPS_0385
