pair_id,primary_barrier_openai,feasibility_openai,specific_conflict_openai,additional_barriers_openai,reasoning_openai,_recoded_from_openai,primary_barrier_anthropic,feasibility_anthropic,specific_conflict_anthropic,additional_barriers_anthropic,reasoning_anthropic,_recoded_from_anthropic,primary_barrier_google,feasibility_google,specific_conflict_google,additional_barriers_google,reasoning_google,rater_coverage_count,rater_coverage
CPS_0000,RS.1,F1,CPS elicits person-level names (open-ended roster); ACS asks an aggregate numeric count of people at the address.,[],The items are the same concept (who lives/stays at the address) but use fundamentally different response formats; names can be mechanically counted to produce the ACS-style total (direct recode).,,RS.1,F1,CPS collects individual names (open-ended text); ACS collects count of persons (numeric). Different response formats for same underlying construct.,[],Both measure household population but use fundamentally different response scales. CPS generates roster data while ACS generates aggregate count. Mechanically convertible by counting roster entries.,,RS.1,F1,CPS uses an open-ended roster list of names; ACS asks for a total numeric count.,['CC.2'],"The response formats are fundamentally different (list vs. integer), though a roster list can be mechanically counted to produce a total.",3,"openai,anthropic,google"
CPS_0001,CC.1,F3,CPS requests names of household members; ACS requests the interview date—entirely different constructs.,[],"Questions measure unrelated concepts (household roster vs metadata), so they are not harmonizable.",,CC.1,F3,CPS asks for household member names; ACS asks for survey date. These measure entirely different constructs with no conceptual overlap.,[],"No shared construct definition. One collects demographic roster data, the other collects administrative metadata. Fundamentally incompatible questions.",,CC.1,F3,Questions measure unrelated concepts (household membership vs. calendar date).,[],There is no conceptual overlap between a list of names and the current date.,3,"openai,anthropic,google"
CPS_0002,PC.3,F2,CPS asks only about other persons age 15+ (a follow-up probe); ACS asks for total number of people of all ages at the address.,"['MC.2', 'CC.4']",Primary issue is an age-bound population difference (CPS restricted to 15+). It is also a routing/follow-up probe (not a total count) and differs in scope of who is included; harmonization would require modeling or auxiliary data on younger residents.,,PC.3,F2,CPS explicitly restricts to persons 15+ years old; ACS includes all ages. Different universe definitions create systematic undercounting in CPS.,['CC.4'],Primary barrier is age-based population restriction in CPS. Would require statistical adjustment to account for missing children under 15 to harmonize with ACS total.,,PC.3,F2,CPS targets a specific age subgroup (15+) as a coverage probe; ACS asks for the whole population.,['CC.4'],"The CPS question is a conditional probe for individuals 15 and older who might have been missed, whereas the ACS question is the primary count for all ages.",3,"openai,anthropic,google"
CPS_0003,CC.1,F3,CPS asks about additional persons 15+ not yet listed; ACS asks for today's date—different constructs.,[],"Items measure unrelated information (roster follow-up vs interview metadata), so they cannot be consolidated.",,CC.1,F3,CPS asks about household members 15+; ACS asks for survey date. No conceptual relationship between questions.,[],"Completely different constructs. One measures population characteristics, the other administrative metadata. Not harmonizable.",,CC.1,F3,Questions measure unrelated concepts (household coverage probe vs. calendar date).,[],No conceptual alignment possible between population coverage and date metadata.,3,"openai,anthropic,google"
CPS_0004,PC.3,F2,CPS specifically probes for missed babies/small children (age-focused probe); ACS requests total number of people at the address.,"['RS.1', 'MC.2']","Primary problem is age-based coverage (children vs all ages). The CPS item is a probe (yes/no/follow-up) rather than an aggregate count, so harmonization would require assumptions or person-level data to convert probes into counts.",,PC.3,F2,CPS specifically probes for babies/small children (under 15); ACS asks total count. CPS is a targeted follow-up to capture youngest household members.,['CC.4'],CPS question targets age group explicitly excluded from earlier roster (under 15). ACS total includes all ages. Would require modeling to estimate proportion of young children to harmonize.,,PC.3,F2,CPS probes specifically for infants/children; ACS asks for a total household count.,['CC.4'],"CPS uses a targeted inclusion probe for a specific age demographic (babies) to ensure coverage, while ACS seeks the universal count.",3,"openai,anthropic,google"
CPS_0005,CC.1,F3,CPS probes for missed babies/small children; ACS asks for today's date—different concepts.,[],"The two items address unrelated content (presence of small children vs interview date), making consolidation impossible.",,CC.1,F3,CPS asks about babies/small children in household; ACS asks for survey date. No shared construct.,[],Fundamentally different questions measuring different concepts. Not harmonizable.,,CC.1,F3,Questions measure unrelated concepts (infant coverage vs. calendar date).,[],No conceptual alignment possible.,3,"openai,anthropic,google"
CPS_0006,PC.1,F3,CPS asks about usual residents who are temporarily away (usual/habitual household membership); ACS asks how many people are living or staying at the address (present/current at time of interview).,['TC.2'],The universe differs (usual residents versus present occupants). This coverage/temporal framing difference is fundamental and not directly harmonizable without additional data on absentees.,,CC.1,F3,CPS asks about usual residents temporarily absent; ACS asks about people currently living/staying at address. Different residency concepts (usual vs. present).,['TC.2'],CPS uses 'usual residence' concept (habitual framing) while ACS uses 'living or staying' (point-in-time). These produce different populations and cannot be directly reconciled without knowing absence patterns.,,CC.2,F2,CPS probes for temporarily absent residents; ACS asks for the final count.,['CC.4'],"CPS operationalizes residence by specifically prompting for people away (traveling/school), whereas ACS relies on a general count instruction.",3,"openai,anthropic,google"
CPS_0007,CC.1,F3,CPS asks about usual residents who are away now; ACS asks for today's date—different constructs.,[],Different measurement targets (household membership vs metadata) means the items are incompatible for consolidation.,,CC.1,F3,CPS asks about absent household members; ACS asks for survey date. No conceptual overlap.,[],Completely unrelated questions. Not harmonizable.,,CC.1,F3,Questions measure unrelated concepts (absent resident probe vs. calendar date).,[],No conceptual alignment possible.,3,"openai,anthropic,google"
CPS_0008,TC.2,F2,CPS asks whether any household member has had a change in marital status since the last interview (change over an interviewer-specific interval); ACS asks for the person's current marital status (point-in-time status).,['CC.2'],"Primary issue is temporal framing (change over an interval vs current status). Also the CPS item operationalizes a change-event indicator, while ACS measures the current state; harmonization would require assumptions or longitudinal data.",,TC.2,F2,"CPS asks about changes since last interview (variable reference period, typically 4 months); ACS asks current status (point-in-time). Different temporal framing.",['CC.2'],"CPS measures marital status changes (retrospective, event-based); ACS measures current marital status (point-in-time). Would require assumptions about timing and stability to harmonize.",,TC.3,F2,CPS measures change since a rolling previous interview date; ACS measures current status.,"['TC.1', 'CC.2']","CPS focuses on the transition (change) during a variable interval between waves, while ACS captures the state at the point of the survey.",3,"openai,anthropic,google"
CPS_0009,TC.1,F2,CPS asks about marital-status changes since last interview (an interviewer-dependent/variable reference period); ACS asks about specific marital events in the past 12 months (fixed 12-month reference).,"['TC.2', 'CC.2']",Primary problem is differing reference-period length (variable/unspecified vs fixed 12 months). CPS also uses a general 'change' question while ACS asks about specific events; statistical adjustment would be needed to align periods and event definitions.,,TC.1,F2,CPS asks about changes since last interview (4-month reference period); ACS asks about specific events in past 12 months. Different reference period lengths.,['CC.2'],CPS reference period (inter-interview interval) is shorter and variable; ACS uses fixed 12-month period. Would require statistical adjustment to align reference periods and account for events outside CPS window.,,TC.1,F2,CPS uses a rolling interval (since last interview); ACS uses a fixed 12-month reference period.,['TC.3'],"Both questions measure transitions in marital status, but the duration of the reference window differs (monthly in CPS vs. annually in ACS).",3,"openai,anthropic,google"
