pair_id,primary_barrier_openai,feasibility_openai,specific_conflict_openai,additional_barriers_openai,reasoning_openai,primary_barrier_claude,feasibility_claude,specific_conflict_claude,additional_barriers_claude,reasoning_claude,barrier_l1_openai,barrier_l1_claude
CPS_0000,RS.1,F3,"CPS asks for names of individuals, while ACS asks for a count of people.",[],The fundamental difference in response format makes these questions incompatible for direct consolidation.,RS.1,F1,CPS collects individual names (open-ended text); ACS collects household count (numeric). Different response formats for same underlying construct.,[],Both measure household population but use fundamentally different response scales. CPS generates roster data while ACS generates aggregate count. Mechanically convertible by counting roster entries.,RS,RS
CPS_0001,PC.1,F3,"CPS asks for names of individuals, while ACS asks for a date.",[],The questions are not comparable as they address entirely different constructs.,CC.1,F3,CPS asks for household roster names; ACS asks for survey date. Completely different constructs with no conceptual overlap.,[],"These measure entirely different concepts. One is demographic enumeration, the other is administrative metadata. Not harmonizable.",PC,CC
CPS_0002,CC.4,F2,"CPS asks about individuals 15 years or older, while ACS counts all individuals.",[],The difference in scope inclusions creates a barrier that requires statistical adjustment to harmonize.,PC.3,F2,CPS explicitly excludes persons under 15 years old ('15 years old or older'); ACS includes all ages. Different universe definitions.,['CC.2'],CPS age-filters the population (15+) while ACS counts all residents. Would require statistical adjustment to estimate missing under-15 population from CPS data.,CC,PC
CPS_0003,PC.1,F3,"CPS asks for names of individuals, while ACS asks for a date.",[],The questions are not comparable as they address entirely different constructs.,CC.1,F3,CPS asks about household members 15+; ACS asks for survey date. Completely different constructs.,[],No conceptual relationship between demographic enumeration and administrative date collection. Not harmonizable.,PC,CC
CPS_0004,CC.4,F2,"CPS asks about missing babies or small children, while ACS counts all individuals.",[],The difference in scope inclusions creates a barrier that requires statistical adjustment to harmonize.,PC.3,F2,CPS specifically targets 'babies or small children' (implicitly under age threshold); ACS counts all ages. Different age scope.,['CC.2'],CPS is a targeted probe for young children after roster completion; ACS is comprehensive count. Would require modeling to estimate age distribution from CPS probe responses.,CC,PC
CPS_0005,PC.1,F3,"CPS asks for names of individuals, while ACS asks for a date.",[],The questions are not comparable as they address entirely different constructs.,CC.1,F3,CPS asks about missed children; ACS asks for survey date. Completely different constructs.,[],No conceptual overlap between demographic enumeration and administrative metadata. Not harmonizable.,PC,CC
CPS_0006,CC.4,F3,"CPS asks about individuals who are away, while ACS counts all individuals at the address.",[],The difference in scope inclusions makes these questions fundamentally incompatible.,CC.1,F3,CPS asks about usual residents temporarily absent; ACS asks about current residents. Fundamentally different residence concepts (usual vs. present).,['TC.2'],CPS uses 'usual residence' concept (habitual framing) while ACS uses 'living or staying' (point-in-time). These produce different populations and cannot be reconciled without additional information about absent persons.,CC,CC
CPS_0007,PC.1,F3,"CPS asks for names of individuals, while ACS asks for a date.",[],The questions are not comparable as they address entirely different constructs.,CC.1,F3,CPS asks about absent household members; ACS asks for survey date. Completely different constructs.,[],No conceptual relationship. Not harmonizable.,PC,CC
CPS_0008,TC.2,F2,"CPS asks about changes since the last interview, while ACS asks for current marital status.",[],The temporal framing difference requires statistical adjustment to harmonize.,TC.2,F2,"CPS asks about changes since last interview (retrospective, variable period); ACS asks current status (point-in-time). Different temporal framing.",['CC.2'],CPS measures marital status changes over an inter-interview period (typically 4 months); ACS measures current status. Would require modeling assumptions about status transitions to harmonize.,TC,TC
CPS_0009,TC.2,F2,"CPS asks about changes since the last interview, while ACS asks about changes in the past 12 months.",[],The temporal framing difference requires statistical adjustment to harmonize.,TC.1,F2,CPS asks about changes since last interview (variable ~4-month period); ACS asks about specific events in past 12 months. Different reference period lengths.,['CC.2'],"CPS reference period is inter-interview dependent (typically 4 months); ACS uses fixed 12-month window. Would require statistical adjustment to standardize reference periods, with assumptions about event distribution.",TC,TC
CPS_0010,CC.1,F3,"CPS asks about changes in marital status, while ACS asks about the number of times married.",[],The core concept of marital status change versus the count of marriages represents a fundamental difference in construct definition.,CC.2,F3,CPS asks about changes in marital status (binary event detection); ACS asks cumulative count of marriages (lifetime history),['TC.2'],These operationalize marital status fundamentally differently. CPS captures whether a change occurred since last interview (point event); ACS captures total number of times married (cumulative count). These measure different constructs and cannot be mechanically reconciled.,CC,CC
CPS_0011,TC.2,F3,"CPS asks about changes since the last interview, while ACS asks for the year of last marriage.",[],"The temporal framing of the questions is incompatible, as one is retrospective and the other is a fixed point in time.",CC.2,F3,CPS asks about changes in marital status (event occurrence); ACS asks year of last marriage (temporal anchor point),['TC.2'],CPS measures whether a marital status change occurred; ACS measures when the most recent marriage occurred. These are different operationalizations of marital history with no direct conversion path.,TC,CC
