pair_id,foodaps_q_id,foodaps_text,acs_q_id,acs_text,subtopic,claude_classification,claude_confidence,claude_reasoning,claude_consolidation_potential,claude_reference_period_a,claude_reference_period_b,gpt_classification,gpt_confidence,gpt_reasoning,gpt_consolidation_potential,gpt_reference_period_a,gpt_reference_period_b,models_agree
P_0001,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0021,How is this person related to Person 1?,Relationship,related_but_distinct,high,"Question A asks for a roster of household members living at an address (with a specific forward-looking time frame of one week), while Question B asks about the relationship between a specific person and Person 1. These serve different survey purposes: Question A establishes household composition/membership, while Question B captures relationship structure among already-identified household members. Question A is a household enumeration question; Question B is a relationship classification question that presupposes the household roster has already been established.",partial,next week,not specified,related_but_distinct,high,Question A is a household roster request asking who will be living at the address over the next week (including non-relatives and children). Question B asks for the relationship of a specific person to Person 1 and does not ask for a list of household members or specify a time frame. The core topics overlap (household composition/relationship) but the specific information requested and the reference period differ.,partial,over the next week,not specified,True
P_0002,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0027,How is this person related to Person 1?,Relationship,related_but_distinct,high,"Question A asks for a roster of all household members living at an address over a specific time period (next week), functioning as a household composition question. Question B asks about the relationship between a specific person and Person 1, presupposing that household members have already been identified. These serve different purposes in the survey flow: A identifies who lives in the household, while B characterizes the relationship between already-identified individuals.",partial,next week,not specified,related_but_distinct,high,"Question A is a household roster prompt asking respondents to list all people who will be living at the address over the next week (a prospective household composition question). Question B asks only about the relationship of a specific person to Person 1 and does not request a roster or a time frame. The two address related topics but ask different specific information (who is living there vs. how a listed person is related), so they are related but distinct.",partial,over the next week,not specified,True
P_0003,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0033,How is this person related to Person 1?,Relationship,related_but_distinct,high,"Question A asks for a roster of all household members living at an address over a specific timeframe (next week), serving as a household enumeration question. Question B asks about the relationship of a specific person to Person 1, assuming the household roster has already been established. These are sequential questions in household surveys—A identifies who lives there, B classifies their relationship—rather than equivalent ways of measuring the same concept.",partial,next week,not specified,related_but_distinct,high,"Question A asks for a household roster specifying who will be living at the address over the next week (a temporal, listing question). Question B asks for the relationship of a particular person to Person 1 (a relational category for an already-identified person). They address the same general topic (household relationships) but ask different things and use different response formats and reference frames.",no,over the next week,not specified,True
P_0004,FAPS_0018,What is your date of birth?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,near_duplicate,high,"Both questions ask for date of birth information to determine age, which is the same core concept. Question A directly requests date of birth, while Question B asks for both age and date of birth for a specific household member. The minor difference is that Question B specifies a particular person (Person 1) and requests age in addition to date of birth, but this does not materially change the fundamental concept being measured. Both are asking for the same underlying biographical information.",yes,not specified,not specified,near_duplicate,high,"Both questions request a person’s date of birth (same core concept). Question B additionally asks for age and refers to ""Person 1"" rather than directly to the respondent, which is a minor subject-labeling and supplemental-item difference but does not change the DOB concept itself.",partial,not specified,not specified,True
P_0005,FAPS_0018,What is your date of birth?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,near_duplicate,high,"Both questions ask for date of birth information to establish age, which is the same core concept. Question A asks directly for date of birth, while Question B asks for both age and date of birth for a specific household member (Person 2). The minor difference is that Question B specifies a particular person and requests two related data points, but the substantive information sought (date of birth) is identical and serves the same analytical purpose.",partial,not specified,not specified,near_duplicate,high,"Both questions elicit a person's date of birth (same core datum). Question B additionally asks for age and refers to a different household member (“Person 2”) rather than the respondent, so wording and respondent reference differ slightly. These are minor differences that do not change the underlying concept of collecting DOB.",partial,not specified,not specified,True
P_0006,FAPS_0018,What is your date of birth?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,near_duplicate,high,"Both questions ask for date of birth information to establish age, which is the core concept under the SUBTOPIC of Age. Question A directly requests date of birth, while Question B requests both age and date of birth for a specific household member (Person 3). The minor difference is that Question B includes age as an additional element and specifies a particular person, but the date of birth component is functionally equivalent in meaning and intent.",yes,not specified,not specified,near_duplicate,high,"Both questions request the respondent’s date of birth, so they capture the same core concept. Question B also asks for age in addition to date of birth, which is an extra item but does not change the DOB request itself, making the pair closely equivalent but not identical. There is no time reference in either question.",yes,not specified,not specified,True
P_0007,FAPS_0018,What is your date of birth?,ACS_0072,Where was this person born?,Age,not_comparable,high,"Question A asks for date of birth (a temporal fact about when a person was born), while Question B asks for place of birth (a geographic fact about where a person was born). These are fundamentally different dimensions—one pertains to age/time and the other to location. Although both relate to birth events, they collect entirely different types of information.",no,not specified,not specified,related_but_distinct,high,Question A asks for a specific temporal datum (date of birth) used to determine age; Question B asks for a geographic location (place of birth). They address different constructs (age vs birthplace) and one cannot substitute for the other.,no,not specified,not specified,False
P_0008,FAPS_0018,What is your date of birth?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,"Question A asks for an individual's date of birth, which is a direct demographic identifier. Question B asks about the presence of grandchildren under 18 in the household, which is a relational/family composition question. While both relate to age indirectly, they measure fundamentally different constructs: one captures personal age data while the other captures household structure. They cannot substitute for one another.",no,not specified,current household composition (at time of survey),related_but_distinct,high,"Question A requests the respondent's exact date of birth (personal vital statistic). Question B asks whether the respondent has any own grandchildren under age 18 currently living in the household (household composition/relationship plus age condition). These ask different specific constructs (individual DOB vs. presence/age of household members), so they are related by the broad topic of age but are distinct measurements.",no,not specified,current (living in this house/apartment),False
P_0009,FAPS_0018,What is your date of birth?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,not_comparable,high,"Question A asks for a factual demographic identifier (date of birth), while Question B asks about current caregiving responsibilities for grandchildren. These measure entirely different concepts—one is a basic demographic attribute and the other is a household relationship/responsibility status. The subtopic label 'Age' does not create comparability here since Question B does not ask about age directly.",no,not specified,current/ongoing,not_comparable,high,"Question A asks for the respondent's date of birth (a specific personal demographic data point/age). Question B asks whether a grandparent is currently responsible for most basic needs of grandchildren under 18 living in the household (a caregiving/relationship status, answered yes/no). They address different concepts, units of analysis, and response formats, so they are not comparable.",no,not specified,currently,True
P_0010,FAPS_0019,Please verify or enter correct age.,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,response_format_mismatch,high,"Both questions ask for the same core concept (person's age), but they differ significantly in response format and comprehensiveness. Question A requests only age verification/entry (single data point), while Question B requests both age AND date of birth (two related data points). Question B's dual request provides more complete demographic information and allows for age calculation verification, whereas Question A appears to be a simpler verification step without the granular date-of-birth requirement.",partial,not specified,not specified,response_format_mismatch,high,"Both questions target a respondent's age, but Question B also requests the person's date of birth in addition to age. That introduces a different response format and additional data (DOB) that Question A does not collect. Because the core concept (age) is the same but the collected items differ, this is a response format mismatch.",yes,not specified,not specified,True
