classification,confidence,reference_period_a,reference_period_b,reasoning,consolidation_potential,pair_id,model
related_but_distinct,high,not specified,last week,"Question A asks about the usual mode of travel to the primary grocery store (shopping trip, habitual). Question B asks for the number of people who rode to work in a car/truck/van last week (commute trip, with a specific recent reference period) and measures a count rather than travel mode. They differ in trip purpose, metric, and explicit timeframe, so they are related by transportation but ask distinct information.",no,FOODAPS_0002,gpt-5-mini
related_but_distinct,high,not specified,last week,"Question A asks about usual travel to a primary grocery store (no time frame) while Question B asks about how the person usually got to work during a specific reference period (last week). They share the mode-of-travel concept but differ in trip purpose (grocery shopping vs commuting to work) and Question B specifies a time frame, so they are related but ask distinct behaviors.",no,FOODAPS_0001,gpt-5-mini
related_but_distinct,high,not specified,last week,"The two questions address different specific constructs: A asks about usual mode of travel to a primary grocery store (mode/destination), while B asks about the usual start time of a work trip in the last week (time of day/destination = work). They also differ in response format (mode categories vs a time) and B has an explicit reference period (‘last week’) whereas A asks about a usual pattern with no explicit time frame.",no,FOODAPS_0003,gpt-5-mini
related_but_distinct,high,not specified,last week,"Question A asks about the usual mode of travel to a primary grocery store (a trip mode/transportation behavior for shopping), while Question B asks for the location where the person worked last week (a workplace location/time-specific employment question). Although both relate broadly to movement/commuting, they measure different constructs (travel mode vs. work location/time frame) and are not interchangeable.",no,FOODAPS_0000,gpt-5-mini
related_but_distinct,high,not specified,last week,"Question A asks about travel time from home to a primary retail store (shopping trip duration) with no reference period, while Question B asks where the person worked during a specific reference period (last week). They measure different attributes (travel time to shop vs. workplace location/timeframe) and use different units and intent, so they are not duplicates.",no,FOODAPS_0005,gpt-5-mini
related_but_distinct,high,not specified,last week,"Question A asks about one-way travel time from home to a primary food store (a duration to a specific nonwork destination) with no explicit reference period. Question B asks about the usual mode of travel to work during the specific period 'last week' (a mode/categorical response about work trips). They address the same broad domain (travel) but differ in target destination, measured attribute (time vs mode), and reference period, so they are related but distinct.",no,FOODAPS_0006,gpt-5-mini
related_but_distinct,high,not specified,last week,"Question A asks about the usual mode of transportation to the primary grocery store (habitual behavior), while Question B asks about the usual travel time to work last week (duration). They differ in outcome measured (mode vs minutes), destination (store vs workplace), and B contains an explicit reference period; thus they address related topics (travel/commuting) but are distinct.",no,FOODAPS_0004,gpt-5-mini
related_but_distinct,high,not specified,last week,"Question A asks about one-way travel time from home to a primary store (shopping travel time) with no specified reference period and expects a duration response. Question B asks how many people rode to work in a vehicle last week (commute vehicle occupancy) and expects a count for a specific past-week reference period. They address different activities (shopping vs. commuting), use different response formats, and are not interchangeable.",no,FOODAPS_0007,gpt-5-mini
related_but_distinct,high,not specified,LAST WEEK,"The two questions concern different travel purposes and measures: A asks the one-way travel duration to a primary store (shopping trip), while B asks the usual clock time a work trip began (commute) last week. They also differ in response format (duration vs start time) and B includes an explicit reference period while A does not, so they are related by topic (travel) but ask distinct information.",no,FOODAPS_0008,gpt-5-mini
not_comparable,high,not specified,last week,"Question A asks about the typical out-of-pocket dollar amount paid for a single one-way trip to a store (a cost per trip/habitual behavior). Question B asks for the location where the person worked last week (workplace location/commute destination). These address different concepts, units, and response types and are not substitutable.",no,FOODAPS_0010,gpt-5-mini
related_but_distinct,high,not specified,last week,"Question A asks about the out-of-pocket dollar amount usually paid for a one-way trip to a store (shopping trip) with no specified reference period. Question B asks about the usual mode of travel to work during a specific time frame (LAST WEEK). They target different activities (shopping vs work), different constructs (cost vs mode), and B has a specific reference period, so they are related by commuting/transportation but are distinct measures.",no,FOODAPS_0011,gpt-5-mini
related_but_distinct,high,not specified,last week,"Both ask about travel time in minutes, but they refer to different destinations and purposes: Question A asks one-way travel time to a primary store, while Question B asks usual travel time to work. Additionally, Question B specifies a reference period ('last week') whereas Question A does not, so they are not interchangeable.",no,FOODAPS_0009,gpt-5-mini
not_comparable,high,not specified (asked as 'usually'),last week,"The two questions address entirely different behaviors: Question A asks about typical out-of-pocket cost for a one-way shopping trip to a store, while Question B asks how many people rode to work in a vehicle during last week. They differ in topic, units (dollar amount vs. count of people), and reference period, so they are not comparable.",no,FOODAPS_0012,gpt-5-mini
related_but_distinct,high,not specified,last week,"The two questions address different specific concepts: Question A asks about out-of-pocket monetary cost for a one-way trip to a grocery/store location, while Question B asks about travel time to work in minutes during last week. They differ in outcome (dollars vs minutes), destination (store vs workplace), and purpose (shopping trip cost vs commute duration), so they are related by transportation/travel but clearly distinct.",no,FOODAPS_0014,gpt-5-mini
related_but_distinct,high,not specified,last week,"Question A asks about the usual out-of-pocket monetary cost for a single one-way trip to a store (dollar amount), while Question B asks about the clock time a person's trip to work began last week (time of day). They differ in the trip purpose (grocery/store vs work), the measured attribute (cost vs start time), and response format, so they are about travel broadly but are distinct measures.",no,FOODAPS_0013,gpt-5-mini
related_but_distinct,high,not specified (habitual/frequency),last week,"Question A asks a habitual frequency (whether the respondent commutes to work at least once a week) with a yes/no response format, while Question B asks for the location where the person worked during a specific reference period (last week). They measure different constructs (commuting frequency versus work location during a particular week) and have different response formats, so they are related by topic but not equivalent.",no,FOODAPS_0015,gpt-5-mini
