pair_id,survey_q_id,survey_text,acs_q_id,acs_text,subtopic
FOODAPS_0000,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0001,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0002,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0003,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0004,FOODAPS_130,"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0005,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0006,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0007,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0008,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0009,FOODAPS_131,How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0010,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0011,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0012,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0013,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0014,FOODAPS_132,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0015,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0016,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0017,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0018,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0019,FOODAPS_201,Do you commute to work at least once a week?  ,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0020,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0021,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0022,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0023,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0024,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0025,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0026,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0027,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0028,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0029,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0030,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0031,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0032,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0033,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0034,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0035,FOODAPS_205,"For your primary job, how long does it usually take you to get from home to work?",ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0036,FOODAPS_205,"For your primary job, how long does it usually take you to get from home to work?",ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
