classification,confidence,reference_period_a,reference_period_b,reasoning,consolidation_potential,pair_id,model
not_comparable,high,now (currently living or staying there),today (date of interview),"Question A asks about household composition — whether there are other persons age 15+ currently living or staying at the address and how many; Question B simply requests the interview date. They address different constructs (population count vs. administrative/interview metadata) and have different response formats, so they are not comparable.",no,CPS_0003,gpt-5-mini
not_comparable,high,not specified,today,"Question A collects the names of household members (a household roster), while Question B requests the current date; they are asking entirely different data elements. The response formats differ (list of names versus a date) and there is no substantive overlap in meaning or use. Therefore they are not comparable.",no,CPS_0001,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Both questions target the household population (people living or staying at the address) but Q A requests individual names (a person-level roster) while Q B requests only an aggregate numeric count. That difference in response format is material: Q A can produce counts plus person-level identifiers and relationships, whereas Q B cannot provide any person-level detail.",partial,CPS_0000,gpt-5-mini
not_comparable,high,not specified,not specified,"Question A asks whether any babies or small children were missed from a household roster (a substantive population enumeration prompt). Question B simply requests the interviewer record today’s date (an administrative/metadata item). They address completely different concepts and purposes, not just different wording or formats.",no,CPS_0005,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A is a probe asking whether any babies or small children were missed from a listed household roster (eliciting names/confirmation), while Question B asks for a numeric count of all people living or staying at the address. They differ in scope (only infants/young children vs. everyone) and in response format (yes/elicitation of names vs. a numeric total), so they are about the same broad topic (population) but ask different specific things.",partial,CPS_0004,gpt-5-mini
not_comparable,high,now (currently away),today,"Question A asks about household composition—whether usual residents are currently away—whereas Question B is an administrative request for the current date. They address entirely different concepts (absent household members vs. recording today's date) and do not overlap in content, intent, or response type.",no,CPS_0007,gpt-5-mini
related_but_distinct,high,now (currently living or staying there),not specified,"Question A asks specifically about additional persons aged 15 years or older who have not been listed and uses present tense ('now living or staying there'), while Question B asks for the total number of people at the address with no age restriction and no explicit 'other/not listed' qualifier. They address the same general population topic but differ in the target population (age 15+ versus all ages) and in context (A is a follow-up about 'other' unlisted persons).",yes,CPS_0002,gpt-5-mini
related_but_distinct,high,usually lives here (but is away now — current/at time of interview),current (living or staying at this address at time of interview),"Question A asks whether anyone who usually resides at the address is temporarily absent now (aiming to capture usual residents who are away), and is a yes/no prompt. Question B asks for the number of people currently living or staying at the address (a de facto/current headcount), a different target population and numeric response. The two address population concepts overlap only partially (usual vs. current residents) and differ in both intent and response format.",no,CPS_0006,gpt-5-mini
response_format_mismatch,high,since our last interview,not specified,"Question A is a household-level, yes/no screen asking whether any household member experienced a change in marital status since the last interview. Question B is a person-level question asking the respondent's current marital status using categorical response options and contains no explicit reference period. The core concept (marital status) is shared but the response formats, unit of analysis, and implicit timing differ, so they are not equivalent.",partial,CPS_0008,gpt-5-mini
reference_period_mismatch,medium,Since our last interview,past 12 months,"Both questions address changes in marital status (marriage, widowhood, divorce) but Question A asks about changes ""since our last interview"" (a variable interview-to-interview period) while Question B fixes the reference to the past 12 months. Additionally, Question A is asked at the household level about any household member and is a general yes/no prompt, whereas Question B is person-level with specific event checkboxes; these differences affect comparability but the primary mismatch is the time frame. ",partial,CPS_0009,gpt-5-mini
