survey,source_q_id,source_text,best_match_q_id,best_match_text,subtopic,best_feasibility,barrier_category,barrier_subcode,barrier_description,confidence,score_borda,score_entropy,triage_quadrant,specific_conflicts,arbitrator_reasoning,pair_id
FOODAPS,FOODAPS_198,"How many hours do you normally work for pay, including paid sick time and paid leave time?",ACS_7,How many hours do you usually work per week at this rate?,"Hours/Week, Weeks/Year",F2,CC,CC.4,Scope inclusions,MODERATE,0.8,0.2595569150761394,Q3,"FoodAPS explicitly includes paid sick/leave time in hours count; ACS question is ambiguous on paid leave inclusion and may be job-specific ('at this rate') rather than total hours | Survey explicitly includes paid sick/leave time in usual paid hours; ACS asks usual hours per week “at this rate” without explicit inclusion of paid leave, creating a scope/inclusion mismatch.","[Anthropic — F1/CC.4] While Raters A and B both coded MC.3 (contextual priming), the core issue is better characterized as a construct difference. Rater C correctly identifies that FoodAPS explicitly includes 'paid sick time and paid leave time' while ACS does not specify this. However, the ACS phrase 'at this rate' also suggests job-specific hours rather than total hours across all jobs. The primary barrier is CC.4 (scope inclusions) - the questions differ in what components are explicitly counted (paid leave inclusion) and potentially in job scope. The contextual priming (MC.3) is secondary to this construct-level difference in what hours are being measured. Both questions ask about usual/normal hours per week, so the temporal framing is aligned. With clarification of ACS intent regarding paid leave and job scope, harmonization is feasible through direct recoding or minor adjustments. ||| [Openai — F2/CC.4] The binding harmonization issue is not timing (both are usual/normal weekly hours), but what components of “hours worked for pay” are counted. The survey question explicitly instructs respondents to include paid sick time and paid leave time, while the ACS item does not specify inclusion of paid time off and is asked in a wage-rate context (“at this rate”), which may cue reporting of hours actually worked or hours tied to that pay arrangement. Because ACS reporting rules on paid leave inclusion are ambiguous and may vary by respondent interpretation, harmonization would generally require assumptions or statistical adjustment rather than a purely mechanical recode.",FOODAPS_0327
FOODAPS,FOODAPS_268,"Has NAME ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans,F3,CC,CC.2,Operationalization,LOW,0.8,0.1796896480488135,Q3,"FOODAPS uses binary yes/no format for ever-served status; ACS uses temporal period/date response format for when service occurred | Survey asks ever served in Armed Forces/Reserves/National Guard (any service); ACS asks when served on active duty only, excluding Reserve/Guard service without active duty.","[Anthropic — F1/RS.1] All three raters unanimously agree on RS.1 (scale type difference) with F1 feasibility. The core barrier is that FOODAPS asks a binary yes/no question about ever serving, while ACS asks for temporal information about when service occurred. These are fundamentally different response formats - binary vs. temporal/categorical. However, the ACS response can be mechanically recoded to derive an 'ever served' indicator: any response indicating a service period implies 'yes' to ever serving. This is a straightforward direct recode that loses temporal detail but successfully harmonizes to the binary format. ||| [Openai — F3/CC.2] Although the surface difference looks like response format (yes/no vs timing), the questions are not asking the same thing. The survey item measures an ""ever served"" status across active duty, Reserves, and National Guard, while the ACS item conditions on having served and asks the period(s) of active-duty service only. This is a construct/operationalization mismatch: ACS does not cover non–active duty-only service captured by the survey question, so an ""ever served"" indicator cannot be derived without additional information. Therefore the primary barrier is construct/operationalization, and harmonization to the broader survey construct is not directly possible.",FOODAPS_0140
FOODAPS,FOODAPS_56,What is NAME’s relationship to you?,ACS_26,What is Person 2’s name? How is this person related to Person 1?,Relationship,F2,RS,RS.3,Anchoring/labels,LOW,0.8,0.2595569150761394,Q3,"FOODAPS asks relationship to 'you' (respondent) while ACS asks relationship to 'Person 1' - requires knowing whether respondent equals Person 1 to map relationships correctly | Different reference-person anchoring for relationship (respondent/“you” vs ACS roster Person 1), requiring identification/mapping of the respondent within the ACS household roster to recode relationships.","[Anthropic — F1/PC.1] Two raters (A and B) agree on PC.1/F1, while Rater C codes RS.3/F2. The core issue is the reference person framing: FOODAPS uses 'you' (the respondent) while ACS uses 'Person 1' as the anchor. This is fundamentally a universe/population definition issue about who serves as the reference person, not a response scale anchoring issue. RS.3 refers to different verbal anchors or direction in response scales, but here the response categories for relationship types would be the same - the difference is in defining the reference point for the relationship. When the respondent is Person 1 in ACS (which is typically the case as Person 1 is usually the householder/reference person), the mapping is direct and mechanical. This is a population/coverage framing difference that can be resolved through simple recoding when respondent position is known, supporting F1 feasibility. ||| [Openai — F2/RS.3] The core construct (household relationship) is the same, but the relationship is anchored to different reference persons: FOODAPS asks each person’s relationship to the respondent (“you”), while the ACS relationship item is defined relative to Person 1 in the roster. Harmonization requires knowing whether the ACS Person 1 corresponds to the FOODAPS respondent (or, more generally, identifying the respondent’s position in the ACS household roster). If that mapping is not guaranteed/available, the relationship cannot be mechanically recoded; it requires an assumption or additional information about who is Person 1 vs the respondent, making this primarily an anchoring/direction issue rather than a population/universe difference.",FOODAPS_0165
FOODAPS,FOODAPS_278,"On average about how many hours does NAME normally work (and get paid) per week, including paid sick time and paid leave time?",ACS_12,What is your best estimate of the number of hours per week you usually work at this rate?,"Hours/Week, Weeks/Year",F2,CC,CC.4,Scope inclusions,HIGH,0.7,0.2595569150761394,Q3,"FOODAPS explicitly includes paid sick time and paid leave in weekly hours, while ACS asks for hours 'usually worked at this rate' tied to a specific wage, potentially excluding paid leave time from the count. | Scope of weekly hours differs: FOODAPS includes paid sick/leave in paid hours (total), while ACS asks usual hours worked “at this rate” (job/rate-specific and may exclude paid leave).","[Anthropic — F2/CC.4] All three raters identify the core issue as differences in what hours are included in the measurement. FOODAPS explicitly includes paid sick time and paid leave time, while ACS asks about hours 'usually worked at this rate' which ties to a specific pay rate and may not include paid leave. This is fundamentally a scope inclusion difference (CC.4) - the questions differ in which components of paid time are counted. Rater C correctly identifies CC.4, and Rater A's CC.2 (operationalization) is close but CC.4 is more precise since the specific conflict is about what types of hours are included. Rater B's MC.3 (contextual priming) is less accurate as this isn't primarily about preceding questions affecting interpretation. For feasibility, F2 is appropriate because reconciling these differences requires assumptions about how respondents interpret 'hours worked at this rate' versus total paid hours including leave - this cannot be done through simple recoding but requires statistical adjustment or modeling. ||| [Openai — F2/CC.4] The binding difference is in what hours are intended to be counted. The survey question explicitly requests total “normally work (and get paid)” hours per week including paid sick and paid leave time, which broadens the scope beyond hours physically worked. The ACS wording asks hours “you usually work at this rate,” which is tied to a specific pay rate/job context and does not explicitly include paid leave; respondents may interpret it as hours actually worked on that job. Reconciling these requires assumptions about inclusion of paid time off and (potentially) allocation to a particular job/rate, so it is not a simple direct recode.",FOODAPS_0354
FOODAPS,FOODAPS_33,"This week and next week are you attending classes for: (1)Middle/junior  high school (2) High School (3) Homeschool (4) Other school (college, technical school, etc.) (5) no, not attending classes",ACS_14,"Would that be high school, college, or university?",School Enrollment,F2,RS,RS.2,Category structure,HIGH,0.7,0.2595569150761394,Q3,"FoodAPS provides five categories including middle school, homeschool, and 'other school'; ACS only offers high school, college, or university - requiring assumptions to map categories and losing information about middle school and homeschool attendance. | FoodAPS includes school-type categories (middle/junior high, homeschool, other) that are not represented in the ACS high school vs college/university categorization, requiring category collapsing and assumptions to harmonize.","[Anthropic — F2/RS.2] All three raters identify that the response categories differ between the two questions. Rater A codes CC.4 (scope inclusions), Rater B codes RS.1 (scale type), and Rater C codes RS.2 (category structure). The core issue is that FoodAPS includes middle school, homeschool, and 'other school' as explicit categories, while ACS only asks about high school, college, or university. This is fundamentally a category structure difference (RS.2) - both use categorical response formats, but with different category boundaries and inclusions. Per the taxonomy hierarchy, CC > RS when scale difference reflects construct difference, but here the underlying construct (school attendance type) is similar - it's the response options that differ in granularity. The feasibility is F2 rather than F1 because collapsing FoodAPS categories into ACS categories requires assumptions about how to handle middle school and homeschool respondents, and information is lost in the process. ||| [Openai — F2/RS.2] The binding issue is that the response category structure differs: FoodAPS offers a fuller set of schooling types (including middle/junior high, homeschool, and a generic 'other') and explicitly asks about attending classes in the next two weeks, while the ACS follow-up only distinguishes high school vs college/university. This is primarily a category-structure mismatch (RS.2), not a fundamentally different scale type (both are categorical), and it is not mainly a construct scope issue so much as non-overlapping/ differently bounded categories. Harmonization would require collapsing FoodAPS categories and making assumptions about where middle school, homeschool, and 'other' map (or treating them as missing/out-of-scope) relative to the ACS categories, so it is not a purely mechanical recode.",FOODAPS_0387
FOODAPS,FOODAPS_63,"Last week, was NAME enrolled in school as a full-time or part-time student, or was NAME not enrolled in school?",ACS_15,Are you enrolled in school as a full-time or part-time student?,School Enrollment,F2,TC,TC.2,Temporal framing,MODERATE,0.7,0.2595569150761394,Q3,FOODAPS uses explicit 'last week' reference period while ACS asks about current enrollment status without explicit temporal reference | Retrospective last-week enrollment intensity (FT/PT/not enrolled) vs current/unspecified enrollment status (FT/PT) temporal framing mismatch.,"[Anthropic — F1/TC.1] All three raters agree the primary barrier is temporal in nature. Raters A and B both coded TC.1 (reference period length), while Rater C coded TC.2 (temporal framing). The key distinction is whether this is a reference period length difference (TC.1) or a framing difference (TC.2). The FOODAPS question asks about 'last week' while ACS asks about current enrollment status. This is more accurately characterized as TC.1 because both questions are asking about the same construct (enrollment intensity) with slightly different reference periods - a specific past week vs. current/present status. The construct itself (full-time vs part-time enrollment) is identical. For feasibility, Rater B's F1 is most appropriate because enrollment status is typically stable within short time periods, making direct recoding reasonable. The 'last week' reference and 'current' status would yield nearly identical responses for most respondents since school enrollment doesn't typically change week-to-week during a semester. ||| [Openai — F2/TC.2] The key difference is temporal framing: FOODAPS asks about enrollment status during a specific retrospective period (“last week”), while the ACS question is framed as current/point-in-time enrollment with no explicit reference period. This is more than just differing reference-period length (TC.1); it is a retrospective vs present/unspecified framing difference (TC.2). Harmonization would require assumptions or statistical adjustment about the stability of enrollment status between last week and the ACS reference time, so it is not a purely mechanical recode.",FOODAPS_0413
FOODAPS,FOODAPS_97,How many dollars were put on your EBT card the last time you received [FILL IN STATE SNAP NAME] benefits?,ACS_54,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",Food Stamps (SNAP),F2,CC,CC.2,Operationalization,LOW,0.6,0.02664608903329,Q3,"Survey asks for dollar amount of last SNAP benefit (continuous numeric); ACS asks binary yes/no about SNAP receipt. Dollar amount > 0 can be recoded to 'yes' for receipt. | Event-based last SNAP deposit amount (dollars) vs 12-month household SNAP receipt indicator (yes/no), requiring assumptions to map amount/timing to past-12-month participation.","[Anthropic — F1/RS.1] All three raters correctly identify that the core difference is between a continuous dollar amount response and a binary yes/no response. This is fundamentally a response scale type difference (RS.1), as both questions are measuring SNAP benefit receipt but using different response formats. Raters A and B both identify RS codes, while Rater C codes CC.2 (operationalization). However, per the coding hierarchy rule, CC > RS only 'if scale difference reflects construct difference' - here, both questions measure SNAP receipt, just at different levels of detail. The dollar amount can be directly recoded to binary (amount > 0 = yes), making this F1 feasible. Rater C's F1 assessment is correct - having a dollar amount is direct evidence of receipt, allowing simple transformation. The temporal and unit differences noted by Rater A are secondary to the primary RS.1 barrier. ||| [Openai — F2/CC.2] The primary barrier is construct/operationalization: FOODAPS measures the amount of the most recent SNAP/EBT benefit load (an intensity/amount tied to a specific event), while ACS measures any household SNAP receipt in the past 12 months (participation status over a long window). The response-scale difference (numeric vs yes/no) is secondary and could be recoded if the reference periods and unit of measurement aligned. However, they do not: an amount from the last deposit does not directly indicate receipt at any time in the past 12 months without additional assumptions about when that ""last time"" occurred and how to treat households with changing participation. Harmonization to ACS would require assumptions/modeling about timing and mapping event-based amount to 12-month receipt, so feasibility is F2 rather than direct F1 or fully incompatible F3.",FOODAPS_0590
FOODAPS,FOODAPS_168,Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans,F3,CC,CC.3,Boundary conditions,MODERATE,0.3,0.1278414656345164,Q3,"FOODAPS asks if service was ONLY FOR TRAINING (restrictive boundary excluding operational duty); ACS asks about any active duty service (inclusive boundary with no training-only qualifier). The questions draw different boundaries around qualifying military service. | Training-only active duty (exclusive boundary) vs any-ever active duty service (inclusive), creating a subset/definition mismatch that cannot be reconciled by recoding.","[Anthropic — F2/CC.3] Raters A and B both agree on CC.3 (boundary conditions), which is the appropriate code here. The key barrier is that FOODAPS asks specifically about training-only active duty (a restrictive boundary condition), while ACS asks about any active duty service (broader boundary). This is a boundary/threshold issue - the questions draw different lines around what counts. Rater C's CC.4 (scope inclusions) is less precise since this isn't about different components being counted, but rather about where the boundary is drawn for qualifying service. For feasibility, F2 is more appropriate than F3 because while direct mapping is not possible, statistical adjustment or recoding rules could potentially address this - someone answering 'yes' to training-only in FOODAPS would still be 'yes' for ACS's broader question, but the reverse mapping requires assumptions. The questions are not fundamentally incompatible (F3) since they measure related aspects of the same underlying construct. ||| [Openai — F3/CC.3] Both items concern military service, but they are not aligned in what constitutes a “yes.” The Survey Question is specifically about a restrictive boundary condition—active duty ONLY FOR TRAINING in the Reserves/National Guard—while the ACS item asks whether the person has EVER served on active duty (including active duty in the Armed Forces, Reserves, or National Guard) without isolating training-only service. A “yes” on the training-only question does not determine whether the person would answer “yes” to ACS (depending on how respondents interpret training-only with respect to ‘active duty’), and a “no” does not imply “no” on ACS because the person could have served on non-training active duty. Because the narrower item cannot be validly transformed into the broader ‘ever active duty’ status (and vice versa) without substantial additional information, the measures are effectively incompatible for harmonized estimation.",FOODAPS_0135
FOODAPS,FOODAPS_217,"How much did you receive [Response from I1a] in wages, salary, commissions, bonuses, or tips from all jobs before taxes and other deductions?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,Earnings,F3,RS,RS.1,Scale type,MODERATE,0.3,0.1278414656345164,Q3,FOODAPS requests total earnings amount (last month) from all jobs; ACS requests hourly rate of pay on main job - different measurement units requiring hours worked data for conversion | Total earnings amount from all jobs (dollars over a period) vs hourly wage rate on main job (dollars per hour); different units and job scope prevent harmonization.,"[Anthropic — F2/RS.1] All three raters agree on RS.1 (scale type difference) as the primary barrier, which is correct - FOODAPS asks for total earnings amount while ACS asks for hourly rate, representing fundamentally different response formats. The disagreement is on feasibility. Rater B codes F3 (incompatible), while Raters A and C code F2 (statistical adjustment). The F2 coding is more appropriate because while conversion is not straightforward, it is possible with additional information (hours worked, weeks worked) through statistical modeling or imputation. This is a common harmonization challenge in income research that can be addressed with assumptions about work hours, though it introduces uncertainty. The scope difference (all jobs vs main job) is a secondary barrier (PC.1) but the primary constraint requiring resolution first is the response format difference. ||| [Openai — F3/RS.1] Both items measure different quantities with different units and universes: the survey question asks for total pre-tax earnings from all jobs (an amount over some implied pay period), while the ACS asks for an hourly wage rate on the main job (a rate at a point/typical time). Converting between total earnings and an hourly rate requires hours worked and pay-period information and, critically, would still not resolve the all-jobs vs main-job mismatch without detailed job-level earnings. Because the necessary information is not recoverable from these questions alone and the constructs are not directly alignable, the pair is effectively incompatible rather than amenable to a reliable statistical adjustment.",FOODAPS_0484
FOODAPS,FOODAPS_290,What is your best estimate of the correct total amount that NAME received in income from earnings from work before taxes and other deductions last month?,ACS_5,What is your best estimate of your hourly rate of pay?,Earnings,F3,CC,CC.2,Operationalization,MODERATE,0.3,0.1278414656345164,Q3,Survey asks for total monthly earnings from work (aggregate amount); ACS asks for hourly rate of pay (unit rate). Conversion requires external data or assumptions about hours worked. | Total gross earnings last month (aggregate amount) vs hourly rate of pay (unit rate); cannot be directly harmonized without hours/work-time information.,"[Anthropic — F2/CC.2] All three raters agree on CC.2 (operationalization difference), which is clearly correct - one question asks for total monthly earnings (an aggregate amount) while the other asks for hourly rate of pay (a unit rate). These are fundamentally different operationalizations of the earnings concept. For feasibility, Raters A and C chose F2 while Rater B chose F3. The F2 classification is more appropriate because while direct conversion is impossible without additional data, harmonization IS feasible with statistical modeling using external information about hours worked. This is a classic case requiring assumptions/modeling (F2) rather than being truly incompatible (F3). With reasonable assumptions about hours worked per week and weeks per month, hourly rates can be converted to monthly earnings estimates, though this introduces uncertainty. ||| [Openai — F3/CC.2] All raters agree the primary barrier is Construct/Operationalization (CC.2): one item measures a monthly total earnings amount (a monetary aggregate over a reference period) while the other measures an hourly wage rate. These are different measures that are not directly transformable without additional information (e.g., hours worked last month, overtime, multiple jobs, pay frequency). Because the needed inputs are not contained in the ACS hourly-rate question itself, harmonization to a common metric is not feasible as a recode and would generally be incompatible for pairwise harmonization.",FOODAPS_0539
