pair_id,foodaps_q_id,foodaps_text,acs_q_id,acs_text,subtopic
P_0001,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0021,How is this person related to Person 1?,Relationship
P_0002,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0027,How is this person related to Person 1?,Relationship
P_0003,FAPS_0006,"Who lives at [fill address], even if they are not related to you? Please list all the people who will be living at your address over the next week. Include any babies or young children.",ACS_0033,How is this person related to Person 1?,Relationship
P_0004,FAPS_0018,What is your date of birth?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age
P_0005,FAPS_0018,What is your date of birth?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age
P_0006,FAPS_0018,What is your date of birth?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age
P_0007,FAPS_0018,What is your date of birth?,ACS_0072,Where was this person born?,Age
P_0008,FAPS_0018,What is your date of birth?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age
P_0009,FAPS_0018,What is your date of birth?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age
P_0010,FAPS_0019,Please verify or enter correct age.,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age
P_0011,FAPS_0019,Please verify or enter correct age.,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age
P_0012,FAPS_0019,Please verify or enter correct age.,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age
P_0013,FAPS_0019,Please verify or enter correct age.,ACS_0072,Where was this person born?,Age
P_0014,FAPS_0019,Please verify or enter correct age.,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age
P_0015,FAPS_0019,Please verify or enter correct age.,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age
P_0016,FAPS_0020,Are you male or female?,ACS_0022,What is Person 1’s sex?,Sex
P_0017,FAPS_0020,Are you male or female?,ACS_0028,What is Person 2’s sex?,Sex
P_0018,FAPS_0020,Are you male or female?,ACS_0034,What is Person 3’s sex?,Sex
P_0019,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0024,"Is Person 1 of Hispanic, Latino, or Spanish origin?",Race
P_0020,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0025,What is Person 1’s race?,Race
P_0021,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0030,"Is Person 2 of Hispanic, Latino, or Spanish origin?",Race
P_0022,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0031,What is Person 2’s race?,Race
P_0023,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0036,"Is Person 3 of Hispanic, Latino, or Spanish origin?",Race
P_0024,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0037,What is Person 3’s race?,Race
P_0025,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0094,What is this person’s marital status?,Marital
P_0026,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital
P_0027,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0096,How many times has this person been married?,Marital
P_0028,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0097,In what year did this person last get married?,Marital
P_0029,FAPS_0024,Is your spouse a member of this household?,ACS_0021,How is this person related to Person 1?,Relationship
P_0030,FAPS_0024,Is your spouse a member of this household?,ACS_0027,How is this person related to Person 1?,Relationship
P_0031,FAPS_0024,Is your spouse a member of this household?,ACS_0033,How is this person related to Person 1?,Relationship
P_0032,FAPS_0045,What is NAME’s relationship to you?,ACS_0021,How is this person related to Person 1?,Relationship
P_0033,FAPS_0045,What is NAME’s relationship to you?,ACS_0027,How is this person related to Person 1?,Relationship
P_0034,FAPS_0045,What is NAME’s relationship to you?,ACS_0033,How is this person related to Person 1?,Relationship
P_0035,FAPS_0046,What is NAME’s date of birth?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age
P_0036,FAPS_0046,What is NAME’s date of birth?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age
P_0037,FAPS_0046,What is NAME’s date of birth?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age
P_0038,FAPS_0046,What is NAME’s date of birth?,ACS_0072,Where was this person born?,Age
P_0039,FAPS_0046,What is NAME’s date of birth?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age
P_0040,FAPS_0046,What is NAME’s date of birth?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age
P_0041,FAPS_0047,Is NAME male or female?,ACS_0022,What is Person 1’s sex?,Sex
P_0042,FAPS_0047,Is NAME male or female?,ACS_0028,What is Person 2’s sex?,Sex
P_0043,FAPS_0047,Is NAME male or female?,ACS_0034,What is Person 3’s sex?,Sex
P_0044,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0024,"Is Person 1 of Hispanic, Latino, or Spanish origin?",Race
P_0045,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0025,What is Person 1’s race?,Race
P_0046,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0030,"Is Person 2 of Hispanic, Latino, or Spanish origin?",Race
P_0047,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0031,What is Person 2’s race?,Race
P_0048,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0036,"Is Person 3 of Hispanic, Latino, or Spanish origin?",Race
P_0049,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0037,What is Person 3’s race?,Race
P_0050,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0094,What is this person’s marital status?,Marital
